entry_type	entry_path	current_role	default_entry	notes
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/README.md	batch_entry	yes	先看批次目标、收口裁决与当前边界
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/BATCH_149_EXECUTION_CARD.md	execution_entry	no	看本批次具体怎么吸收、当前做到哪
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/BATCH_149_ARTIFACT_INDEX_v1.md	artifact_index_entry	no	看原路径到新路径的追溯关系
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/manifest_v1.tsv	batch_manifest	no	看批次级条目清单
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/provenance.md	batch_provenance	no	看外部来源与证据口径
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/02_absorb_index/tdx_custom_terminal_layered_absorb_index_v1.md	absorb_index_entry	no	看配置壳、页面层、公式索引层、插件层的分层结论
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/02_absorb_index/tdx_custom_terminal_visible_effect_source_triage_v1.md	source_triage_entry	no	看可见效果当前更可能来自页面、插件编排还是真公式候选
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/02_absorb_index/tdx_custom_terminal_formula_export_sample_index_v1.md	formula_sample_entry	no	看真实公式导出样本、类型归属和五类覆盖缺口
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/02_absorb_index/tdx_custom_terminal_formula_to_investment_cockpit_mapping_v1.md	formula_mapping_entry	no	看终端公式样本如何映射到我方提醒解释记录回看闭环
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/README.md	quantize_entry	no	看对象卡与字段桥入口，以及方案C下的最小量化闭环
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_formula_semantics_to_batch1_field_bridge_v1.md	field_bridge_entry	no	看公式输出语义如何桥接到 Batch1 的 EventSummary 与 ExplanationPayload
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_沪深涨跌停__20260720.md	object_card_entry	no	看首批对象卡 1：热点涨停连板宽度
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_打板资金__20260720.md	object_card_entry	no	看首批对象卡 2：封板资金与炸板压力
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_上榜资金__20260720.md	object_card_entry	no	看首批对象卡 3：榜单资金异动
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_HYDB行业对比__20260720.md	object_card_entry	no	看核心对象卡 4：行业强弱环境
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_ZSDB指数对比__20260720.md	object_card_entry	no	看核心对象卡 5：指数环境强弱
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_object_card_启动点__20260720.md	object_card_entry	no	看核心对象卡 6：个股动作触发候选
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_six_card_event_field_bundle_v1.md	field_bundle_entry	no	看六张对象卡压成的 Batch1 事件字段总表
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/03_quantize/batch149_page_to_six_card_crossmap_v1.md	page_field_crossmap_entry	no	看页面层到六卡再到 Batch1 事件字段总表的细映射总表
INDEX_NOTE	10_source_library_archive/batch_149_tdx_custom_terminal_external_folder_absorb__20260719/02_absorb_index/tdx_custom_terminal_rebuild_fit_notes_v1.md	rebuild_fit_entry	no	看哪些部分值得复刻，哪些不应直接映射到我方体系
INDEX_NOTE	00_entry/全库资料整理收口__20260713/A5_Cursor同步包_通达信改版终端吸收批次与使用方式__20260720.md	cursor_sync_entry	no	给 Cursor 的同步包与后续使用口径
INDEX_NOTE	00_entry/全库资料整理收口__20260713/A5_A股P0首页工作台Batch1开工手令__20260720.md	batch1_start_order	no	给实现侧的正式开工口径
