relative_path	material_type	sample_date	status	source_note
00_raw_snapshot/user_screenshots/2026-07-29__市场情绪总览.png	user_screenshot_market_overview	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__市场宽度涨停跌停.png	user_screenshot_market_breadth	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__龙虎榜异动资金.png	user_screenshot_lhb_abnormal_funds	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__题材中心.png	user_screenshot_theme_center	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__看盘工作台.png	user_screenshot_dashboard	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__涨停.png	user_screenshot_limit_up	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/user_screenshots/2026-07-29__炸板.png	user_screenshot_broken_board	2026-07-29	absorbed	from 暂时存放 吸收
00_raw_snapshot/formula_shells/HYDB行业对比__formula_shell.png	formula_shell_industry_context	unknown	formula_shell_only	from 暂时存放 吸收
00_raw_snapshot/formula_shells/HYDB行业对比__formula_shell.txt	formula_shell_industry_context	unknown	formula_shell_only	from 暂时存放 吸收
00_raw_snapshot/formula_shells/ZSDB指数对比__formula_shell.png	formula_shell_index_context	unknown	formula_shell_only	from 暂时存放 吸收
00_raw_snapshot/formula_shells/ZSDB指数对比__formula_shell.txt	formula_shell_index_context	unknown	formula_shell_only	from 暂时存放 吸收
