incoming_rel_path	mirror_rel_path	action	conflict_rel_path
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/CUT_CONTRACT__Kimi_保留型切割_v2.md	CUT_CONTRACT__Kimi_保留型切割_v2.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/CUT_CONTRACT__Kimi_全文保留优先_v1.md	CUT_CONTRACT__Kimi_全文保留优先_v1.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_01.md	GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_01.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_02.md	GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_02.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_03.md	GROUP_01_微观结构_交易所_HFT/GROUP_01_microstructure_master_part_03.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_01.md	GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_01.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_02.md	GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_02.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_03.md	GROUP_02_期权_波动率_波动率微笑/GROUP_02_options_volatility_master_part_03.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_01.md	GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_01.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_02.md	GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_02.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_03.md	GROUP_03_组合管理_风险模型_交易成本/GROUP_03_portfolio_risk_master_part_03.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_01.md	GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_01.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_02.md	GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_02.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_03.md	GROUP_04_统计套利_研究方法_ML/GROUP_04_stat_arb_research_master_part_03.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_05_GROUP_06_统一吸收壳_v1.md	GROUP_05_GROUP_06_统一吸收壳_v1.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_05_GROUP_06_首批可吸收清单_v1.md	GROUP_05_GROUP_06_首批可吸收清单_v1.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_05_趋势_系统交易/GROUP_05_trend_system_trading_STATE_TEMPLATE.md	GROUP_05_趋势_系统交易/GROUP_05_trend_system_trading_STATE_TEMPLATE.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_05_趋势_系统交易/GROUP_05_trend_systematic_trading.md	GROUP_05_趋势_系统交易/GROUP_05_trend_systematic_trading.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_05_趋势_系统交易/GROUP_05_最小吸收包_v1.md	GROUP_05_趋势_系统交易/GROUP_05_最小吸收包_v1.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/BATCH_SUMMARY__A2__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/BATCH_SUMMARY__A2__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__CN__市场轮廓理论__part1__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__CN__市场轮廓理论__part1__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__CN__市场轮廓理论__part2__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__CN__市场轮廓理论__part2__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Dalton__MarketsInProfile__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Dalton__MarketsInProfile__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Dalton__MindOverMarkets__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Dalton__MindOverMarkets__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Harris__TradingAndExchanges__v2.md	GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/CUTPACK__A2__Harris__TradingAndExchanges__v2.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_market_profile_price_action.md	GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_market_profile_price_action.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_market_profile_price_action_DEFINITIONS.md	GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_market_profile_price_action_DEFINITIONS.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_最小吸收包_v1.md	GROUP_06_Auction_MarketProfile_价格行为/GROUP_06_最小吸收包_v1.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_06_to_N02_对象候选清单_v1.md	GROUP_06_to_N02_对象候选清单_v1.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_07_传记_行业史_故事/GROUP_07_quant_history_index.md	GROUP_07_传记_行业史_故事/GROUP_07_quant_history_index.md	SKIP_EXISTS_SAME_SHA	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/Kimi拆书待入库_批次检查_v1.md	Kimi拆书待入库_批次检查_v1.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/PANEL__S文件夹_分桶与额度控制__OUTBOUND__2026-06-17.md	PANEL__S文件夹_分桶与额度控制__OUTBOUND__2026-06-17.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/PANEL__S文件夹_整理方向__EVIDENCE_PACK__2026-06-17.md	PANEL__S文件夹_整理方向__EVIDENCE_PACK__2026-06-17.md	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/S_DUP_DELETE_LIST__same_hash__2026-06-17.tsv	S_DUP_DELETE_LIST__same_hash__2026-06-17.tsv	COPIED	
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/S_DUP_REPORT__sha256__2026-06-17.tsv	S_DUP_REPORT__sha256__2026-06-17.tsv	COPIED	
