lifted_rel_path	target_rel_path	action	conflict_rel_path	final_decision
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_01_微观结构_交易所_HFT/01_F2_cutpack_v2_final/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_05_趋势_系统交易/01_F1_cutpack_v2_final/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/README_放这里.md	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2_final/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_06_Auction_MarketProfile_价格行为/01_A2_cutpack_v2_final/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/板块持仓测算在创业板风格轮动中的应用.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/板块持仓测算在创业板风格轮动中的应用.pdf	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/README_放这里.md	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/README_放这里.md	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/README_放这里.md	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/manifest_v2.tsv	10_source_library_archive/mirror_kimi_inbox/GROUP_09_完善体系书库_切割产物/01_A1_cutpack_v2_final/manifest_v2.tsv	COPIED		PROMOTE_INCOMING_TO_PROPOSED_TARGET__KEEP_EXISTING_BASENAME_VARIANTS
