"category"	"original_path"	"new_path"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor编码向任务包_A股P0当前链路审校与实现前拆解__20260719.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor编码向任务包_A股P0当前链路审校与实现前拆解__20260719.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor编码向任务包_A股P0组件树与字段状态审校__20260719.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor编码向任务包_A股P0组件树与字段状态审校__20260719.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor编码向任务包_B_vs_C实现阻塞对照__20260719.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor编码向任务包_B_vs_C实现阻塞对照__20260719.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor发起多AI_A股P0下一手优先细化对象讨论包__20260719.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor发起多AI_A股P0下一手优先细化对象讨论包__20260719.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_A股P0Batch1已开工与当前实现进度__20260720.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_A股P0Batch1已开工与当前实现进度__20260720.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_A股P0原型最新进展与下一手问题__20260719.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_A股P0原型最新进展与下一手问题__20260719.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_金融测试标准化当前目标_已完成_下一步__20260730.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_金融测试标准化当前目标_已完成_下一步__20260730.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_旧线收口后新阶段第一刀讨论稿__20260723.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_旧线收口后新阶段第一刀讨论稿__20260723.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_通达信改版终端吸收批次与使用方式__20260720.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_通达信改版终端吸收批次与使用方式__20260720.md"
"cursor_packs"	"00_entry\全库资料整理收口__20260713\A5_Cursor同步包_信息源优先于第二日期workflow纠偏页__20260730.md"	"11_frozen_summaries_archive\batch_131_entry_history_process_docs__20260806\cursor_packs\A5_Cursor同步包_信息源优先于第二日期workflow纠偏页__20260730.md"
