"category"	"original_path"	"new_path"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_Cursor_Trae_FV_gate协同分区与交接页__20260718.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_Cursor_Trae_FV_gate协同分区与交接页__20260718.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_Cursor仓库熟悉度验收与new_evidence_type统筹页__20260719.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_Cursor仓库熟悉度验收与new_evidence_type统筹页__20260719.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_Cursor发包_当前未完线收尾裁决__20260723.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_Cursor发包_当前未完线收尾裁决__20260723.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_Cursor在本项目中的最佳利用角度页__20260719.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_Cursor在本项目中的最佳利用角度页__20260719.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_git脏工作区安排页__20260723.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_git脏工作区安排页__20260723.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_Trae连续推进口令页__20260719.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_Trae连续推进口令页__20260719.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_仓库重要文件入口与跨机迁移说明页__20260723.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_仓库重要文件入口与跨机迁移说明页__20260723.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_技术指标新任务开场白__20260725.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_技术指标新任务开场白__20260725.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_未完线总审计与收尾顺序页__20260723.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_未完线总审计与收尾顺序页__20260723.md"
"meta_coordination"	"00_entry\全库资料整理收口__20260713\A5_信息源主线连续推进口令页__20260731.md"	"11_frozen_summaries_archive\batch_133_entry_meta_coordination_docs__20260806\meta_coordination\A5_信息源主线连续推进口令页__20260731.md"
