artifact_file	source_repo_path	repo_path	producer	scope	evidence_mode	status	note
MT4IndicatorProbe.mq4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT4IndicatorProbe.mq4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	通用 MT4 probe 源码
MT4IndicatorProbe.ex4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT4IndicatorProbe.ex4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	通用 MT4 probe 编译产物
MT4Probe_Volty.mq4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT4Probe_Volty.mq4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	Volty probe 源码
MT4Probe_Volty.ex4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT4Probe_Volty.ex4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	Volty probe 编译产物
XBreakingProbe.mq5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/XBreakingProbe.mq5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	XBreaking probe 源码
XBreakingProbe.ex5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/XBreakingProbe.ex5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	XBreaking probe 编译产物
MT4Probe_XBreaking.ini	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT4Probe_XBreaking.ini	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	XBreaking MT4 probe 配置模板
XBreakingProbe.ini	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/XBreakingProbe.ini	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	XBreaking MT5 probe 配置模板
mt4probe_volty_portable.ini	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/mt4probe_volty_portable.ini	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	Volty 便携 probe 配置模板
MT5BarExportProbe.mq5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT5BarExportProbe.mq5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	MT5 导出 probe 源码
MT5BarExportProbe.ex5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT5BarExportProbe.ex5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	MT5 导出 probe 编译产物
MT5BarExportProbe.ini	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT5BarExportProbe.ini	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	MT5 导出 probe 配置模板
MT5SymbolDumpProbe.mq5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT5SymbolDumpProbe.mq5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	MT5 symbol dump probe 源码
MT5SymbolDumpProbe.ex5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/MT5SymbolDumpProbe.ex5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	MT5 symbol dump probe 编译产物
metaeditor_compile_MT5BarExportProbe.log	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/metaeditor_compile_MT5BarExportProbe.log	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_report	编译日志
metaeditor_compile_MT5SymbolDumpProbe.log	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/metaeditor_compile_MT5SymbolDumpProbe.log	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_report	编译日志
VoltyChannel_Stop_v2_1M.mq4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/VoltyChannel_Stop_v2_1M.mq4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	指标源码
VoltyChannel_Stop_v2_1M.ex4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/VoltyChannel_Stop_v2_1M.ex4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	指标编译产物
XBreaking.ex4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/XBreaking.ex4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	二进制指标产物
XBreaking.ex5	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/XBreaking.ex5	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archived_copy	二进制指标产物
交易盈亏统计.ex4	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/交易盈亏统计.ex4	historical_recovered_copy	batch_02_mt_indicator_family	historical_recovered	archive_only	binary_only archive placeholder
BATCH_02_MT_INDICATOR_FAMILY_EXECUTION_CARD__20260709.md	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/BATCH_02_MT_INDICATOR_FAMILY_EXECUTION_CARD__20260709.md	historical_recovered_copy	batch_02_mt_indicator_family	hard	index_note	批次执行卡（本仓补齐）
README.md	unknown_source	12_tooling_runtime_archive/batch_02_mt_indicator_family/README.md	historical_recovered_copy	batch_02_mt_indicator_family	hard	index_note	批次 README
