"room_anchor","latest_time_text","content_form_hint","latest_preview_text"
"浮光","07/31 20:24","image_heavy_candidate","浮光 2027/01/19 [图片] 07/31 20:24"
"梅森","07/31 19:38","text_primary_candidate","梅森 2027/01/19 #群主#： 07/31 19:38"
"机构研报资讯精选","07/31 17:08","text_primary_candidate","机构研报资讯精选 2027/01/19 更新数据中信icon 中证500加空3565，净空14260 沪深300加空1880，净空16959 上证50加空389，净空12118 中证1000减空1074，净空31838 中信今日累计加空4760，净空单总数75175 主要玩家数据 中证500加空144，净空32691 沪深300减空1518，净空27257 上证50加空147，净空20273 中证1000加空1147，净空65099 主要玩家今日累计减空80，净空单总数145320 三市成交25601亿，较上个交易日增加2014亿，主力净流入625.36亿，两融余额26065.28亿，较上个交易日减少369.39亿。 07/31 17:08"
"大师兄擒妖","07/31 15:29","text_primary_candidate","大师兄擒妖 2027/01/19 11223344 07/31 15:29"
"独家老师5号","07/31 15:17","text_primary_candidate","独家老师5号 2027/01/19 回撤榜上都是前几天相对抗跌的。 防止失联QQ群859780254 07/31 15:17"
"复盘哥","07/31 15:05","text_primary_candidate","复盘哥 2027/01/19 廖峥 2026-07-31 15:05:31 问：盘前看好，这怎么思考到 答：我说的是，“灵感” 因为今天有好几个留言问，他盘前已经认为应用今天会走强，但是没敢去，或者就是等爆发了才去。 而我的意思是， 首先应用符合将成龙的模型， 但是不容易盘前聚焦到。 如果你盘前已经聚焦到了，你就要为自己这个“该死的灵感”下重注。 因为他符合那个重仓模型 =“三位一体符合模式”+“你主观看好” 07/31 15:05"
"独家短线老师6号","07/31 15:01","text_primary_candidate","独家短线老师6号 2027/01/19 感谢老师们7月相伴 07/31 15:01"
"七龙珠","07/31 14:58","text_primary_candidate","七龙珠 2027/01/19 朱平 2026-07-31 14:58:00 量化是真该管管了。。。。 ID：100039 07/31 14:58"
"格兰投研","07/31 14:41","text_primary_candidate","格兰投研 2027/01/19 #格兰投研#：这事儿急不得 现在是空头回补和超跌修复 有机会就T一T降降本2026-07-31 14:39:53 貔貅#四期尾生）:海光、中芯啥时能发个力啊，浪费了今天的大反弹了?? 防止失联QQ群859780254 07/31 14:41"
"周期女王（新一期，重新搞的）","07/31 14:41","text_primary_candidate","周期女王（新一期，重新搞的） 2027/01/19 买入工商银行(601398),成交价7.96元,仓位从0%调到9.99%(调仓涉及具体证券存在潜在投资风险,投资顾问所示操作不保证投资收益.请自主做出投资决策,独立承担投资风险) 阿轩组合 07/31 14:41"
"混江龙","07/31 14:35","text_primary_candidate","混江龙 2027/01/19 藏龙岛:我觉得你这个想法很清奇啊.AA产业爆发.对高端人才的需求很大.但是这种人才是没办法培训出来的。。。 --------------------------- 2026-07-31 12:01:03 上岸的鱼儿:龙哥.有个问题.创智教育走到现在是因为业绩扭亏的独立逻辑还是市场看中它的AA人工智能培训的逻辑.在传智教育走强的同时创业黑马也在走强.这两个短期都翻倍了.也都是做AA人工智能培训相关的；今天人工智能大模型爆发.从现实生活来.AA产业爆发.这方面的人才也是短缺的.会催生大量的培训需求.后续是不是能高看一眼 07/31 14:35"
"孙悟空金牌","07/31 14:23","text_primary_candidate","孙悟空金牌 2027/01/19 投研圈保险、银行！都开始拉了 07/31 14:23"
"核心逻辑社一期26.8.15","07/31 14:19","text_primary_candidate","核心逻辑社一期26.8.15 2027/01/19 棒古指数大涨18cm，蛙古指数大涨8cm，纳指期货指数又大涨近400点。 大A醒醒吧，王王队醒醒吧，尾盘拉一波！！！ 07/31 14:19"
