artifact_file	source_repo_path	repo_path	producer	scope	evidence_mode	status	note
lifted_trading_analysis/	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archive_only	lifted 快照目录（含大量来源文档与旧 .trae）
legacy_analysis_inventory__nohash__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/legacy_analysis_inventory__nohash__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	盘点清单（无 hash）
legacy_analysis_inventory__nohash__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/legacy_analysis_inventory__nohash__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	盘点汇总（无 hash）
legacy_analysis_inventory__sha256__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/legacy_analysis_inventory__sha256__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	盘点清单（sha256）
legacy_analysis_inventory__sha256__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/legacy_analysis_inventory__sha256__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	盘点汇总（sha256）
inventory_compare_src_vs_dst__20260707.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/inventory_compare_src_vs_dst__20260707.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	源/目标对齐对比
inventory_compare_src_vs_dst__20260707_pass2.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/inventory_compare_src_vs_dst__20260707_pass2.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	源/目标对齐对比（pass2）
gaps_docs__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_docs__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：docs
gaps_docs__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_docs__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：docs（summary）
gaps_data__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_data__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：data
gaps_data__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_data__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：data（summary）
gaps_tools__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_tools__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：tools
gaps_tools__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_tools__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：tools（summary）
gaps_trae__20260707.tsv	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_trae__20260707.tsv	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：trae
gaps_trae__20260707.summary.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/gaps_trae__20260707.summary.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	缺口分析：trae（summary）
legacy_analysis_ref_rewrite_report__20260707.json	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/legacy_analysis_ref_rewrite_report__20260707.json	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	historical_recovered	archived_report	引用改写报告（若存在）
BATCH_09_LEGACY_ANALYSIS_MIGRATION_EXECUTION_CARD__20260707.md	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/BATCH_09_LEGACY_ANALYSIS_MIGRATION_EXECUTION_CARD__20260707.md	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	hard	index_note	批次执行卡（本仓补齐）
README.md	unknown_source	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/README.md	legacy_analysis_migration_tooling	batch_09_legacy_analysis_migration	hard	index_note	批次 README（本仓补齐）
