lifted_rel_path	category	proposed_target_rel_path	size_bytes	sha256
docs/MT4_MT5_安装与数据目录定位_v1.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/MT4_MT5_安装与数据目录定位_v1.md	3054	9f101aad17b747c7c9f58066d4664361a910e3c70bfb76429340dcc9ad4c4520
docs/P0_规则子表_v0.1.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/P0_规则子表_v0.1.md	26159	387adfcb28fa5ded73c60128227787d35e1d04d7cabfad3298e79e17dafcd9a0
docs/README__ARCHIVE_ONLY_BACKLOG_DOCS_MOVED__20260706.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/README__ARCHIVE_ONLY_BACKLOG_DOCS_MOVED__20260706.md	471	81237f405f0b94d2675f38d85442fafed03fee5103ee6213189f1e46b973d56f
docs/README__ARCHIVE_ONLY_BATCH_DOCS_MOVED__20260706.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/README__ARCHIVE_ONLY_BATCH_DOCS_MOVED__20260706.md	490	52d53544227cc9ee3ee0cc9f902a1b5f6ed0ff531466dc76e205cd67b454d989
docs/README__ARCHIVE_ONLY_COMMIT_HELPERS_MOVED__20260706.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/README__ARCHIVE_ONLY_COMMIT_HELPERS_MOVED__20260706.md	462	3beffdba433df6b21f616deba06024338a1051183d5c77ac2dc47840d7a7258f
docs/README__ARCHIVE_ONLY_DOCS_SCOPE__20260706.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/README__ARCHIVE_ONLY_DOCS_SCOPE__20260706.md	773	8e9246436e8037c90e681693661888d6bcbf6f91c115a369c56606e3e0f0c16e
docs/SKILL_DIRECTORY_TRIAGE__2026-06-24.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/SKILL_DIRECTORY_TRIAGE__2026-06-24.md	7682	13ef419ad780d3c8a40e49b79b545e9bee968fc5734bbd4d8649770a3438038c
docs/TK-R4_USD_half_risk_SchemeB_Quickstart.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/TK-R4_USD_half_risk_SchemeB_Quickstart.md	2166	ba9dcbb5fbbb025079e663c864620f90451ddeb08c4d69e59a8e1e186a6102cb
docs/indexes/_ai_index_legacy_20260611.txt	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/indexes/_ai_index_legacy_20260611.txt	51983	8b88e17adfb96c0f8ec41164e93b9f34426e9fe2f71b0d02ba31f5281d8f626e
docs/rules_index.md	docs_backlog_or_other	12_tooling_runtime_archive/batch_08_legacy_docs_backlog__20260706/rules_index.md	950	944477bcc1ad0cb2968ae5228297c46df2f96513e958a3c4fc041ade3e9bed55
