bucket	title_short	version	retain_mode	current_repo_role	quant_rows	path
择时	产业资本增减持择时	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__择时__产业资本增减持择时__v2.md
择时	恐惧与贪婪择时指标	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__择时__恐惧与贪婪择时指标__v2.md
资产配置	两融ETF投资机会_海通轮动	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	30	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__两融ETF投资机会_海通轮动__v2.md
资产配置	华夏ETF风格轮动之一_YTM导航仪	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__华夏ETF风格轮动之一_YTM导航仪__v2.md
资产配置	华夏ETF风格轮动之三_涨跌比择时	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	26	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__华夏ETF风格轮动之三_涨跌比择时__v2.md
资产配置	华夏ETF风格轮动之二_强弱趋势	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__华夏ETF风格轮动之二_强弱趋势__v2.md
资产配置	华夏ETF风格轮动之四_残差动量	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	32	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__华夏ETF风格轮动之四_残差动量__v2.md
资产配置	板块持仓测算_创业板轮动	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__板块持仓测算_创业板轮动__v2.md
资产配置	板块效应动量反转_alpha策略	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	25	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__板块效应动量反转_alpha策略__v2.md
资产配置	海通AK行业轮动策略	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__海通AK行业轮动策略__v2.md
资产配置	涨跌比小盘指数择时	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	34	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__涨跌比小盘指数择时__v2.md
资产配置	涨跌比行业轮动择时	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	28	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__涨跌比行业轮动择时__v2.md
资产配置	行业动量策略进阶_间隔期风险换手率	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__行业动量策略进阶_间隔期风险换手率__v2.md
资产配置	行业基本面预测_工程机械	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	17	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__行业基本面预测_工程机械__v2.md
资产配置	行业基本面预测_煤炭	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__行业基本面预测_煤炭__v2.md
资产配置	行业基本面预测_电力	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	21	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__行业基本面预测_电力__v2.md
资产配置	行业基本面预测_钢铁	v2	FULL_TEXT_RETAIN	A_SHARES_SECTOR_ROTATION	22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__行业基本面预测_钢铁__v2.md
资产配置	衍生产品量化组合管理	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	23	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__资产配置__衍生产品量化组合管理__v2.md
选股	A股全市场选股策略	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__A股全市场选股策略__v2.md
选股	A股市场特征_尾部相关性	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	15	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__A股市场特征_尾部相关性__v2.md
选股	A股市场特征_波段划分	v2	FULL_TEXT_RETAIN	A_SHARES_TIMING	15	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__A股市场特征_波段划分__v2.md
选股	事件驱动_ETF套利	v2	FULL_TEXT_RETAIN		22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_ETF套利__v2.md
选股	事件驱动_业绩预告扭亏预减	v2	FULL_TEXT_RETAIN	A_SHARES_EVENT_DRIVEN	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_业绩预告扭亏预减__v2.md
选股	事件驱动_大股东增减持	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_大股东增减持__v2.md
选股	事件驱动_定增事件投资	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	24	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_定增事件投资__v2.md
选股	事件驱动_指数样本股调整	v2	FULL_TEXT_RETAIN	A_SHARES_EVENT_DRIVEN	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_指数样本股调整__v2.md
选股	事件驱动_组合止损机制	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	23	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_组合止损机制__v2.md
选股	事件驱动_股东持股结构变化	v2	FULL_TEXT_RETAIN		22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_股东持股结构变化__v2.md
选股	事件驱动_股权激励续篇	v2	FULL_TEXT_RETAIN	A_SHARES_EVENT_DRIVEN	28	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_股权激励续篇__v2.md
选股	事件驱动_股票热度潜在热门股	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	25	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_股票热度潜在热门股__v2.md
选股	事件驱动_规避预案陷阱	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_规避预案陷阱__v2.md
选股	事件驱动_预减快报反弹	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_预减快报反弹__v2.md
选股	事件驱动_高送转	v2	FULL_TEXT_RETAIN	A_SHARES_EVENT_DRIVEN	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__事件驱动_高送转__v2.md
选股	估值指标稳定性选股识别度	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__估值指标稳定性选股识别度__v2.md
选股	分析师盈利预测选股	v2	FULL_TEXT_RETAIN		24	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__分析师盈利预测选股__v2.md
选股	分析师荐股能力评定	v2	FULL_TEXT_RETAIN		21	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__分析师荐股能力评定__v2.md
选股	动量反转市值因子选股识别度	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__动量反转市值因子选股识别度__v2.md
选股	商业贸易行业选股	v2	FULL_TEXT_RETAIN		40	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__商业贸易行业选股__v2.md
选股	捕捉短线反弹机会	v2	FULL_TEXT_RETAIN		29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__捕捉短线反弹机会__v2.md
选股	极值视角多因子选股	v2	FULL_TEXT_RETAIN		29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__极值视角多因子选股__v2.md
选股	极值角度_换手率因子有效性	v2	FULL_TEXT_RETAIN		22	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__极值角度_换手率因子有效性__v2.md
选股	毛利率均值回归选股	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__毛利率均值回归选股__v2.md
选股	现金流量市值比极值效应	v2	FULL_TEXT_RETAIN		29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__现金流量市值比极值效应__v2.md
选股	相关性选股_全市场改进	v2	FULL_TEXT_RETAIN		29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_全市场改进__v2.md
选股	相关性选股_公用事业	v2	FULL_TEXT_RETAIN		29	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_公用事业__v2.md
选股	相关性选股_化学工业	v2	FULL_TEXT_RETAIN		21	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_化学工业__v2.md
选股	相关性选股_房地产	v2	FULL_TEXT_RETAIN		26	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_房地产__v2.md
选股	相关性选股_有色金属	v2	FULL_TEXT_RETAIN		27	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_有色金属__v2.md
选股	相关性选股_纺织服装	v2	FULL_TEXT_RETAIN		31	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__相关性选股_纺织服装__v2.md
选股	行业内业绩弹性_钢铁	v2	FULL_TEXT_RETAIN		21	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__行业内业绩弹性_钢铁__v2.md
选股	行业内选股_有色金属	v2	FULL_TEXT_RETAIN		19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__行业内选股_有色金属__v2.md
选股	行业内选股_钢铁	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__行业内选股_钢铁__v2.md
选股	选股因子_Spearman_KalmanFilter	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__选股因子_Spearman_KalmanFilter__v2.md
选股	选股因子_净换手率	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	20	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__选股因子_净换手率__v2.md
选股	选股因子_动量反转效应	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__选股因子_动量反转效应__v2.md
选股	选股因子_尾部相关性	v2	FULL_TEXT_RETAIN	A_SHARES_FEATURE_POOL	19	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\GROUP_08_A股量化_数据研究\06_pdf_retained_cut_v2\CUTPACK__G08__选股__选股因子_尾部相关性__v2.md
