paper_id	title_anchor	token_type	token	match_file	line_no	line_text	fix_action	suggested_replacement
S-003	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	483	"海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	.pdf	1371199	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-003	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	483	"海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	.pdf	1371199	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-003	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch2_series_copy.py	17	"""S-038"": r""04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf"","	OPTIONAL_TOOL_REF	
S-003	04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	basename	海通选股因子系列研究2：因子模型的尾部相关性研究.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch3_topic_copy.py	17	"""S-003"": r""04_多因子\海通选股因子系列研究2：因子模型的尾部相关性研究.pdf"","	OPTIONAL_TOOL_REF	
S-009	04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	basename	海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\Kimi拆书待入库_批次检查_v1.md	404	- `S-009 -> 00_external_import_staging\confirmed_exact\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf`	IGNORE_ALREADY_STAGING	
S-009	04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	basename	海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	511	"海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	.pdf	519875	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-009	04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	basename	海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py	23	"""external_anchor_rel_path"": r""04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf"","	OPTIONAL_TOOL_REF	
S-009	04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	basename	海通选股因子系列研究6：极值视角下的多因子选股策略.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\tools\group08_batch4_topic_anchor.py	24	"""repo_existing_staging_rel_path"": r""00_external_import_staging\confirmed_exact\04_多因子\海通选股因子系列研究6：极值视角下的多因子选股策略.pdf"","	OPTIONAL_TOOL_REF	
S-010	04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	basename	海通选股因子系列研究21：分析师一致预期相关因子.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	475	"海通选股因子系列研究21：分析师一致预期相关因子.pdf	.pdf	1757184	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
S-010	04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	fullpath	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET_INDEX__2026-06-17.tsv	475	"海通选股因子系列研究21：分析师一致预期相关因子.pdf	.pdf	1757184	D:\Stock\cut_file\S\03_券商研报\04_多因子\海通选股因子系列研究21：分析师一致预期相关因子.pdf	03_券商研报	04_多因子	n	high	compare_first"	KEEP_SNAPSHOT_INDEX	
