file_name	ext	size_bytes	current_path	bucket_l1	bucket_l2	duplicate_candidate	info_density_guess	next_action
01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	.md	124149	D:\Stock\cut_file\S\01_集合竞价教程\01.股票《集合竞价基础规则》共3集\01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
02.老姜《集合竞价线下课程》2.mp4_导出.md	.md	37442	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\02.老姜《集合竞价线下课程》2.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
03.老姜《集合竞价线下课程》3.mp4_导出.md	.md	48521	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\03.老姜《集合竞价线下课程》3.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
04.老姜《集合竞价线下星战》1.mp4_导出.md	.md	54433	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\04.老姜《集合竞价线下星战》1.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
05.老姜《集合竞价线下星战》2.mp4_导出.md	.md	42756	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\05.老姜《集合竞价线下星战》2.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
老班长《早盘集合竞价》.mp4_导出.md	.md	79937	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《早盘集合竞价》.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
老班长《涨停板集合竞价》上.wmv_导出.md	.md	41160	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》上.wmv_导出.md	01_集合竞价教程		n	medium	compare_first
老班长《涨停板集合竞价》下.wmv_导出.md	.md	8554	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》下.wmv_导出.md	01_集合竞价教程		n	medium	compare_first
【朱玄】集合竞价异动.mp4_导出.md	.md	152501	D:\Stock\cut_file\S\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价异动.mp4_导出.md	01_集合竞价教程		n	medium	compare_first
【朱玄】集合竞价抓涨停.avi_导出.md	.md	73608	D:\Stock\cut_file\S\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价抓涨停.avi_导出.md	01_集合竞价教程		n	medium	compare_first
