bucket_l1	file_name	source_path	staging_path	source_exists	staging_exists	source_size	staging_size	stage_status
01_集合竞价教程	01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\01.股票《集合竞价基础规则》共3集\01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\01.股票《集合竞价基础规则》共3集\01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	1	1	124149	124149	COPIED_OR_SYNCED
01_集合竞价教程	02.老姜《集合竞价线下课程》2.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\02.老姜《集合竞价线下课程》2.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\02.老姜《集合竞价线下课程》2.mp4_导出.md	1	1	37442	37442	COPIED_OR_SYNCED
01_集合竞价教程	03.老姜《集合竞价线下课程》3.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\03.老姜《集合竞价线下课程》3.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\03.老姜《集合竞价线下课程》3.mp4_导出.md	1	1	48521	48521	COPIED_OR_SYNCED
01_集合竞价教程	04.老姜《集合竞价线下星战》1.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\04.老姜《集合竞价线下星战》1.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\04.老姜《集合竞价线下星战》1.mp4_导出.md	1	1	54433	54433	COPIED_OR_SYNCED
01_集合竞价教程	05.老姜《集合竞价线下星战》2.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\05.老姜《集合竞价线下星战》2.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\02.老姜《盘口集合竞价战法》共5集\05.老姜《集合竞价线下星战》2.mp4_导出.md	1	1	42756	42756	COPIED_OR_SYNCED
01_集合竞价教程	老班长《早盘集合竞价》.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《早盘集合竞价》.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《早盘集合竞价》.mp4_导出.md	1	1	79937	79937	COPIED_OR_SYNCED
01_集合竞价教程	老班长《涨停板集合竞价》上.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》上.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》上.wmv_导出.md	1	1	41160	41160	COPIED_OR_SYNCED
01_集合竞价教程	老班长《涨停板集合竞价》下.wmv_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》下.wmv_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\03.老班长《集合竞价培训课》共3集\老班长《涨停板集合竞价》下.wmv_导出.md	1	1	8554	8554	COPIED_OR_SYNCED
01_集合竞价教程	【朱玄】集合竞价异动.mp4_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价异动.mp4_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价异动.mp4_导出.md	1	1	152501	152501	COPIED_OR_SYNCED
01_集合竞价教程	【朱玄】集合竞价抓涨停.avi_导出.md	D:\Stock\cut_file\S\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价抓涨停.avi_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\01_Kimi拆书待入库\S_BUCKET__staging\01_集合竞价教程\04.朱玄《集合竞价培训课》共2集\【朱玄】集合竞价抓涨停.avi_导出.md	1	1	73608	73608	COPIED_OR_SYNCED
