path	name	dir_rel	size_bytes	sha256	norm_key	copies	reason
D:\Stock\cut_file\S\集合竞价教程\02.老姜《盘口集合竞价战法》共5集\01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	集合竞价教程\02.老姜《盘口集合竞价战法》共5集	124149	ac474b6448d03ad5beb083c439dc8ecc37ff3df78bbc2d481668f393ad8e1dfe	01.什么是集合竞价+02.集合竞价买卖技法+03.集合竞价交易细节_merged.mp4_导出.md	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\101 Formulaic Alphas - arXiv.org(1).pdf	101 Formulaic Alphas - arXiv.org(1).pdf	券商研报	255211	99801b7740f7b2e4b079be20278347fdcf0a8a6a7a491c957dbd4927af5bed27	101 formulaic alphas - arxiv.org.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\151 Trading Strategies(1).pdf	151 Trading Strategies(1).pdf	券商研报	5139667	274775e8521a628cfae6e986589bed752de64f125b5603f25ac1df79ed3089cb	151 trading strategies.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\151 Trading Strategies论文版(1).pdf	151 Trading Strategies论文版(1).pdf	券商研报	1771144	cb54cc8151588f33f7f1358e10a06df4764d395f6358e1de39c19628dea3d6c6	151 trading strategies论文版.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20130620-国泰君安-2013年夏季金融工程沙龙：高频交易，海外发展与国内展望(1).pdf	20130620-国泰君安-2013年夏季金融工程沙龙：高频交易，海外发展与国内展望(1).pdf	券商研报	724091	dff5c33c1000fada368160ef043e2ffa831445bf6af3ea209aea65775992b743	20130620-国泰君安-2013年夏季金融工程沙龙：高频交易，海外发展与国内展望.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20131211-民生证券-CTA程序化交易实务研究之六：基于机器学习的订单簿高频交易策略(1).pdf	20131211-民生证券-CTA程序化交易实务研究之六：基于机器学习的订单簿高频交易策略(1).pdf	券商研报	1698419	bc06e3492335d1eebe34bcebaaa9a75dfdf36f122b422197bd4a33767c3bf68c	20131211-民生证券-cta程序化交易实务研究之六：基于机器学习的订单簿高频交易策略.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20140815-银河证券-CTA程序化交易实务研究之八：期指Level2行情的价格发现研究及高频实战体会(1).pdf	20140815-银河证券-CTA程序化交易实务研究之八：期指Level2行情的价格发现研究及高频实战体会(1).pdf	券商研报	1667590	02e8d629338fdaaab58dea2a506e6468ec43e71a3563cdedd6e1a6ad3cecfca8	20140815-银河证券-cta程序化交易实务研究之八：期指level2行情的价格发现研究及高频实战体会.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20160606-海通证券-选股因子系列研究（十一）：Level2行情选股因子初探(1).pdf	20160606-海通证券-选股因子系列研究（十一）：Level2行情选股因子初探(1).pdf	券商研报	874494	75f4b9e25858a11fc89832a5163aafbbb1e52056ffe1057954c426b66b8f3efb	20160606-海通证券-选股因子系列研究（十一）：level2行情选股因子初探.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20170310-长江证券-金工高频识途系列（一）：基于买入行为构建情绪因子(1).pdf	20170310-长江证券-金工高频识途系列（一）：基于买入行为构建情绪因子(1).pdf	券商研报	901118	d710f55a6602e37497b4d5929e011d74141cc865185f6c009f451d101a187a41	20170310-长江证券-金工高频识途系列（一）：基于买入行为构建情绪因子.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20170505-海通证券-选股因子系列研究（十九）：高频因子之股票收益分布特征(1).pdf	20170505-海通证券-选股因子系列研究（十九）：高频因子之股票收益分布特征(1).pdf	券商研报	1540805	2fb6a0f55f9e692d330102d8d50bd427460a99381eec4890093b636ea76962d8	20170505-海通证券-选股因子系列研究（十九）：高频因子之股票收益分布特征.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20170801-天风证券-利用高频数据拓展盘口数据：买卖压力失衡(1).pdf	20170801-天风证券-利用高频数据拓展盘口数据：买卖压力失衡(1).pdf	券商研报	1471632	013df4debc376bc5a1187db1e1c0175d345f46fbdfd54053fada7faf07405595	20170801-天风证券-利用高频数据拓展盘口数据：买卖压力失衡.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20170813-方正证券-“聆听高频世界的声音”系列研究（六）：本福特的启示，从分钟成交量看机构痕迹(1).pdf	20170813-方正证券-“聆听高频世界的声音”系列研究（六）：本福特的启示，从分钟成交量看机构痕迹(1).pdf	券商研报	1117192	909a2980e24f835b17e5966eb22ac596a049d5c028cb0aefdca70fbbfcc49322	20170813-方正证券-“聆听高频世界的声音”系列研究（六）：本福特的启示，从分钟成交量看机构痕迹.pdf	2	same_hash_as_keep
D:\Stock\cut_file\S\券商研报\20170909-海通证券-选股因子系列研究（二十五）：高频因子之已实现波动分解(1).pdf	20170909-海通证券-选股因子系列研究（二十五）：高频因子之已实现波动分解(1).pdf	券商研报	1299977	ce14e086fd1716015c7ed6542d61b122c73f95cf467339bc90a82ee57aebff4b	20170909-海通证券-选股因子系列研究（二十五）：高频因子之已实现波动分解.pdf	2	same_hash_as_keep
