symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
AAPL.NAS,H1,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T17:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T18:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T19:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T21:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-02T22:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T17:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T18:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T19:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T21:00:00Z,na,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-03T22:00:00Z,1.597143,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T16:00:00Z,1.671429,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T17:00:00Z,1.602143,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T18:00:00Z,1.611429,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T19:00:00Z,1.528571,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T20:00:00Z,1.487857,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-06T21:00:00Z,1.467143,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-06T22:00:00Z,1.404286,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T16:00:00Z,1.353571,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T17:00:00Z,1.328571,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T18:00:00Z,1.359286,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T19:00:00Z,1.417857,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T20:00:00Z,1.450000,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T21:00:00Z,1.439286,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-07T22:00:00Z,1.446429,na,na,unknown,1,low,0,na
AAPL.NAS,H1,2025-01-08T16:00:00Z,1.354286,na,na,unknown,0,off,1,na
AAPL.NAS,H1,2025-01-08T17:00:00Z,1.412857,na,na,unknown,0,off,0,na
AAPL.NAS,H1,2025-01-08T18:00:00Z,1.381429,na,na,unknown,0,off,0,na
