symbol,timeframe,bar_time,open,high,low,close
AAPL.NAS,H1,2025-01-02T16:00:00Z,246.41,246.97,244.77,246.87
AAPL.NAS,H1,2025-01-02T17:00:00Z,246.85,247.8,244.81,245.4
AAPL.NAS,H1,2025-01-02T18:00:00Z,245.39,245.46,244.16,244.67
AAPL.NAS,H1,2025-01-02T19:00:00Z,244.66,245.22,242.3,242.97
AAPL.NAS,H1,2025-01-02T20:00:00Z,242.98,243.02,241.81,242.24
AAPL.NAS,H1,2025-01-02T21:00:00Z,242.23,242.82,241.86,241.95
AAPL.NAS,H1,2025-01-02T22:00:00Z,241.97,243.75,241.97,243.45
AAPL.NAS,H1,2025-01-03T16:00:00Z,242.47,244.15,241.89,243.09
AAPL.NAS,H1,2025-01-03T17:00:00Z,243.09,243.98,242.13,243.01
AAPL.NAS,H1,2025-01-03T18:00:00Z,243.0,244.03,242.67,243.31
AAPL.NAS,H1,2025-01-03T19:00:00Z,243.33,243.49,242.37,242.49
AAPL.NAS,H1,2025-01-03T20:00:00Z,242.49,243.15,242.27,242.73
AAPL.NAS,H1,2025-01-03T21:00:00Z,242.7,243.43,242.57,243.25
AAPL.NAS,H1,2025-01-03T22:00:00Z,243.21,243.24,242.6,242.88
AAPL.NAS,H1,2025-01-06T16:00:00Z,245.87,246.12,244.17,244.42
AAPL.NAS,H1,2025-01-06T17:00:00Z,244.43,246.44,244.42,246.34
AAPL.NAS,H1,2025-01-06T18:00:00Z,246.33,247.32,245.89,246.25
AAPL.NAS,H1,2025-01-06T19:00:00Z,246.24,246.48,244.72,244.96
AAPL.NAS,H1,2025-01-06T20:00:00Z,244.96,245.11,244.47,244.81
AAPL.NAS,H1,2025-01-06T21:00:00Z,244.83,245.17,244.5,244.57
AAPL.NAS,H1,2025-01-06T22:00:00Z,244.56,245.33,244.41,245.28
AAPL.NAS,H1,2025-01-07T16:00:00Z,243.94,245.31,243.76,244.91
AAPL.NAS,H1,2025-01-07T17:00:00Z,244.83,245.52,244.02,244.65
AAPL.NAS,H1,2025-01-07T18:00:00Z,244.66,244.77,242.98,243.07
AAPL.NAS,H1,2025-01-07T19:00:00Z,243.05,243.29,241.35,242.24
AAPL.NAS,H1,2025-01-07T20:00:00Z,242.28,243.39,242.06,242.31
AAPL.NAS,H1,2025-01-07T21:00:00Z,242.32,242.56,241.85,242.2
AAPL.NAS,H1,2025-01-07T22:00:00Z,242.23,242.27,241.52,242.02
AAPL.NAS,H1,2025-01-08T16:00:00Z,241.23,241.61,240.07,240.89
AAPL.NAS,H1,2025-01-08T17:00:00Z,240.92,243.69,240.85,243.47
AAPL.NAS,H1,2025-01-08T18:00:00Z,243.46,243.64,242.65,243.26
AAPL.NAS,H1,2025-01-08T19:00:00Z,243.25,243.27,241.21,241.39
AAPL.NAS,H1,2025-01-08T20:00:00Z,241.38,242.51,241.11,241.41
AAPL.NAS,H1,2025-01-08T21:00:00Z,241.42,242.97,241.02,241.86
AAPL.NAS,H1,2025-01-08T22:00:00Z,241.85,242.47,241.69,242.36
AAPL.NAS,H1,2025-01-10T16:00:00Z,238.37,239.29,237.47,237.87
AAPL.NAS,H1,2025-01-10T17:00:00Z,237.74,237.74,235.45,235.87
AAPL.NAS,H1,2025-01-10T18:00:00Z,235.87,236.54,233.0,234.85
AAPL.NAS,H1,2025-01-10T19:00:00Z,234.88,235.88,234.81,235.7
AAPL.NAS,H1,2025-01-10T20:00:00Z,235.7,237.58,235.63,237.42
AAPL.NAS,H1,2025-01-10T21:00:00Z,237.43,237.47,235.93,236.34
AAPL.NAS,H1,2025-01-10T22:00:00Z,236.33,236.94,235.75,236.94
AAPL.NAS,H1,2025-01-13T16:00:00Z,231.25,231.59,230.21,230.3
AAPL.NAS,H1,2025-01-13T17:00:00Z,230.33,231.78,229.73,231.11
AAPL.NAS,H1,2025-01-13T18:00:00Z,231.12,231.7,230.38,230.64
AAPL.NAS,H1,2025-01-13T19:00:00Z,230.66,233.22,230.4,233.15
AAPL.NAS,H1,2025-01-13T20:00:00Z,233.13,233.89,232.82,233.84
AAPL.NAS,H1,2025-01-13T21:00:00Z,233.83,234.18,233.25,233.92
AAPL.NAS,H1,2025-01-13T22:00:00Z,233.91,234.38,233.42,234.38
