symbol,timeframe,bar_time,open,high,low,close
EURUSD,M15,2025-01-02T00:00:00Z,1.03515,1.03527,1.03487,1.03495
EURUSD,M15,2025-01-02T00:15:00Z,1.03494,1.03545,1.03494,1.03539
EURUSD,M15,2025-01-02T00:30:00Z,1.03541,1.03573,1.03536,1.03569
EURUSD,M15,2025-01-02T00:45:00Z,1.03569,1.03579,1.03555,1.03556
EURUSD,M15,2025-01-02T01:00:00Z,1.03556,1.03567,1.03503,1.0354
EURUSD,M15,2025-01-02T01:15:00Z,1.0354,1.03545,1.03515,1.03515
EURUSD,M15,2025-01-02T01:30:00Z,1.03515,1.03519,1.03466,1.03493
EURUSD,M15,2025-01-02T01:45:00Z,1.03493,1.03534,1.03493,1.03509
EURUSD,M15,2025-01-02T02:00:00Z,1.03509,1.0352,1.03492,1.03496
EURUSD,M15,2025-01-02T02:15:00Z,1.03496,1.03514,1.03474,1.03507
EURUSD,M15,2025-01-02T02:30:00Z,1.03507,1.03519,1.03487,1.0351
EURUSD,M15,2025-01-02T02:45:00Z,1.0351,1.03566,1.03504,1.03522
EURUSD,M15,2025-01-02T03:00:00Z,1.03522,1.03524,1.03443,1.03492
EURUSD,M15,2025-01-02T03:15:00Z,1.03492,1.03542,1.03466,1.03511
EURUSD,M15,2025-01-02T03:30:00Z,1.03511,1.03609,1.03491,1.03583
EURUSD,M15,2025-01-02T03:45:00Z,1.03583,1.036,1.03574,1.03579
EURUSD,M15,2025-01-02T04:00:00Z,1.03579,1.03615,1.03578,1.03604
EURUSD,M15,2025-01-02T04:15:00Z,1.03604,1.03636,1.03596,1.03634
EURUSD,M15,2025-01-02T04:30:00Z,1.03634,1.03674,1.03631,1.0366900000000001
EURUSD,M15,2025-01-02T04:45:00Z,1.0366900000000001,1.03713,1.03664,1.03709
EURUSD,M15,2025-01-02T05:00:00Z,1.03709,1.03733,1.03705,1.03714
EURUSD,M15,2025-01-02T05:15:00Z,1.03714,1.03718,1.03683,1.03705
EURUSD,M15,2025-01-02T05:30:00Z,1.03705,1.03743,1.03701,1.03721
EURUSD,M15,2025-01-02T05:45:00Z,1.03721,1.03726,1.03693,1.03716
EURUSD,M15,2025-01-02T06:00:00Z,1.03718,1.03756,1.03717,1.03744
EURUSD,M15,2025-01-02T06:15:00Z,1.03744,1.0375,1.0371,1.03713
EURUSD,M15,2025-01-02T06:30:00Z,1.03713,1.03716,1.03665,1.03671
EURUSD,M15,2025-01-02T06:45:00Z,1.03671,1.03705,1.03666,1.03694
EURUSD,M15,2025-01-02T07:00:00Z,1.03694,1.03708,1.03654,1.03663
EURUSD,M15,2025-01-02T07:15:00Z,1.03663,1.0367,1.03636,1.03648
EURUSD,M15,2025-01-02T07:30:00Z,1.03648,1.03654,1.0362,1.0362
EURUSD,M15,2025-01-02T07:45:00Z,1.0362,1.0365,1.03618,1.03638
EURUSD,M15,2025-01-02T08:00:00Z,1.03638,1.0364,1.03609,1.03623
EURUSD,M15,2025-01-02T08:15:00Z,1.03623,1.03635,1.03605,1.03617
EURUSD,M15,2025-01-02T08:30:00Z,1.03617,1.0364,1.036,1.03635
EURUSD,M15,2025-01-02T08:45:00Z,1.03635,1.0365,1.03623,1.03638
EURUSD,M15,2025-01-02T09:00:00Z,1.03638,1.03683,1.0363,1.03678
EURUSD,M15,2025-01-02T09:15:00Z,1.03678,1.03694,1.03659,1.03687
EURUSD,M15,2025-01-02T09:30:00Z,1.03687,1.03695,1.03659,1.03682
EURUSD,M15,2025-01-02T09:45:00Z,1.03682,1.03725,1.03624,1.03629
