symbol,timeframe,bar_time,open,high,low,close
HK50,H1,2025-01-02T03:00:00Z,19984.45,20007.45,19649.45,19666.45
HK50,H1,2025-01-02T04:00:00Z,19667.45,19816.45,19496.45,19782.45
HK50,H1,2025-01-02T05:00:00Z,19782.45,19799.45,19701.45,19734.45
HK50,H1,2025-01-02T06:00:00Z,19733.45,19733.45,19732.45,19732.45
HK50,H1,2025-01-02T07:00:00Z,19744.45,19776.45,19609.45,19649.45
HK50,H1,2025-01-02T08:00:00Z,19649.45,19651.45,19525.45,19578.45
HK50,H1,2025-01-02T09:00:00Z,19578.45,19595.45,19538.45,19540.45
HK50,H1,2025-01-02T10:00:00Z,19540.45,19585.45,19530.45,19554.45
HK50,H1,2025-01-02T11:00:00Z,19565.45,19592.45,19554.45,19573.45
HK50,H1,2025-01-02T12:00:00Z,19574.45,19579.45,19500.45,19502.45
HK50,H1,2025-01-02T13:00:00Z,19502.45,19565.45,19489.45,19562.45
HK50,H1,2025-01-02T14:00:00Z,19562.45,19575.45,19551.45,19572.45
HK50,H1,2025-01-02T15:00:00Z,19573.45,19586.45,19551.45,19584.45
HK50,H1,2025-01-02T16:00:00Z,19584.45,19645.45,19572.45,19616.45
HK50,H1,2025-01-02T17:00:00Z,19616.45,19654.45,19580.45,19627.45
HK50,H1,2025-01-02T18:00:00Z,19628.45,19631.45,19569.45,19611.45
HK50,H1,2025-01-02T19:00:00Z,19611.45,19625.45,19540.45,19568.45
HK50,H1,2025-01-02T20:00:00Z,19568.45,19581.45,19524.45,19525.45
HK50,H1,2025-01-03T03:00:00Z,19644.74,19691.74,19593.74,19624.74
HK50,H1,2025-01-03T04:00:00Z,19624.74,19848.74,19616.74,19778.74
HK50,H1,2025-01-03T05:00:00Z,19778.74,19876.74,19757.74,19770.74
HK50,H1,2025-01-03T06:00:00Z,19770.74,19770.74,19769.74,19769.74
HK50,H1,2025-01-03T07:00:00Z,19737.74,19743.74,19655.74,19687.74
HK50,H1,2025-01-03T08:00:00Z,19687.74,19689.74,19604.74,19668.74
HK50,H1,2025-01-03T09:00:00Z,19668.74,19719.74,19633.74,19713.74
HK50,H1,2025-01-03T10:00:00Z,19712.74,19738.74,19671.74,19683.74
HK50,H1,2025-01-03T11:00:00Z,19712.74,19726.74,19682.74,19684.74
HK50,H1,2025-01-03T12:00:00Z,19684.74,19694.74,19659.74,19679.74
HK50,H1,2025-01-03T13:00:00Z,19679.74,19715.74,19677.74,19707.74
HK50,H1,2025-01-03T14:00:00Z,19707.74,19713.74,19692.74,19694.74
HK50,H1,2025-01-03T15:00:00Z,19694.74,19730.74,19690.74,19725.74
HK50,H1,2025-01-03T16:00:00Z,19725.74,19768.74,19710.74,19733.74
HK50,H1,2025-01-03T17:00:00Z,19733.74,19742.74,19687.74,19742.74
HK50,H1,2025-01-03T18:00:00Z,19741.74,19758.74,19725.74,19750.74
HK50,H1,2025-01-03T19:00:00Z,19750.74,19770.74,19743.74,19758.74
HK50,H1,2025-01-03T20:00:00Z,19758.74,19773.74,19749.74,19749.74
HK50,H1,2025-01-06T03:00:00Z,19776.28,19869.28,19635.28,19651.28
HK50,H1,2025-01-06T04:00:00Z,19653.28,19811.28,19624.28,19764.28
HK50,H1,2025-01-06T05:00:00Z,19764.28,19790.28,19674.28,19691.28
HK50,H1,2025-01-06T06:00:00Z,19691.28,19691.28,19689.28,19689.28
HK50,H1,2025-01-06T07:00:00Z,19676.28,19694.28,19605.28,19630.28
HK50,H1,2025-01-06T08:00:00Z,19630.28,19679.28,19617.28,19632.28
HK50,H1,2025-01-06T09:00:00Z,19632.28,19684.28,19631.28,19662.28
HK50,H1,2025-01-06T10:00:00Z,19662.28,19716.28,19651.28,19685.28
HK50,H1,2025-01-06T11:00:00Z,19700.28,19721.28,19696.28,19709.28
HK50,H1,2025-01-06T12:00:00Z,19709.28,19711.28,19664.28,19666.28
HK50,H1,2025-01-06T13:00:00Z,19666.28,20091.28,19656.28,20027.28
HK50,H1,2025-01-06T14:00:00Z,20027.28,20088.28,20007.28,20066.28
HK50,H1,2025-01-06T15:00:00Z,20066.28,20128.28,20066.28,20094.28
HK50,H1,2025-01-06T16:00:00Z,20094.28,20127.28,19805.28,19920.28
HK50,H1,2025-01-06T17:00:00Z,19916.28,19951.28,19714.28,19772.28
HK50,H1,2025-01-06T18:00:00Z,19774.28,19803.28,19713.28,19745.28
HK50,H1,2025-01-06T19:00:00Z,19745.28,19745.28,19597.28,19607.28
HK50,H1,2025-01-06T20:00:00Z,19607.28,19636.28,19572.28,19622.28
HK50,H1,2025-01-07T03:00:00Z,19577.36,19624.36,19471.36,19573.36
HK50,H1,2025-01-07T04:00:00Z,19574.36,19650.36,19269.36,19298.36
HK50,H1,2025-01-07T05:00:00Z,19298.36,19340.36,19257.36,19287.36
