symbol,timeframe,bar_time,open,high,low,close
JP225,H4,2025-01-02T00:00:00Z,39391.32,39569.82,39159.82,39347.32
JP225,H4,2025-01-02T04:00:00Z,39344.82,39472.32,39314.82,39444.82
JP225,H4,2025-01-02T08:00:00Z,39444.82,39490.27,39264.02,39424.02
JP225,H4,2025-01-02T12:00:00Z,39424.02,39551.52,39303.82,39326.32
JP225,H4,2025-01-02T16:00:00Z,39327.57,39655.07,39153.82,39350.07
JP225,H4,2025-01-02T20:00:00Z,39350.07,39448.82,39158.82,39390.07
JP225,H4,2025-01-03T00:00:00Z,39390.07,39456.88,39256.88,39268.13
JP225,H4,2025-01-03T04:00:00Z,39269.38,39333.13,39210.63,39235.63
JP225,H4,2025-01-03T08:00:00Z,39231.88,39382.33,39197.33,39317.33
JP225,H4,2025-01-03T12:00:00Z,39317.33,39333.38,39242.33,39292.13
JP225,H4,2025-01-03T16:00:00Z,39292.13,39548.38,39287.13,39527.13
JP225,H4,2025-01-03T20:00:00Z,39527.13,39599.63,39494.63,39519.63
JP225,H4,2025-01-06T00:00:00Z,39594.59,39978.09,39383.09,39393.09
JP225,H4,2025-01-06T04:00:00Z,39389.34,39430.59,39208.09,39318.09
JP225,H4,2025-01-06T08:00:00Z,39320.59,39481.04,39222.29,39473.54
JP225,H4,2025-01-06T12:00:00Z,39474.79,39652.29,39452.29,39569.59
JP225,H4,2025-01-06T16:00:00Z,39572.09,39829.59,39428.34,39722.09
JP225,H4,2025-01-06T20:00:00Z,39724.59,39757.09,39564.59,39702.09
JP225,H4,2025-01-07T00:00:00Z,39702.09,40233.9,39603.9,40207.65
JP225,H4,2025-01-07T04:00:00Z,40206.4,40288.9,40028.9,40123.9
JP225,H4,2025-01-07T08:00:00Z,40123.9,40140.6,39889.35,40026.85
JP225,H4,2025-01-07T12:00:00Z,40028.1,40157.9,40008.1,40150.4
JP225,H4,2025-01-07T16:00:00Z,40150.4,40187.9,39735.4,39797.9
JP225,H4,2025-01-07T20:00:00Z,39797.9,39906.65,39614.15,39792.9
JP225,H4,2025-01-08T00:00:00Z,39792.9,39867.2,39685.95,39819.7
JP225,H4,2025-01-08T04:00:00Z,39819.7,40097.2,39814.7,40023.45
JP225,H4,2025-01-08T08:00:00Z,40022.2,40041.4,39868.9,39925.15
JP225,H4,2025-01-08T12:00:00Z,39923.9,40018.9,39719.95,39823.7
JP225,H4,2025-01-08T16:00:00Z,39822.45,39991.2,39691.2,39808.7
JP225,H4,2025-01-08T20:00:00Z,39808.7,40023.7,39804.95,39863.7
JP225,H4,2025-01-09T00:00:00Z,39863.7,39906.76,39590.51,39630.51
JP225,H4,2025-01-09T04:00:00Z,39631.76,39690.51,39370.51,39553.01
JP225,H4,2025-01-09T08:00:00Z,39550.51,39644.71,39404.71,39507.21
JP225,H4,2025-01-09T12:00:00Z,39507.21,39564.71,39397.01,39467.01
JP225,H4,2025-01-09T16:00:00Z,39467.01,39502.01,39424.51,39484.51
JP225,H4,2025-01-09T20:00:00Z,39485.76,39572.01,39484.51,39514.51
JP225,H4,2025-01-10T00:00:00Z,39514.51,39557.81,39140.06,39351.31
JP225,H4,2025-01-10T04:00:00Z,39351.31,39411.31,39151.31,39251.31
JP225,H4,2025-01-10T08:00:00Z,39251.31,39310.51,38978.01,39080.51
JP225,H4,2025-01-10T12:00:00Z,39081.76,39265.51,39015.31,39045.31
JP225,H4,2025-01-10T16:00:00Z,39047.81,39140.31,38607.81,38760.31
JP225,H4,2025-01-10T20:00:00Z,38757.81,38921.56,38715.31,38750.31
JP225,H4,2025-01-13T00:00:00Z,38755.28,38793.78,38113.78,38268.78
JP225,H4,2025-01-13T04:00:00Z,38268.78,38393.78,38243.78,38378.78
JP225,H4,2025-01-13T08:00:00Z,38378.78,38517.98,38150.48,38167.98
JP225,H4,2025-01-13T12:00:00Z,38167.98,38335.48,38121.73,38257.78
JP225,H4,2025-01-13T16:00:00Z,38257.78,38542.78,38189.03,38539.03
JP225,H4,2025-01-13T20:00:00Z,38540.28,38715.28,38497.78,38690.28
JP225,H4,2025-01-14T00:00:00Z,38690.28,39044.59,38379.59,38384.59
JP225,H4,2025-01-14T04:00:00Z,38384.59,38544.59,38294.59,38394.59
JP225,H4,2025-01-14T08:00:00Z,38395.84,38688.79,38378.34,38655.04
JP225,H4,2025-01-14T12:00:00Z,38655.04,38680.04,38441.09,38563.59
JP225,H4,2025-01-14T16:00:00Z,38563.59,38708.59,38448.59,38578.59
JP225,H4,2025-01-14T20:00:00Z,38576.09,38791.09,38498.59,38701.09
JP225,H4,2025-01-15T00:00:00Z,38701.09,38792.9,38395.4,38520.4
JP225,H4,2025-01-15T04:00:00Z,38520.4,38640.4,38305.4,38355.4
JP225,H4,2025-01-15T08:00:00Z,38355.4,38490.85,38209.6,38334.6
JP225,H4,2025-01-15T12:00:00Z,38337.1,38743.15,38302.1,38694.4
JP225,H4,2025-01-15T16:00:00Z,38694.4,38741.9,38531.9,38624.4
JP225,H4,2025-01-15T20:00:00Z,38624.4,38819.4,38624.4,38684.4
JP225,H4,2025-01-16T00:00:00Z,38684.4,38928.7,38557.45,38573.7
JP225,H4,2025-01-16T04:00:00Z,38573.7,38661.2,38412.45,38466.2
JP225,H4,2025-01-16T08:00:00Z,38466.2,38757.9,38461.2,38545.4
JP225,H4,2025-01-16T12:00:00Z,38544.15,38626.45,38502.9,38547.7
JP225,H4,2025-01-16T16:00:00Z,38545.2,38623.95,38355.2,38445.2
JP225,H4,2025-01-16T20:00:00Z,38445.2,38470.2,38245.2,38302.7
JP225,H4,2025-01-17T00:00:00Z,38302.7,38487.01,38047.01,38067.01
JP225,H4,2025-01-17T04:00:00Z,38067.01,38427.01,38062.01,38397.01
JP225,H4,2025-01-17T08:00:00Z,38397.01,38558.71,38378.71,38553.71
JP225,H4,2025-01-17T12:00:00Z,38553.71,38663.51,38516.21,38659.76
JP225,H4,2025-01-17T16:00:00Z,38659.76,38903.51,38646.01,38778.51
JP225,H4,2025-01-17T20:00:00Z,38778.51,38816.01,38726.01,38788.51
JP225,H4,2025-01-20T00:00:00Z,38780.99,39025.74,38674.49,39004.49
JP225,H4,2025-01-20T04:00:00Z,39004.49,39014.49,38818.24,38939.49
JP225,H4,2025-01-20T08:00:00Z,38939.49,38941.19,38833.69,38847.44
JP225,H4,2025-01-20T12:00:00Z,38848.69,39005.99,38750.99,38985.99
JP225,H4,2025-01-20T16:00:00Z,38985.99,39093.49,38808.49,38939.74
JP225,H4,2025-01-21T00:00:00Z,38958.05,39235.3,38625.3,38899.05
JP225,H4,2025-01-21T04:00:00Z,38897.8,39044.05,38885.3,38935.3
JP225,H4,2025-01-21T08:00:00Z,38935.3,39102.0,38924.5,39102.0
JP225,H4,2025-01-21T12:00:00Z,39102.0,39129.5,38989.5,39051.8
JP225,H4,2025-01-21T16:00:00Z,39051.8,39221.8,38941.8,39211.8
JP225,H4,2025-01-21T20:00:00Z,39213.05,39329.3,39171.8,39324.3
JP225,H4,2025-01-22T00:00:00Z,39324.3,39628.6,39303.6,39621.1
JP225,H4,2025-01-22T04:00:00Z,39621.1,39689.85,39497.35,39633.6
JP225,H4,2025-01-22T08:00:00Z,39633.6,39661.55,39492.8,39585.3
JP225,H4,2025-01-22T12:00:00Z,39585.3,39750.1,39577.8,39747.6
JP225,H4,2025-01-22T16:00:00Z,39747.6,39935.1,39707.6,39860.1
JP225,H4,2025-01-22T20:00:00Z,39860.1,39902.6,39740.1,39763.85
JP225,H4,2025-01-23T00:00:00Z,39763.85,39886.9,39665.65,39821.9
JP225,H4,2025-01-23T04:00:00Z,39821.9,40025.65,39729.4,39981.9
JP225,H4,2025-01-23T08:00:00Z,39981.9,40022.35,39773.6,39832.35
JP225,H4,2025-01-23T12:00:00Z,39831.1,39879.85,39690.9,39713.4
JP225,H4,2025-01-23T16:00:00Z,39713.4,39838.4,39710.9,39770.9
JP225,H4,2025-01-23T20:00:00Z,39770.9,39933.4,39768.4,39848.4
JP225,H4,2025-01-24T00:00:00Z,39845.9,40177.71,39822.71,40102.71
JP225,H4,2025-01-24T04:00:00Z,40102.71,40390.21,39801.46,39977.71
JP225,H4,2025-01-24T08:00:00Z,39976.46,40149.41,39834.41,40126.91
JP225,H4,2025-01-24T12:00:00Z,40124.41,40335.46,40106.91,40272.96
JP225,H4,2025-01-24T16:00:00Z,40271.71,40604.21,40259.21,40534.21
JP225,H4,2025-01-24T20:00:00Z,40534.21,40576.71,40429.21,40479.21
JP225,H4,2025-01-27T00:00:00Z,40331.7,40346.45,39677.7,39731.45
JP225,H4,2025-01-27T04:00:00Z,39730.2,39851.45,39515.2,39556.45
JP225,H4,2025-01-27T08:00:00Z,39557.7,39635.65,39091.9,39116.9
JP225,H4,2025-01-27T12:00:00Z,39116.9,39116.9,38644.4,38976.7
JP225,H4,2025-01-27T16:00:00Z,38976.7,39184.2,38882.95,38944.2
JP225,H4,2025-01-27T20:00:00Z,38946.7,39109.2,38926.7,39084.2
JP225,H4,2025-01-28T00:00:00Z,39082.95,39341.0,38876.0,39118.5
JP225,H4,2025-01-28T04:00:00Z,39118.5,39361.0,38896.0,39027.25
JP225,H4,2025-01-28T08:00:00Z,39026.0,39215.2,38992.25,39190.2
JP225,H4,2025-01-28T12:00:00Z,39190.2,39237.7,39055.2,39195.0
JP225,H4,2025-01-28T16:00:00Z,39192.5,39350.0,38930.0,39232.5
JP225,H4,2025-01-28T20:00:00Z,39232.5,39422.5,39230.0,39375.0
JP225,H4,2025-01-29T00:00:00Z,39375.0,39446.54,39136.54,39211.54
JP225,H4,2025-01-29T04:00:00Z,39206.54,39376.54,39131.54,39256.54
JP225,H4,2025-01-29T08:00:00Z,39256.54,39609.49,39256.54,39468.24
JP225,H4,2025-01-29T12:00:00Z,39469.49,39543.24,39308.04,39373.04
JP225,H4,2025-01-29T16:00:00Z,39373.04,39410.54,39193.04,39265.54
JP225,H4,2025-01-29T20:00:00Z,39265.54,39411.79,39110.54,39378.04
JP225,H4,2025-01-30T00:00:00Z,39378.04,39468.95,39205.2,39450.2
JP225,H4,2025-01-30T04:00:00Z,39450.2,39593.95,39385.2,39447.7
JP225,H4,2025-01-30T08:00:00Z,39448.95,39536.9,39391.9,39441.9
