symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
EURUSD,M15,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T00:15:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T00:30:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T00:45:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T01:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T01:15:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T01:30:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T01:45:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T02:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T02:15:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T02:30:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T02:45:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T03:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T03:15:00Z,0.000471,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T03:30:00Z,0.000526,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T03:45:00Z,0.000509,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T04:00:00Z,0.000509,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T04:15:00Z,0.000520,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T04:30:00Z,0.000505,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T04:45:00Z,0.000519,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T05:00:00Z,0.000501,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T05:15:00Z,0.000496,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T05:30:00Z,0.000506,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T05:45:00Z,0.000501,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T06:00:00Z,0.000507,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T06:15:00Z,0.000491,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T06:30:00Z,0.000470,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T06:45:00Z,0.000444,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T07:00:00Z,0.000398,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T07:15:00Z,0.000404,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T07:30:00Z,0.000401,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T07:45:00Z,0.000396,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T08:00:00Z,0.000387,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T08:15:00Z,0.000374,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T08:30:00Z,0.000382,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T08:45:00Z,0.000376,na,na,unknown,0,off,0,na
EURUSD,M15,2025-01-02T09:00:00Z,0.000384,na,na,unknown,1,low,0,na
EURUSD,M15,2025-01-02T09:15:00Z,0.000386,na,na,unknown,1,low,0,na
EURUSD,M15,2025-01-02T09:30:00Z,0.000383,na,na,unknown,1,low,0,na
EURUSD,M15,2025-01-02T09:45:00Z,0.000426,na,na,unknown,1,low,0,na
