symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
HK50,H4,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T00:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T04:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T08:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T12:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T00:00:00Z,na,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T04:00:00Z,160.735000,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T08:00:00Z,142.592143,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T12:00:00Z,153.449286,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T16:00:00Z,182.306429,na,na,unknown,0,off,0,na
HK50,H4,2025-01-06T20:00:00Z,179.949286,na,na,unknown,0,off,0,na
HK50,H4,2025-01-07T00:00:00Z,182.735000,na,na,unknown,0,off,0,na
HK50,H4,2025-01-07T04:00:00Z,209.092143,na,na,unknown,1,medium,0,na
HK50,H4,2025-01-07T08:00:00Z,211.571429,na,na,unknown,1,low,0,na
HK50,H4,2025-01-07T12:00:00Z,198.714286,na,na,unknown,1,low,0,na
HK50,H4,2025-01-07T16:00:00Z,197.928571,na,na,unknown,1,low,0,na
HK50,H4,2025-01-07T20:00:00Z,195.571429,na,na,unknown,1,low,0,na
HK50,H4,2025-01-08T00:00:00Z,200.928571,na,na,unknown,1,low,0,na
HK50,H4,2025-01-08T04:00:00Z,218.571429,na,na,unknown,0,off,1,na
