symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
JP225,H4,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T00:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T04:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T08:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T12:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T00:00:00Z,na,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T04:00:00Z,258.214286,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T08:00:00Z,247.410714,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T12:00:00Z,250.446429,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T16:00:00Z,262.946429,na,na,unknown,0,off,0,na
JP225,H4,2025-01-06T20:00:00Z,259.003571,na,na,unknown,0,off,0,na
JP225,H4,2025-01-07T00:00:00Z,268.200000,na,na,unknown,0,off,0,na
JP225,H4,2025-01-07T04:00:00Z,266.057143,na,na,unknown,1,low,0,na
JP225,H4,2025-01-07T08:00:00Z,269.717857,na,na,unknown,0,off,1,na
JP225,H4,2025-01-07T12:00:00Z,271.667857,na,na,unknown,0,off,0,na
JP225,H4,2025-01-07T16:00:00Z,290.775000,na,na,unknown,0,off,0,na
JP225,H4,2025-01-07T20:00:00Z,305.164286,na,na,unknown,0,off,0,na
JP225,H4,2025-01-08T00:00:00Z,299.450000,na,na,unknown,0,off,0,na
JP225,H4,2025-01-08T04:00:00Z,312.128571,na,na,unknown,0,off,0,na
JP225,H4,2025-01-08T08:00:00Z,281.950000,na,na,unknown,0,off,0,na
JP225,H4,2025-01-08T12:00:00Z,287.410714,na,na,unknown,0,off,0,na
JP225,H4,2025-01-08T16:00:00Z,290.357143,na,na,unknown,1,low,0,na
