symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
US500,H4,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T00:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T04:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T08:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T12:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T00:00:00Z,na,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T04:00:00Z,31.414286,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T08:00:00Z,30.185714,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T12:00:00Z,31.142857,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T16:00:00Z,33.307143,na,na,unknown,0,off,0,na
US500,H4,2025-01-06T20:00:00Z,34.085714,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T00:00:00Z,27.457143,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T04:00:00Z,25.335714,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T08:00:00Z,25.128571,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T12:00:00Z,25.878571,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T16:00:00Z,30.428571,na,na,unknown,0,off,0,na
US500,H4,2025-01-07T20:00:00Z,33.350000,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T00:00:00Z,31.064286,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T04:00:00Z,30.071429,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T08:00:00Z,30.035714,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T12:00:00Z,32.557143,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T16:00:00Z,34.050000,na,na,unknown,0,off,0,na
US500,H4,2025-01-08T20:00:00Z,34.364286,na,na,unknown,1,low,0,na
US500,H4,2025-01-09T00:00:00Z,31.828571,na,na,unknown,0,off,1,na
US500,H4,2025-01-09T04:00:00Z,29.621429,na,na,unknown,0,off,0,na
US500,H4,2025-01-09T08:00:00Z,30.514286,na,na,unknown,0,off,0,na
US500,H4,2025-01-09T12:00:00Z,30.114286,na,na,unknown,0,off,0,na
US500,H4,2025-01-09T16:00:00Z,29.607143,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T00:00:00Z,29.892857,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T04:00:00Z,25.314286,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T08:00:00Z,22.478571,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T12:00:00Z,26.078571,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T16:00:00Z,30.750000,na,na,unknown,0,off,0,na
US500,H4,2025-01-10T20:00:00Z,33.178571,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T00:00:00Z,31.792857,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T04:00:00Z,29.657143,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T08:00:00Z,29.742857,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T12:00:00Z,30.392857,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T16:00:00Z,32.657143,na,na,unknown,0,off,0,na
US500,H4,2025-01-13T20:00:00Z,33.250000,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T00:00:00Z,33.642857,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T04:00:00Z,33.828571,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T08:00:00Z,33.864286,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T12:00:00Z,35.750000,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T16:00:00Z,39.342857,na,na,unknown,0,off,0,na
US500,H4,2025-01-14T20:00:00Z,37.892857,na,na,unknown,0,off,0,na
US500,H4,2025-01-15T00:00:00Z,33.007143,na,na,unknown,0,off,0,na
US500,H4,2025-01-15T04:00:00Z,29.978571,na,na,unknown,0,off,0,na
US500,H4,2025-01-15T08:00:00Z,28.778571,na,na,unknown,1,low,0,na
US500,H4,2025-01-15T12:00:00Z,34.314286,na,na,unknown,1,low,0,na
US500,H4,2025-01-15T16:00:00Z,34.314286,na,na,unknown,0,off,1,na
US500,H4,2025-01-15T20:00:00Z,34.592857,na,na,unknown,0,off,0,na
US500,H4,2025-01-16T00:00:00Z,32.614286,na,na,unknown,0,off,0,na
US500,H4,2025-01-16T04:00:00Z,31.071429,na,na,unknown,0,off,0,na
US500,H4,2025-01-16T08:00:00Z,32.092857,na,na,unknown,0,off,0,na
US500,H4,2025-01-16T12:00:00Z,32.850000,1.0497,na,unknown,0,off,0,23.91
US500,H4,2025-01-16T16:00:00Z,33.278571,1.0622,na,unknown,0,off,0,21.33
US500,H4,2025-01-16T20:00:00Z,32.507143,1.0360,na,unknown,0,off,0,25.13
US500,H4,2025-01-17T00:00:00Z,29.028571,0.9264,na,unknown,0,off,0,37.94
US500,H4,2025-01-17T04:00:00Z,26.321429,0.8438,na,unknown,0,off,0,40.40
US500,H4,2025-01-17T08:00:00Z,27.357143,0.8808,na,unknown,0,off,0,38.93
US500,H4,2025-01-17T12:00:00Z,29.100000,0.9359,na,unknown,0,off,0,37.25
US500,H4,2025-01-17T16:00:00Z,30.771429,0.9862,na,unknown,0,off,0,30.20
US500,H4,2025-01-17T20:00:00Z,25.557143,0.8189,na,unknown,0,off,0,40.92
US500,H4,2025-01-20T00:00:00Z,24.235714,0.7773,na,unknown,0,off,0,44.16
US500,H4,2025-01-20T04:00:00Z,22.692857,0.7315,na,unknown,0,off,0,46.06
US500,H4,2025-01-20T08:00:00Z,22.464286,0.7292,na,unknown,0,off,0,45.84
US500,H4,2025-01-20T12:00:00Z,24.457143,0.7973,na,unknown,0,off,0,42.41
US500,H4,2025-01-20T16:00:00Z,24.964286,0.8166,na,unknown,0,off,0,39.31
US500,H4,2025-01-21T00:00:00Z,28.692857,0.9394,na,unknown,0,off,0,51.79
US500,H4,2025-01-21T04:00:00Z,27.642857,0.9079,na,unknown,0,off,0,54.25
US500,H4,2025-01-21T08:00:00Z,27.035714,0.8921,na,unknown,0,off,0,55.00
US500,H4,2025-01-21T12:00:00Z,27.350000,0.9067,na,unknown,0,off,0,54.30
US500,H4,2025-01-21T16:00:00Z,29.200000,0.9697,na,unknown,0,off,0,51.62
US500,H4,2025-01-21T20:00:00Z,28.978571,0.9627,na,unknown,0,off,0,46.33
US500,H4,2025-01-22T00:00:00Z,27.792857,0.9250,na,unknown,0,off,0,44.52
US500,H4,2025-01-22T04:00:00Z,25.678571,0.8572,na,unknown,0,off,0,45.36
US500,H4,2025-01-22T08:00:00Z,25.228571,0.8446,na,unknown,0,off,0,43.87
US500,H4,2025-01-22T12:00:00Z,24.550000,0.8249,na,unknown,0,off,0,46.92
US500,H4,2025-01-22T16:00:00Z,25.764286,0.8654,na,unknown,0,off,0,42.14
US500,H4,2025-01-22T20:00:00Z,26.200000,0.8778,na,unknown,0,off,0,45.77
US500,H4,2025-01-23T00:00:00Z,23.871429,0.8010,na,unknown,0,off,0,49.38
US500,H4,2025-01-23T04:00:00Z,21.457143,0.7245,na,unknown,0,off,0,50.48
US500,H4,2025-01-23T08:00:00Z,17.057143,0.5823,na,unknown,0,off,0,56.64
US500,H4,2025-01-23T12:00:00Z,16.692857,0.5758,na,unknown,0,off,0,53.99
US500,H4,2025-01-23T16:00:00Z,16.642857,0.5793,na,unknown,0,off,0,56.49
US500,H4,2025-01-23T20:00:00Z,16.721429,0.5873,na,unknown,0,off,0,54.58
US500,H4,2025-01-24T00:00:00Z,14.421429,0.5123,na,unknown,0,off,0,54.50
US500,H4,2025-01-24T04:00:00Z,13.957143,0.5025,na,unknown,0,off,0,53.91
US500,H4,2025-01-24T08:00:00Z,13.414286,0.4899,na,unknown,0,off,0,53.85
US500,H4,2025-01-24T12:00:00Z,13.707143,0.5080,na,unknown,0,off,0,52.41
US500,H4,2025-01-24T16:00:00Z,14.135714,0.5317,na,unknown,0,off,0,51.74
US500,H4,2025-01-24T20:00:00Z,14.835714,0.5661,na,unknown,0,off,0,51.53
US500,H4,2025-01-27T00:00:00Z,17.264286,0.6682,na,unknown,0,off,0,60.29
US500,H4,2025-01-27T04:00:00Z,17.985714,0.7078,na,unknown,0,off,0,51.91
US500,H4,2025-01-27T08:00:00Z,21.378571,0.8524,na,unknown,0,off,0,37.93
US500,H4,2025-01-27T12:00:00Z,25.628571,1.0279,na,unknown,0,off,0,23.23
US500,H4,2025-01-27T16:00:00Z,28.385714,1.1400,na,unknown,0,off,0,18.52
US500,H4,2025-01-27T20:00:00Z,30.735714,1.2324,na,unknown,0,off,0,19.46
US500,H4,2025-01-28T00:00:00Z,30.864286,1.2410,na,unknown,0,off,0,19.93
US500,H4,2025-01-28T04:00:00Z,30.557143,1.2324,na,unknown,0,off,0,19.69
US500,H4,2025-01-28T08:00:00Z,32.421429,1.3098,na,unknown,0,off,0,20.62
US500,H4,2025-01-28T12:00:00Z,33.457143,1.3508,na,unknown,0,off,0,20.92
US500,H4,2025-01-28T16:00:00Z,37.935714,1.5231,na,unknown,0,off,0,20.74
US500,H4,2025-01-28T20:00:00Z,38.750000,1.5476,na,unknown,0,off,0,20.73
US500,H4,2025-01-29T00:00:00Z,37.735714,1.5012,na,unknown,0,off,0,20.90
US500,H4,2025-01-29T04:00:00Z,37.021429,1.4684,na,unknown,0,off,0,22.55
US500,H4,2025-01-29T08:00:00Z,34.014286,1.3475,na,unknown,0,off,0,22.74
US500,H4,2025-01-29T12:00:00Z,33.942857,1.3395,na,unknown,0,off,0,23.23
US500,H4,2025-01-29T16:00:00Z,31.614286,1.2424,na,unknown,0,off,0,25.46
US500,H4,2025-01-29T20:00:00Z,30.114286,1.1809,na,unknown,0,off,0,28.35
US500,H4,2025-01-30T00:00:00Z,28.557143,1.1203,na,unknown,1,low,0,35.07
US500,H4,2025-01-30T04:00:00Z,25.892857,1.0197,na,unknown,1,low,0,47.29
US500,H4,2025-01-30T08:00:00Z,25.221429,0.9935,na,unknown,1,low,0,45.98
US500,H4,2025-01-30T12:00:00Z,25.328571,0.9969,na,unknown,1,low,0,46.00
US500,H4,2025-01-30T16:00:00Z,26.821429,1.0522,na,unknown,1,low,0,39.88
US500,H4,2025-01-30T20:00:00Z,28.392857,1.1087,na,unknown,1,low,0,39.00
US500,H4,2025-01-31T00:00:00Z,25.300000,0.9873,na,unknown,1,medium,0,49.83
US500,H4,2025-01-31T04:00:00Z,24.400000,0.9526,na,unknown,1,low,0,52.39
US500,H4,2025-01-31T08:00:00Z,24.935714,0.9763,na,unknown,1,medium,0,46.60
US500,H4,2025-01-31T12:00:00Z,24.764286,0.9718,na,unknown,1,medium,0,53.42
US500,H4,2025-01-31T16:00:00Z,25.785714,1.0129,na,unknown,1,low,0,43.42
US500,H4,2025-01-31T20:00:00Z,29.771429,1.1672,na,unknown,1,medium,0,43.11
US500,H4,2025-02-03T00:00:00Z,36.607143,1.4270,na,unknown,0,off,1,25.53
US500,H4,2025-02-03T04:00:00Z,35.235714,1.3668,na,unknown,0,off,0,23.46
US500,H4,2025-02-03T08:00:00Z,35.992857,1.3874,na,unknown,0,off,0,25.92
US500,H4,2025-02-03T12:00:00Z,37.471429,1.4314,na,unknown,0,off,0,26.36
US500,H4,2025-02-03T16:00:00Z,42.650000,1.6078,na,unknown,0,off,0,32.04
US500,H4,2025-02-03T20:00:00Z,45.078571,1.6734,na,unknown,0,off,0,34.70
US500,H4,2025-02-04T00:00:00Z,43.385714,1.5898,na,unknown,0,off,0,34.70
US500,H4,2025-02-04T04:00:00Z,43.907143,1.5883,na,unknown,0,off,0,35.60
US500,H4,2025-02-04T08:00:00Z,44.085714,1.5718,na,unknown,0,off,0,36.56
US500,H4,2025-02-04T12:00:00Z,45.364286,1.5902,na,unknown,0,off,0,36.61
US500,H4,2025-02-04T16:00:00Z,47.714286,1.6374,na,unknown,0,off,0,39.23
US500,H4,2025-02-04T20:00:00Z,48.992857,1.6448,na,unknown,0,off,0,39.52
US500,H4,2025-02-05T00:00:00Z,47.714286,1.5692,na,unknown,0,off,0,36.98
US500,H4,2025-02-05T04:00:00Z,42.642857,1.3789,na,unknown,0,off,0,35.62
US500,H4,2025-02-05T08:00:00Z,35.621429,1.1363,na,unknown,0,off,0,35.18
US500,H4,2025-02-05T12:00:00Z,35.600000,1.1201,na,unknown,0,off,0,36.53
US500,H4,2025-02-05T16:00:00Z,35.985714,1.1164,na,unknown,0,off,0,38.07
US500,H4,2025-02-05T20:00:00Z,35.800000,1.0956,na,unknown,0,off,0,39.48
US500,H4,2025-02-06T00:00:00Z,30.085714,0.9118,na,unknown,0,off,0,51.62
US500,H4,2025-02-06T04:00:00Z,27.107143,0.8155,na,unknown,0,off,0,61.84
US500,H4,2025-02-06T08:00:00Z,25.892857,0.7749,na,unknown,0,off,0,56.40
US500,H4,2025-02-06T12:00:00Z,22.950000,0.6848,na,unknown,0,off,0,62.96
US500,H4,2025-02-06T16:00:00Z,22.357143,0.6667,na,unknown,0,off,0,61.53
US500,H4,2025-02-06T20:00:00Z,23.185714,0.6925,na,unknown,0,off,0,57.65
US500,H4,2025-02-07T00:00:00Z,21.028571,0.6308,na,unknown,0,off,0,67.93
US500,H4,2025-02-07T04:00:00Z,19.850000,0.5994,na,unknown,0,off,0,65.44
US500,H4,2025-02-07T08:00:00Z,19.807143,0.6021,na,unknown,0,off,0,62.89
US500,H4,2025-02-07T12:00:00Z,20.792857,0.6358,na,unknown,0,off,0,58.27
US500,H4,2025-02-07T16:00:00Z,24.821429,0.7626,na,unknown,0,off,0,53.79
US500,H4,2025-02-07T20:00:00Z,25.607143,0.7905,na,unknown,0,off,0,57.68
US500,H4,2025-02-10T00:00:00Z,25.485714,0.7929,na,unknown,0,off,0,58.97
US500,H4,2025-02-10T04:00:00Z,24.371429,0.7650,na,unknown,0,off,0,60.97
US500,H4,2025-02-10T08:00:00Z,24.464286,0.7744,na,unknown,0,off,0,60.60
US500,H4,2025-02-10T12:00:00Z,24.714286,0.7885,na,unknown,1,low,0,61.73
US500,H4,2025-02-10T16:00:00Z,25.728571,0.8252,na,unknown,1,low,0,58.66
US500,H4,2025-02-10T20:00:00Z,25.585714,0.8250,na,unknown,1,medium,0,61.28
US500,H4,2025-02-11T00:00:00Z,25.228571,0.8169,na,unknown,1,medium,0,59.75
US500,H4,2025-02-11T04:00:00Z,23.164286,0.7534,na,unknown,1,medium,0,62.74
US500,H4,2025-02-11T08:00:00Z,22.828571,0.7453,na,unknown,1,low,0,63.81
US500,H4,2025-02-11T12:00:00Z,23.307143,0.7622,na,unknown,1,low,0,67.38
US500,H4,2025-02-11T16:00:00Z,24.871429,0.8135,na,unknown,1,medium,0,65.15
US500,H4,2025-02-11T20:00:00Z,24.707143,0.8085,na,unknown,1,medium,0,66.56
US500,H4,2025-02-12T00:00:00Z,20.035714,0.6586,na,unknown,1,medium,0,74.58
US500,H4,2025-02-12T04:00:00Z,18.135714,0.6002,na,unknown,1,medium,0,76.00
US500,H4,2025-02-12T08:00:00Z,16.114286,0.5365,na,unknown,1,medium,0,76.13
US500,H4,2025-02-12T12:00:00Z,20.607143,0.6878,na,unknown,1,medium,0,76.05
US500,H4,2025-02-12T16:00:00Z,24.542857,0.8194,na,unknown,1,medium,0,70.64
US500,H4,2025-02-12T20:00:00Z,24.828571,0.8289,na,unknown,1,medium,0,69.91
US500,H4,2025-02-13T00:00:00Z,23.635714,0.7902,na,unknown,1,medium,0,75.52
US500,H4,2025-02-13T04:00:00Z,23.442857,0.7871,na,unknown,1,medium,0,76.03
US500,H4,2025-02-13T08:00:00Z,24.842857,0.8408,na,unknown,1,medium,0,72.18
US500,H4,2025-02-13T12:00:00Z,25.835714,0.8800,na,unknown,1,medium,0,71.05
US500,H4,2025-02-13T16:00:00Z,27.921429,0.9563,na,unknown,1,medium,0,61.39
US500,H4,2025-02-13T20:00:00Z,30.292857,1.0426,na,unknown,1,medium,0,50.86
US500,H4,2025-02-14T00:00:00Z,28.657143,0.9959,na,unknown,1,low,0,50.70
US500,H4,2025-02-14T04:00:00Z,27.385714,0.9636,na,unknown,0,off,1,50.53
US500,H4,2025-02-14T08:00:00Z,27.685714,0.9850,na,unknown,0,off,0,47.54
US500,H4,2025-02-14T12:00:00Z,27.885714,1.0036,na,unknown,0,off,0,46.52
US500,H4,2025-02-14T16:00:00Z,27.971429,1.0185,na,unknown,0,off,0,44.06
US500,H4,2025-02-14T20:00:00Z,23.821429,0.8812,na,unknown,0,off,0,51.16
US500,H4,2025-02-17T00:00:00Z,19.828571,0.7489,na,unknown,0,off,0,55.43
US500,H4,2025-02-17T04:00:00Z,18.950000,0.7324,na,unknown,0,off,0,53.59
US500,H4,2025-02-17T08:00:00Z,18.764286,0.7418,na,unknown,0,off,0,51.07
US500,H4,2025-02-17T12:00:00Z,18.385714,0.7410,na,unknown,0,off,0,48.95
US500,H4,2025-02-17T16:00:00Z,16.650000,0.6815,na,unknown,0,off,0,49.60
US500,H4,2025-02-18T00:00:00Z,15.614286,0.6497,na,unknown,0,off,0,41.68
US500,H4,2025-02-18T04:00:00Z,12.850000,0.5452,na,unknown,0,off,0,50.75
US500,H4,2025-02-18T08:00:00Z,10.278571,0.4458,na,unknown,0,off,0,44.15
US500,H4,2025-02-18T12:00:00Z,10.385714,0.4582,na,unknown,0,off,0,45.06
US500,H4,2025-02-18T16:00:00Z,12.078571,0.5401,na,unknown,0,off,0,49.12
US500,H4,2025-02-18T20:00:00Z,13.271429,0.6002,na,unknown,1,low,0,52.36
US500,H4,2025-02-19T00:00:00Z,13.207143,0.6026,na,unknown,1,medium,0,54.95
US500,H4,2025-02-19T04:00:00Z,12.335714,0.5681,na,unknown,1,medium,0,58.54
US500,H4,2025-02-19T08:00:00Z,11.771429,0.5478,na,unknown,1,medium,0,72.01
US500,H4,2025-02-19T12:00:00Z,12.400000,0.5817,na,unknown,1,medium,0,74.75
US500,H4,2025-02-19T16:00:00Z,13.557143,0.6398,na,unknown,1,medium,0,72.85
US500,H4,2025-02-19T20:00:00Z,14.900000,0.7065,na,unknown,1,medium,0,77.24
US500,H4,2025-02-20T00:00:00Z,15.371429,0.7326,na,unknown,1,medium,0,78.98
US500,H4,2025-02-20T04:00:00Z,15.050000,0.7240,na,unknown,1,high,0,78.37
US500,H4,2025-02-20T08:00:00Z,15.214286,0.7393,na,unknown,1,high,0,77.23
US500,H4,2025-02-20T12:00:00Z,15.885714,0.7792,na,unknown,1,high,0,75.12
US500,H4,2025-02-20T16:00:00Z,18.292857,0.9027,na,unknown,1,medium,0,61.81
US500,H4,2025-02-20T20:00:00Z,19.578571,0.9708,na,unknown,1,medium,0,60.27
US500,H4,2025-02-21T00:00:00Z,18.035714,0.9002,na,unknown,1,medium,0,64.28
US500,H4,2025-02-21T04:00:00Z,16.364286,0.8245,na,unknown,1,medium,0,68.00
US500,H4,2025-02-21T08:00:00Z,16.221429,0.8251,na,unknown,1,medium,0,67.69
US500,H4,2025-02-21T12:00:00Z,16.471429,0.8454,na,unknown,1,medium,0,67.58
US500,H4,2025-02-21T16:00:00Z,21.464286,1.1035,na,unknown,1,low,0,33.16
US500,H4,2025-02-21T20:00:00Z,23.285714,1.1966,na,unknown,0,off,1,15.56
US500,H4,2025-02-24T00:00:00Z,23.728571,1.2188,na,unknown,0,off,0,15.24
US500,H4,2025-02-24T04:00:00Z,22.785714,1.1729,na,unknown,0,off,0,14.08
US500,H4,2025-02-24T08:00:00Z,23.807143,1.2266,na,unknown,0,off,0,16.45
US500,H4,2025-02-24T12:00:00Z,24.021429,1.2326,na,unknown,0,off,0,16.22
US500,H4,2025-02-24T16:00:00Z,28.121429,1.4284,na,unknown,0,off,0,15.38
US500,H4,2025-02-24T20:00:00Z,30.750000,1.5390,na,unknown,0,off,0,18.96
US500,H4,2025-02-25T00:00:00Z,28.707143,1.4252,na,unknown,0,off,0,17.18
US500,H4,2025-02-25T04:00:00Z,27.242857,1.3489,na,unknown,0,off,0,18.55
US500,H4,2025-02-25T08:00:00Z,28.985714,1.4293,na,unknown,0,off,0,18.77
US500,H4,2025-02-25T12:00:00Z,30.785714,1.5074,na,unknown,0,off,0,20.77
US500,H4,2025-02-25T16:00:00Z,36.007143,1.7417,na,unknown,0,off,0,18.27
US500,H4,2025-02-25T20:00:00Z,37.971429,1.8136,na,unknown,0,off,0,16.60
US500,H4,2025-02-26T00:00:00Z,33.264286,1.5776,na,unknown,0,off,0,18.75
US500,H4,2025-02-26T04:00:00Z,31.371429,1.4830,na,unknown,0,off,0,20.63
US500,H4,2025-02-26T08:00:00Z,30.071429,1.4218,na,unknown,0,off,0,21.37
US500,H4,2025-02-26T12:00:00Z,30.221429,1.4268,na,unknown,0,off,0,21.87
US500,H4,2025-02-26T16:00:00Z,31.621429,1.4870,na,unknown,0,off,0,25.11
US500,H4,2025-02-26T20:00:00Z,34.535714,1.6136,na,unknown,1,low,0,28.66
US500,H4,2025-02-27T00:00:00Z,31.592857,1.4710,na,unknown,1,low,0,44.13
US500,H4,2025-02-27T04:00:00Z,29.757143,1.3832,na,unknown,1,low,0,44.05
US500,H4,2025-02-27T08:00:00Z,29.664286,1.3715,na,unknown,1,low,0,45.36
US500,H4,2025-02-27T12:00:00Z,31.528571,1.4421,na,unknown,1,low,0,47.82
