symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
USTEC,H4,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T00:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T04:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T08:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T12:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T00:00:00Z,na,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T04:00:00Z,142.615000,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T08:00:00Z,138.506429,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T12:00:00Z,140.596429,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T16:00:00Z,151.157143,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-06T20:00:00Z,152.327143,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T00:00:00Z,123.022857,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T04:00:00Z,116.645000,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T08:00:00Z,115.660714,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T12:00:00Z,116.312857,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T16:00:00Z,140.662857,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-07T20:00:00Z,152.966429,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-08T00:00:00Z,140.665000,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-08T04:00:00Z,136.477857,na,na,unknown,0,off,0,na
USTEC,H4,2025-01-08T08:00:00Z,137.099286,na,na,unknown,0,off,0,na
