symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
EURUSD,H1,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T01:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T02:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T03:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T05:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T06:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T07:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T09:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T10:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T11:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T13:00:00Z,0.001471,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T14:00:00Z,0.001545,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T15:00:00Z,0.001603,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T16:00:00Z,0.001691,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T17:00:00Z,0.001831,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T18:00:00Z,0.002106,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T19:00:00Z,0.002184,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T20:00:00Z,0.002194,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T21:00:00Z,0.002212,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T22:00:00Z,0.002274,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-02T23:00:00Z,0.002254,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T00:00:00Z,0.002179,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T01:00:00Z,0.002056,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T02:00:00Z,0.001804,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T03:00:00Z,0.001711,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T04:00:00Z,0.001629,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T05:00:00Z,0.001539,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T06:00:00Z,0.001412,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T07:00:00Z,0.001217,na,na,unknown,0,off,0,na
EURUSD,H1,2025-01-03T08:00:00Z,0.000901,na,na,unknown,0,off,0,na
