symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
XAUUSD,H4,2025-01-02T00:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-02T16:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-02T20:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T00:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T04:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T08:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T12:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T16:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-03T20:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T00:00:00Z,na,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T04:00:00Z,10.870000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T08:00:00Z,10.705000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T12:00:00Z,12.275000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T16:00:00Z,13.537143,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-06T20:00:00Z,12.902857,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-07T00:00:00Z,12.061429,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-07T04:00:00Z,12.212143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-07T08:00:00Z,12.407143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-07T12:00:00Z,13.370714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-07T16:00:00Z,14.113571,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-07T20:00:00Z,13.385714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-08T00:00:00Z,12.732143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-08T04:00:00Z,12.670714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-08T08:00:00Z,12.480714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-08T12:00:00Z,12.538571,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-08T16:00:00Z,13.250714,na,na,unknown,1,medium,0,na
XAUUSD,H4,2025-01-08T20:00:00Z,12.175714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T00:00:00Z,10.707143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T04:00:00Z,10.771429,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T08:00:00Z,10.790000,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T12:00:00Z,11.147857,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T16:00:00Z,11.456429,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-09T20:00:00Z,10.356429,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-10T00:00:00Z,9.124286,na,na,unknown,0,off,1,na
XAUUSD,H4,2025-01-10T04:00:00Z,9.105000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-10T08:00:00Z,9.420000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-10T12:00:00Z,10.437857,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-10T16:00:00Z,11.211429,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-10T20:00:00Z,11.076429,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-13T00:00:00Z,10.619286,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-13T04:00:00Z,10.264286,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-13T08:00:00Z,10.410000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-13T12:00:00Z,11.460714,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-13T16:00:00Z,11.926429,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-13T20:00:00Z,11.472857,na,na,unknown,0,off,1,na
XAUUSD,H4,2025-01-14T00:00:00Z,11.205000,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-14T04:00:00Z,11.235000,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-14T08:00:00Z,11.661429,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-14T12:00:00Z,12.230714,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-14T16:00:00Z,12.602857,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-14T20:00:00Z,12.025000,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T00:00:00Z,11.485000,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T04:00:00Z,11.307143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T08:00:00Z,10.969286,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T12:00:00Z,11.297143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T16:00:00Z,12.104286,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-15T20:00:00Z,11.032143,na,na,unknown,1,low,0,na
XAUUSD,H4,2025-01-16T00:00:00Z,10.607857,na,na,unknown,0,off,1,na
XAUUSD,H4,2025-01-16T04:00:00Z,10.407143,na,na,unknown,0,off,0,na
XAUUSD,H4,2025-01-16T08:00:00Z,10.913571,0.9465,na,unknown,0,off,0,50.33
XAUUSD,H4,2025-01-16T12:00:00Z,11.633571,1.0076,na,unknown,0,off,0,39.71
XAUUSD,H4,2025-01-16T16:00:00Z,11.825000,1.0222,na,unknown,0,off,0,35.35
XAUUSD,H4,2025-01-16T20:00:00Z,11.631429,1.0066,na,unknown,0,off,0,32.15
XAUUSD,H4,2025-01-17T00:00:00Z,11.074286,0.9625,na,unknown,0,off,0,30.35
XAUUSD,H4,2025-01-17T04:00:00Z,10.693571,0.9330,na,unknown,0,off,0,33.40
XAUUSD,H4,2025-01-17T08:00:00Z,10.780000,0.9426,na,unknown,0,off,0,34.55
XAUUSD,H4,2025-01-17T12:00:00Z,10.719286,0.9398,na,unknown,0,off,0,35.71
XAUUSD,H4,2025-01-17T16:00:00Z,11.095000,0.9749,na,unknown,0,off,0,34.68
XAUUSD,H4,2025-01-17T20:00:00Z,11.240714,0.9915,na,unknown,0,off,0,35.24
