symbol,timeframe,bar_time,atr_value,atr_ratio,atr_percentile,atr_percentile_regime,squeeze_is_on,squeeze_tier,squeeze_fired,compression_quality_score
XBRUSD,H1,2025-01-02T03:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T04:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T05:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T06:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T07:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T08:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T09:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T10:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T11:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T12:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T13:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T14:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T15:00:00Z,na,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T16:00:00Z,0.253571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T17:00:00Z,0.257857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T18:00:00Z,0.276429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T19:00:00Z,0.296429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T20:00:00Z,0.303571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T21:00:00Z,0.322143,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T22:00:00Z,0.320000,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-02T23:00:00Z,0.311429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T00:00:00Z,0.295000,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T03:00:00Z,0.279286,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T04:00:00Z,0.272857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T05:00:00Z,0.268571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T06:00:00Z,0.262143,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T07:00:00Z,0.249286,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T08:00:00Z,0.219286,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T09:00:00Z,0.203571,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T10:00:00Z,0.190000,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T11:00:00Z,0.186429,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T12:00:00Z,0.185000,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T13:00:00Z,0.181429,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T14:00:00Z,0.187143,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T15:00:00Z,0.216429,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T16:00:00Z,0.230000,na,na,unknown,1,medium,0,na
XBRUSD,H1,2025-01-03T17:00:00Z,0.229286,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-03T18:00:00Z,0.228571,na,na,unknown,0,off,1,na
XBRUSD,H1,2025-01-03T19:00:00Z,0.232143,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T20:00:00Z,0.245000,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T21:00:00Z,0.251429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T22:00:00Z,0.252857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-03T23:00:00Z,0.253571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T01:00:00Z,0.252857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T02:00:00Z,0.246429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T03:00:00Z,0.263571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T04:00:00Z,0.258571,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T05:00:00Z,0.256429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T06:00:00Z,0.237857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T07:00:00Z,0.230000,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T08:00:00Z,0.221429,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T09:00:00Z,0.217857,na,na,unknown,0,off,0,na
XBRUSD,H1,2025-01-06T10:00:00Z,0.215000,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-06T11:00:00Z,0.215000,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-06T12:00:00Z,0.224286,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-06T13:00:00Z,0.242143,na,na,unknown,1,low,0,na
XBRUSD,H1,2025-01-06T14:00:00Z,0.264286,na,na,unknown,1,low,0,na
