symbol,timeframe,bar_time,open,high,low,close
USTEC,H1,2025-01-02T01:00:00Z,21009.44,21067.19,20991.19,21013.57
USTEC,H1,2025-01-02T02:00:00Z,21013.57,21014.19,20869.19,20977.94
USTEC,H1,2025-01-02T03:00:00Z,20978.07,21058.82,20978.07,21041.82
USTEC,H1,2025-01-02T04:00:00Z,21040.82,21079.32,21034.82,21069.07
USTEC,H1,2025-01-02T05:00:00Z,21068.44,21086.07,21041.57,21053.44
USTEC,H1,2025-01-02T06:00:00Z,21053.44,21081.94,21034.94,21070.94
USTEC,H1,2025-01-02T07:00:00Z,21070.94,21123.19,21067.94,21117.32
USTEC,H1,2025-01-02T08:00:00Z,21117.44,21142.69,21103.07,21135.94
USTEC,H1,2025-01-02T09:00:00Z,21136.07,21144.32,21092.92,21104.42
USTEC,H1,2025-01-02T10:00:00Z,21104.54,21170.92,21065.42,21122.04
USTEC,H1,2025-01-02T11:00:00Z,21122.04,21152.17,21097.17,21149.17
USTEC,H1,2025-01-02T12:00:00Z,21149.04,21157.29,21106.67,21144.42
USTEC,H1,2025-01-02T13:00:00Z,21144.42,21216.42,21117.54,21213.92
USTEC,H1,2025-01-02T14:00:00Z,21214.04,21236.92,21160.67,21190.54
USTEC,H1,2025-01-02T15:00:00Z,21189.92,21213.17,21151.79,21164.17
USTEC,H1,2025-01-02T16:00:00Z,21164.17,21167.04,20914.14,21137.27
USTEC,H1,2025-01-02T17:00:00Z,21138.02,21190.52,20958.14,21023.52
USTEC,H1,2025-01-02T18:00:00Z,21024.52,21103.39,20933.39,21064.64
USTEC,H1,2025-01-02T19:00:00Z,21063.27,21089.14,20731.14,20822.02
USTEC,H1,2025-01-02T20:00:00Z,20822.64,20836.27,20735.52,20795.27
USTEC,H1,2025-01-02T21:00:00Z,20795.14,20891.64,20775.52,20810.39
USTEC,H1,2025-01-02T22:00:00Z,20810.39,20941.14,20809.39,20916.64
USTEC,H1,2025-01-02T23:00:00Z,20916.02,20949.69,20916.02,20929.07
USTEC,H1,2025-01-03T01:00:00Z,20926.16,20932.79,20892.16,20911.29
USTEC,H1,2025-01-03T02:00:00Z,20911.16,20987.04,20902.16,20986.91
USTEC,H1,2025-01-03T03:00:00Z,20986.66,20996.04,20953.66,20972.54
USTEC,H1,2025-01-03T04:00:00Z,20972.54,20997.29,20969.16,20990.41
USTEC,H1,2025-01-03T05:00:00Z,20990.41,21007.41,20990.16,20996.04
USTEC,H1,2025-01-03T06:00:00Z,20996.29,21002.91,20971.04,20972.16
USTEC,H1,2025-01-03T07:00:00Z,20972.16,20979.54,20955.04,20973.79
USTEC,H1,2025-01-03T08:00:00Z,20973.79,21004.41,20966.79,20985.29
USTEC,H1,2025-01-03T09:00:00Z,20984.79,21001.01,20958.89,20993.89
USTEC,H1,2025-01-03T10:00:00Z,20993.89,21022.89,20961.39,20984.64
USTEC,H1,2025-01-03T11:00:00Z,20984.64,21035.39,20976.39,21019.26
USTEC,H1,2025-01-03T12:00:00Z,21018.76,21019.64,20975.51,20986.01
USTEC,H1,2025-01-03T13:00:00Z,20986.14,20999.89,20967.26,20995.01
USTEC,H1,2025-01-03T14:00:00Z,20994.76,20994.76,20956.76,20990.01
USTEC,H1,2025-01-03T15:00:00Z,20989.89,21021.14,20975.01,20975.76
USTEC,H1,2025-01-03T16:00:00Z,20975.39,21181.99,20975.39,21132.49
USTEC,H1,2025-01-03T17:00:00Z,21132.74,21187.36,21010.49,21124.36
USTEC,H1,2025-01-03T18:00:00Z,21124.86,21237.74,21086.24,21212.11
USTEC,H1,2025-01-03T19:00:00Z,21212.24,21234.49,21190.61,21218.49
USTEC,H1,2025-01-03T20:00:00Z,21218.49,21278.86,21197.74,21256.36
USTEC,H1,2025-01-03T21:00:00Z,21257.11,21306.99,21244.86,21282.61
USTEC,H1,2025-01-03T22:00:00Z,21282.61,21282.61,21223.11,21256.61
USTEC,H1,2025-01-03T23:00:00Z,21255.99,21260.61,21224.54,21232.79
USTEC,H1,2025-01-06T01:00:00Z,21297.12,21297.62,21260.75,21283.62
USTEC,H1,2025-01-06T02:00:00Z,21283.62,21293.87,21238.25,21255.25
USTEC,H1,2025-01-06T03:00:00Z,21255.12,21265.25,21241.25,21259.0
USTEC,H1,2025-01-06T04:00:00Z,21259.0,21276.87,21242.37,21268.75
USTEC,H1,2025-01-06T05:00:00Z,21268.5,21275.62,21260.0,21267.25
USTEC,H1,2025-01-06T06:00:00Z,21267.5,21282.0,21263.0,21281.37
USTEC,H1,2025-01-06T07:00:00Z,21281.37,21309.75,21279.75,21297.75
USTEC,H1,2025-01-06T08:00:00Z,21297.62,21314.12,21289.12,21307.87
USTEC,H1,2025-01-06T09:00:00Z,21306.75,21335.22,21299.22,21323.6
USTEC,H1,2025-01-06T10:00:00Z,21323.6,21383.35,21323.47,21376.97
USTEC,H1,2025-01-06T11:00:00Z,21376.85,21429.6,21375.35,21428.1
USTEC,H1,2025-01-06T12:00:00Z,21428.1,21451.1,21413.6,21429.85
USTEC,H1,2025-01-06T13:00:00Z,21429.47,21503.1,21401.22,21489.47
USTEC,H1,2025-01-06T14:00:00Z,21488.35,21518.85,21470.22,21494.1
USTEC,H1,2025-01-06T15:00:00Z,21494.22,21509.97,21466.22,21507.97
USTEC,H1,2025-01-06T16:00:00Z,21507.97,21603.32,21401.47,21577.57
USTEC,H1,2025-01-06T17:00:00Z,21577.7,21649.95,21539.95,21628.32
USTEC,H1,2025-01-06T18:00:00Z,21628.32,21654.82,21603.45,21616.32
USTEC,H1,2025-01-06T19:00:00Z,21616.32,21627.95,21528.07,21552.07
USTEC,H1,2025-01-06T20:00:00Z,21553.07,21554.2,21461.82,21463.57
USTEC,H1,2025-01-06T21:00:00Z,21465.07,21481.95,21416.57,21419.2
USTEC,H1,2025-01-06T22:00:00Z,21419.07,21512.82,21407.57,21508.82
USTEC,H1,2025-01-06T23:00:00Z,21508.7,21544.25,21508.7,21538.5
USTEC,H1,2025-01-07T01:00:00Z,21546.63,21558.38,21531.13,21533.63
USTEC,H1,2025-01-07T02:00:00Z,21533.26,21544.13,21514.63,21524.01
USTEC,H1,2025-01-07T03:00:00Z,21524.26,21534.63,21509.26,21531.01
USTEC,H1,2025-01-07T04:00:00Z,21530.76,21547.76,21496.76,21500.26
USTEC,H1,2025-01-07T05:00:00Z,21500.26,21514.38,21478.88,21509.76
USTEC,H1,2025-01-07T06:00:00Z,21509.76,21510.01,21481.63,21482.88
USTEC,H1,2025-01-07T07:00:00Z,21483.01,21489.38,21422.88,21468.01
USTEC,H1,2025-01-07T08:00:00Z,21468.26,21478.51,21446.63,21452.13
USTEC,H1,2025-01-07T09:00:00Z,21452.01,21494.86,21450.88,21491.48
USTEC,H1,2025-01-07T10:00:00Z,21490.98,21528.11,21468.11,21520.11
USTEC,H1,2025-01-07T11:00:00Z,21520.11,21536.73,21487.11,21490.23
USTEC,H1,2025-01-07T12:00:00Z,21490.23,21533.11,21479.61,21530.36
USTEC,H1,2025-01-07T13:00:00Z,21530.36,21533.86,21483.11,21498.48
USTEC,H1,2025-01-07T14:00:00Z,21498.48,21526.11,21481.48,21507.73
USTEC,H1,2025-01-07T15:00:00Z,21507.48,21541.11,21495.48,21540.86
USTEC,H1,2025-01-07T16:00:00Z,21540.86,21567.23,21458.21,21474.46
USTEC,H1,2025-01-07T17:00:00Z,21474.71,21474.71,21162.33,21311.21
USTEC,H1,2025-01-07T18:00:00Z,21310.71,21335.33,21188.96,21196.46
USTEC,H1,2025-01-07T19:00:00Z,21197.96,21237.96,21149.83,21207.83
USTEC,H1,2025-01-07T20:00:00Z,21207.71,21278.96,21191.83,21202.21
USTEC,H1,2025-01-07T21:00:00Z,21202.21,21236.83,21165.71,21179.83
USTEC,H1,2025-01-07T22:00:00Z,21180.08,21184.96,21042.33,21122.08
USTEC,H1,2025-01-07T23:00:00Z,21121.33,21157.01,21121.33,21137.76
USTEC,H1,2025-01-08T01:00:00Z,21133.03,21159.66,21109.28,21157.16
USTEC,H1,2025-01-08T02:00:00Z,21157.16,21178.53,21152.66,21170.91
USTEC,H1,2025-01-08T03:00:00Z,21171.16,21199.41,21159.28,21194.16
USTEC,H1,2025-01-08T04:00:00Z,21194.03,21201.41,21166.91,21183.16
USTEC,H1,2025-01-08T05:00:00Z,21183.91,21188.91,21155.91,21170.41
USTEC,H1,2025-01-08T06:00:00Z,21170.53,21183.78,21150.78,21157.91
USTEC,H1,2025-01-08T07:00:00Z,21157.91,21196.91,21157.91,21194.91
USTEC,H1,2025-01-08T08:00:00Z,21194.91,21199.16,21161.53,21164.16
USTEC,H1,2025-01-08T09:00:00Z,21164.28,21165.91,21125.63,21155.01
USTEC,H1,2025-01-08T10:00:00Z,21155.01,21184.76,21144.63,21176.63
USTEC,H1,2025-01-08T11:00:00Z,21176.38,21198.13,21170.63,21194.63
USTEC,H1,2025-01-08T12:00:00Z,21194.51,21212.63,21188.63,21208.26
USTEC,H1,2025-01-08T13:00:00Z,21208.26,21212.13,21049.51,21128.88
USTEC,H1,2025-01-08T14:00:00Z,21128.88,21130.51,20986.01,21022.13
USTEC,H1,2025-01-08T15:00:00Z,21022.13,21157.63,21019.88,21141.51
USTEC,H1,2025-01-08T16:00:00Z,21141.88,21152.26,21051.23,21109.73
USTEC,H1,2025-01-08T17:00:00Z,21109.11,21170.11,20996.73,21123.11
USTEC,H1,2025-01-08T18:00:00Z,21122.11,21183.23,21050.73,21149.86
USTEC,H1,2025-01-08T19:00:00Z,21150.11,21151.86,20931.11,21032.98
USTEC,H1,2025-01-08T20:00:00Z,21032.98,21169.86,21029.98,21090.36
USTEC,H1,2025-01-08T21:00:00Z,21089.86,21195.48,21052.23,21101.98
USTEC,H1,2025-01-08T22:00:00Z,21102.23,21141.61,21066.61,21122.23
USTEC,H1,2025-01-08T23:00:00Z,21125.73,21153.78,21070.66,21091.03
USTEC,H1,2025-01-09T01:00:00Z,21092.87,21114.62,21081.24,21083.87
USTEC,H1,2025-01-09T02:00:00Z,21083.49,21091.87,21039.62,21075.37
USTEC,H1,2025-01-09T03:00:00Z,21074.12,21096.37,21068.99,21082.37
USTEC,H1,2025-01-09T04:00:00Z,21082.24,21115.24,21081.87,21112.62
USTEC,H1,2025-01-09T05:00:00Z,21112.49,21112.87,21078.49,21078.87
USTEC,H1,2025-01-09T06:00:00Z,21078.99,21085.37,21062.12,21079.12
USTEC,H1,2025-01-09T07:00:00Z,21079.12,21097.24,21070.99,21091.12
USTEC,H1,2025-01-09T08:00:00Z,21091.12,21096.37,21075.62,21083.12
USTEC,H1,2025-01-09T09:00:00Z,21083.49,21084.47,21009.97,21017.72
USTEC,H1,2025-01-09T10:00:00Z,21017.72,21074.72,20986.09,21062.22
USTEC,H1,2025-01-09T11:00:00Z,21062.22,21082.47,21047.22,21078.97
USTEC,H1,2025-01-09T12:00:00Z,21079.09,21103.09,21078.59,21095.72
USTEC,H1,2025-01-09T13:00:00Z,21095.72,21096.97,21044.97,21068.84
USTEC,H1,2025-01-09T14:00:00Z,21068.84,21085.72,21054.59,21079.97
USTEC,H1,2025-01-09T15:00:00Z,21079.97,21102.34,21061.59,21072.84
USTEC,H1,2025-01-09T16:00:00Z,21072.72,21078.47,21033.34,21069.72
USTEC,H1,2025-01-10T01:00:00Z,21068.61,21079.86,20984.23,21009.36
USTEC,H1,2025-01-10T02:00:00Z,21009.48,21016.11,20951.11,20967.11
USTEC,H1,2025-01-10T03:00:00Z,20967.36,21029.11,20965.86,21018.48
USTEC,H1,2025-01-10T04:00:00Z,21018.86,21050.23,21009.98,21044.98
USTEC,H1,2025-01-10T05:00:00Z,21044.98,21085.23,21043.11,21072.61
USTEC,H1,2025-01-10T06:00:00Z,21072.61,21079.61,21053.86,21073.86
USTEC,H1,2025-01-10T07:00:00Z,21074.48,21099.48,21067.23,21072.61
USTEC,H1,2025-01-10T08:00:00Z,21072.61,21072.73,21012.61,21016.73
USTEC,H1,2025-01-10T09:00:00Z,21016.61,21063.46,21005.58,21041.83
USTEC,H1,2025-01-10T10:00:00Z,21041.96,21070.83,21030.21,21054.71
USTEC,H1,2025-01-10T11:00:00Z,21054.71,21065.96,21019.96,21049.08
USTEC,H1,2025-01-10T12:00:00Z,21048.96,21092.96,21041.96,21087.83
USTEC,H1,2025-01-10T13:00:00Z,21087.83,21143.58,21084.21,21087.71
USTEC,H1,2025-01-10T14:00:00Z,21087.71,21095.21,21028.08,21092.83
USTEC,H1,2025-01-10T15:00:00Z,21092.96,21094.71,20817.46,20888.46
USTEC,H1,2025-01-10T16:00:00Z,20888.33,20967.33,20782.43,20826.31
USTEC,H1,2025-01-10T17:00:00Z,20826.06,20894.43,20648.06,20761.56
USTEC,H1,2025-01-10T18:00:00Z,20760.56,20772.56,20658.31,20671.43
USTEC,H1,2025-01-10T19:00:00Z,20671.81,20810.68,20658.56,20805.68
USTEC,H1,2025-01-10T20:00:00Z,20805.43,20947.56,20777.81,20938.68
USTEC,H1,2025-01-10T21:00:00Z,20939.81,20943.06,20814.43,20857.81
USTEC,H1,2025-01-10T22:00:00Z,20857.81,20870.56,20754.06,20789.31
USTEC,H1,2025-01-10T23:00:00Z,20788.18,20807.31,20761.48,20766.11
USTEC,H1,2025-01-13T01:00:00Z,20771.95,20810.08,20725.7,20781.95
USTEC,H1,2025-01-13T02:00:00Z,20779.95,20819.08,20764.33,20781.2
USTEC,H1,2025-01-13T03:00:00Z,20781.7,20784.58,20671.7,20708.45
USTEC,H1,2025-01-13T04:00:00Z,20708.2,20730.7,20694.58,20708.08
USTEC,H1,2025-01-13T05:00:00Z,20708.08,20719.33,20642.58,20663.58
USTEC,H1,2025-01-13T06:00:00Z,20663.45,20683.83,20659.83,20680.7
USTEC,H1,2025-01-13T07:00:00Z,20680.7,20682.2,20648.83,20669.95
USTEC,H1,2025-01-13T08:00:00Z,20669.45,20711.83,20668.7,20688.45
USTEC,H1,2025-01-13T09:00:00Z,20688.45,20698.83,20650.43,20664.68
USTEC,H1,2025-01-13T10:00:00Z,20665.05,20694.3,20579.43,20586.05
USTEC,H1,2025-01-13T11:00:00Z,20586.05,20594.05,20477.55,20504.18
USTEC,H1,2025-01-13T12:00:00Z,20504.3,20558.18,20491.93,20533.68
USTEC,H1,2025-01-13T13:00:00Z,20533.55,20559.18,20515.8,20548.18
USTEC,H1,2025-01-13T14:00:00Z,20547.55,20628.18,20508.8,20600.43
USTEC,H1,2025-01-13T15:00:00Z,20600.68,20624.55,20563.3,20592.55
USTEC,H1,2025-01-13T16:00:00Z,20592.68,20624.03,20485.78,20584.53
USTEC,H1,2025-01-13T17:00:00Z,20584.53,20662.78,20497.4,20581.65
USTEC,H1,2025-01-13T18:00:00Z,20581.03,20609.4,20510.15,20520.53
USTEC,H1,2025-01-13T19:00:00Z,20520.65,20677.4,20501.4,20672.15
USTEC,H1,2025-01-13T20:00:00Z,20672.65,20696.15,20638.78,20675.03
USTEC,H1,2025-01-13T21:00:00Z,20675.4,20709.15,20618.78,20688.9
USTEC,H1,2025-01-13T22:00:00Z,20688.65,20747.4,20657.15,20730.65
USTEC,H1,2025-01-13T23:00:00Z,20730.65,20778.45,20720.78,20774.08
USTEC,H1,2025-01-14T01:00:00Z,20805.89,20874.64,20799.27,20832.39
USTEC,H1,2025-01-14T02:00:00Z,20832.27,20842.02,20814.14,20839.39
USTEC,H1,2025-01-14T03:00:00Z,20839.52,20839.52,20808.02,20812.64
USTEC,H1,2025-01-14T04:00:00Z,20812.77,20830.52,20783.64,20829.27
USTEC,H1,2025-01-14T05:00:00Z,20829.27,20834.02,20803.77,20804.52
USTEC,H1,2025-01-14T06:00:00Z,20804.52,20833.02,20799.77,20829.39
USTEC,H1,2025-01-14T07:00:00Z,20829.39,20845.52,20813.27,20844.27
USTEC,H1,2025-01-14T08:00:00Z,20844.27,20853.89,20827.02,20832.77
USTEC,H1,2025-01-14T09:00:00Z,20832.77,20852.49,20808.12,20845.62
USTEC,H1,2025-01-14T10:00:00Z,20845.99,20929.87,20838.37,20909.74
USTEC,H1,2025-01-14T11:00:00Z,20909.99,20915.37,20870.99,20887.37
USTEC,H1,2025-01-14T12:00:00Z,20887.37,20894.62,20859.74,20881.74
USTEC,H1,2025-01-14T13:00:00Z,20882.12,20882.12,20821.37,20828.87
USTEC,H1,2025-01-14T14:00:00Z,20828.99,20844.62,20759.24,20791.62
USTEC,H1,2025-01-14T15:00:00Z,20791.62,20924.37,20730.62,20842.62
USTEC,H1,2025-01-14T16:00:00Z,20843.74,20915.72,20753.22,20766.84
USTEC,H1,2025-01-14T17:00:00Z,20767.59,20896.34,20722.22,20722.84
USTEC,H1,2025-01-14T18:00:00Z,20722.47,20742.59,20606.34,20609.84
USTEC,H1,2025-01-14T19:00:00Z,20609.59,20670.47,20579.22,20649.84
USTEC,H1,2025-01-14T20:00:00Z,20649.59,20796.09,20642.59,20783.97
USTEC,H1,2025-01-14T21:00:00Z,20784.09,20798.47,20642.34,20646.72
USTEC,H1,2025-01-14T22:00:00Z,20647.47,20711.59,20560.72,20710.34
USTEC,H1,2025-01-14T23:00:00Z,20711.14,20779.89,20709.89,20763.27
USTEC,H1,2025-01-15T01:00:00Z,20757.85,20761.1,20728.48,20738.1
USTEC,H1,2025-01-15T02:00:00Z,20737.85,20747.98,20727.98,20744.98
USTEC,H1,2025-01-15T03:00:00Z,20744.98,20752.98,20731.23,20743.35
USTEC,H1,2025-01-15T04:00:00Z,20743.35,20746.6,20722.23,20727.48
USTEC,H1,2025-01-15T05:00:00Z,20727.48,20733.85,20721.85,20725.6
USTEC,H1,2025-01-15T06:00:00Z,20725.6,20737.23,20716.98,20734.85
USTEC,H1,2025-01-15T07:00:00Z,20734.85,20740.73,20723.6,20732.73
USTEC,H1,2025-01-15T08:00:00Z,20732.6,20746.73,20729.85,20738.1
