symbol,timeframe,bar_time,open,high,low,close
XAUUSD,H4,2025-01-02T00:00:00Z,2625.14,2634.58,2621.74,2632.98
XAUUSD,H4,2025-01-02T04:00:00Z,2632.98,2636.56,2631.1,2634.0
XAUUSD,H4,2025-01-02T08:00:00Z,2633.98,2640.01,2631.22,2636.08
XAUUSD,H4,2025-01-02T12:00:00Z,2636.08,2647.26,2632.76,2642.91
XAUUSD,H4,2025-01-02T16:00:00Z,2642.87,2660.44,2640.42,2656.56
XAUUSD,H4,2025-01-02T20:00:00Z,2656.56,2660.43,2653.78,2657.98
XAUUSD,H4,2025-01-03T00:00:00Z,2658.32,2662.58,2656.66,2659.5
XAUUSD,H4,2025-01-03T04:00:00Z,2659.44,2665.36,2655.93,2658.66
XAUUSD,H4,2025-01-03T08:00:00Z,2658.66,2660.34,2649.92,2653.76
XAUUSD,H4,2025-01-03T12:00:00Z,2653.75,2659.37,2643.48,2649.94
XAUUSD,H4,2025-01-03T16:00:00Z,2649.94,2652.65,2639.12,2641.82
XAUUSD,H4,2025-01-03T20:00:00Z,2641.83,2642.94,2636.7,2639.98
XAUUSD,H4,2025-01-06T00:00:00Z,2642.74,2647.41,2638.63,2641.38
XAUUSD,H4,2025-01-06T04:00:00Z,2641.39,2645.31,2631.6,2633.92
XAUUSD,H4,2025-01-06T08:00:00Z,2633.96,2635.79,2625.26,2632.83
XAUUSD,H4,2025-01-06T12:00:00Z,2632.82,2649.48,2622.04,2624.23
XAUUSD,H4,2025-01-06T16:00:00Z,2624.22,2641.25,2614.79,2636.74
XAUUSD,H4,2025-01-06T20:00:00Z,2636.76,2638.6,2632.98,2635.77
XAUUSD,H4,2025-01-07T00:00:00Z,2636.2,2641.15,2632.91,2638.98
XAUUSD,H4,2025-01-07T04:00:00Z,2638.97,2645.74,2636.98,2644.46
XAUUSD,H4,2025-01-07T08:00:00Z,2644.46,2646.72,2638.07,2641.42
XAUUSD,H4,2025-01-07T12:00:00Z,2641.46,2664.27,2641.35,2662.36
XAUUSD,H4,2025-01-07T16:00:00Z,2662.38,2663.06,2642.24,2652.63
XAUUSD,H4,2025-01-07T20:00:00Z,2652.63,2652.73,2647.03,2648.42
XAUUSD,H4,2025-01-08T00:00:00Z,2648.38,2651.58,2647.2,2648.81
XAUUSD,H4,2025-01-08T04:00:00Z,2648.82,2650.68,2645.3,2649.99
XAUUSD,H4,2025-01-08T08:00:00Z,2649.98,2655.02,2648.9,2653.68
XAUUSD,H4,2025-01-08T12:00:00Z,2653.67,2660.39,2645.87,2660.23
XAUUSD,H4,2025-01-08T16:00:00Z,2660.21,2669.98,2649.48,2655.6
XAUUSD,H4,2025-01-08T20:00:00Z,2655.58,2664.07,2651.68,2661.44
XAUUSD,H4,2025-01-09T00:00:00Z,2660.75,2663.22,2657.32,2658.53
XAUUSD,H4,2025-01-09T04:00:00Z,2658.52,2662.08,2655.56,2658.43
XAUUSD,H4,2025-01-09T08:00:00Z,2658.43,2666.92,2658.42,2664.9
XAUUSD,H4,2025-01-09T12:00:00Z,2664.91,2678.22,2664.45,2672.8
XAUUSD,H4,2025-01-09T16:00:00Z,2672.79,2675.7,2662.73,2665.97
XAUUSD,H4,2025-01-09T20:00:00Z,2665.98,2672.58,2665.06,2670.34
XAUUSD,H4,2025-01-10T00:00:00Z,2670.44,2671.99,2668.42,2671.11
XAUUSD,H4,2025-01-10T04:00:00Z,2671.11,2675.94,2670.51,2675.0
XAUUSD,H4,2025-01-10T08:00:00Z,2675.0,2682.29,2673.5,2678.6
XAUUSD,H4,2025-01-10T12:00:00Z,2678.61,2683.73,2664.1,2682.63
XAUUSD,H4,2025-01-10T16:00:00Z,2682.58,2697.88,2680.93,2696.06
XAUUSD,H4,2025-01-10T20:00:00Z,2696.07,2697.18,2684.55,2688.96
XAUUSD,H4,2025-01-13T00:00:00Z,2690.82,2693.44,2679.34,2685.78
XAUUSD,H4,2025-01-13T04:00:00Z,2685.75,2690.76,2683.34,2686.98
XAUUSD,H4,2025-01-13T08:00:00Z,2686.97,2691.26,2683.32,2684.82
XAUUSD,H4,2025-01-13T12:00:00Z,2684.74,2685.03,2663.8,2669.27
XAUUSD,H4,2025-01-13T16:00:00Z,2669.29,2674.36,2659.34,2660.9
XAUUSD,H4,2025-01-13T20:00:00Z,2660.9,2664.18,2656.76,2662.98
XAUUSD,H4,2025-01-14T00:00:00Z,2663.54,2672.2,2663.15,2670.75
XAUUSD,H4,2025-01-14T04:00:00Z,2670.77,2675.29,2667.35,2668.64
XAUUSD,H4,2025-01-14T08:00:00Z,2668.68,2674.44,2664.9,2667.24
XAUUSD,H4,2025-01-14T12:00:00Z,2667.27,2674.29,2660.89,2663.0
XAUUSD,H4,2025-01-14T16:00:00Z,2662.98,2673.97,2659.97,2669.07
XAUUSD,H4,2025-01-14T20:00:00Z,2669.04,2678.2,2666.66,2677.37
XAUUSD,H4,2025-01-15T00:00:00Z,2675.04,2679.22,2669.83,2669.89
XAUUSD,H4,2025-01-15T04:00:00Z,2669.89,2679.41,2669.27,2679.38
XAUUSD,H4,2025-01-15T08:00:00Z,2679.4,2688.49,2679.12,2685.9
XAUUSD,H4,2025-01-15T12:00:00Z,2685.9,2694.16,2682.15,2693.83
XAUUSD,H4,2025-01-15T16:00:00Z,2693.75,2695.96,2676.72,2692.81
XAUUSD,H4,2025-01-15T20:00:00Z,2692.77,2697.32,2691.1,2696.28
XAUUSD,H4,2025-01-16T00:00:00Z,2694.56,2702.12,2693.04,2696.16
XAUUSD,H4,2025-01-16T04:00:00Z,2696.19,2698.3,2693.69,2694.87
XAUUSD,H4,2025-01-16T08:00:00Z,2694.9,2706.25,2689.94,2705.49
XAUUSD,H4,2025-01-16T12:00:00Z,2705.49,2718.23,2700.21,2715.44
XAUUSD,H4,2025-01-16T16:00:00Z,2715.46,2724.76,2712.54,2721.76
XAUUSD,H4,2025-01-16T20:00:00Z,2721.77,2723.21,2712.52,2714.26
XAUUSD,H4,2025-01-17T00:00:00Z,2714.2,2716.12,2709.92,2714.74
XAUUSD,H4,2025-01-17T04:00:00Z,2714.79,2717.39,2711.18,2711.58
XAUUSD,H4,2025-01-17T08:00:00Z,2711.59,2714.73,2704.13,2705.07
XAUUSD,H4,2025-01-17T12:00:00Z,2705.08,2712.17,2702.88,2704.95
XAUUSD,H4,2025-01-17T16:00:00Z,2704.97,2717.37,2702.74,2712.61
XAUUSD,H4,2025-01-17T20:00:00Z,2712.63,2713.35,2699.3,2702.92
XAUUSD,H4,2025-01-20T00:00:00Z,2704.56,2704.56,2689.37,2693.88
XAUUSD,H4,2025-01-20T04:00:00Z,2693.89,2707.57,2693.74,2707.26
XAUUSD,H4,2025-01-20T08:00:00Z,2707.26,2713.71,2702.9,2706.02
XAUUSD,H4,2025-01-20T12:00:00Z,2706.01,2712.47,2701.57,2705.15
XAUUSD,H4,2025-01-20T16:00:00Z,2705.24,2712.37,2703.37,2707.44
XAUUSD,H4,2025-01-20T20:00:00Z,2707.44,2711.12,2705.57,2707.19
XAUUSD,H4,2025-01-21T00:00:00Z,2707.9,2719.3,2702.9,2717.97
XAUUSD,H4,2025-01-21T04:00:00Z,2717.97,2729.2,2717.81,2726.21
XAUUSD,H4,2025-01-21T08:00:00Z,2726.19,2732.94,2718.03,2721.25
XAUUSD,H4,2025-01-21T12:00:00Z,2721.24,2730.06,2716.6,2726.31
XAUUSD,H4,2025-01-21T16:00:00Z,2726.32,2745.66,2725.37,2740.28
XAUUSD,H4,2025-01-21T20:00:00Z,2740.27,2745.95,2740.0,2744.69
XAUUSD,H4,2025-01-22T00:00:00Z,2740.77,2749.96,2740.56,2748.01
XAUUSD,H4,2025-01-22T04:00:00Z,2748.01,2758.66,2746.22,2758.11
XAUUSD,H4,2025-01-22T08:00:00Z,2758.14,2762.31,2745.55,2758.39
XAUUSD,H4,2025-01-22T12:00:00Z,2758.41,2763.41,2751.11,2757.83
XAUUSD,H4,2025-01-22T16:00:00Z,2757.82,2760.27,2750.38,2756.57
XAUUSD,H4,2025-01-22T20:00:00Z,2756.58,2759.42,2754.75,2756.18
XAUUSD,H4,2025-01-23T00:00:00Z,2756.12,2756.5,2750.66,2752.67
XAUUSD,H4,2025-01-23T04:00:00Z,2752.67,2754.91,2749.54,2752.0
XAUUSD,H4,2025-01-23T08:00:00Z,2752.02,2755.58,2740.96,2745.98
XAUUSD,H4,2025-01-23T12:00:00Z,2745.93,2754.35,2735.98,2741.61
XAUUSD,H4,2025-01-23T16:00:00Z,2741.65,2758.79,2740.41,2757.74
XAUUSD,H4,2025-01-23T20:00:00Z,2757.75,2758.24,2751.45,2754.52
XAUUSD,H4,2025-01-24T00:00:00Z,2754.2,2762.55,2753.5,2762.33
XAUUSD,H4,2025-01-24T04:00:00Z,2762.33,2777.34,2762.33,2775.27
XAUUSD,H4,2025-01-24T08:00:00Z,2775.26,2778.3,2770.08,2772.88
XAUUSD,H4,2025-01-24T12:00:00Z,2772.88,2784.65,2771.56,2782.47
XAUUSD,H4,2025-01-24T16:00:00Z,2782.47,2786.02,2769.99,2773.3
XAUUSD,H4,2025-01-24T20:00:00Z,2773.3,2775.34,2770.6,2771.48
XAUUSD,H4,2025-01-27T00:00:00Z,2770.61,2772.63,2762.95,2763.03
XAUUSD,H4,2025-01-27T04:00:00Z,2763.03,2763.68,2752.88,2753.25
XAUUSD,H4,2025-01-27T08:00:00Z,2753.25,2765.0,2747.39,2763.44
XAUUSD,H4,2025-01-27T12:00:00Z,2763.44,2772.03,2752.35,2757.29
XAUUSD,H4,2025-01-27T16:00:00Z,2757.29,2757.94,2730.59,2733.8
XAUUSD,H4,2025-01-27T20:00:00Z,2733.8,2743.92,2733.16,2740.7
XAUUSD,H4,2025-01-28T00:00:00Z,2740.35,2745.22,2739.48,2741.5
XAUUSD,H4,2025-01-28T04:00:00Z,2741.49,2744.95,2737.89,2741.79
XAUUSD,H4,2025-01-28T08:00:00Z,2741.74,2745.07,2734.78,2743.49
XAUUSD,H4,2025-01-28T12:00:00Z,2743.49,2749.56,2741.1,2748.93
XAUUSD,H4,2025-01-28T16:00:00Z,2748.93,2760.18,2748.93,2759.8
XAUUSD,H4,2025-01-28T20:00:00Z,2759.8,2764.99,2759.41,2763.17
XAUUSD,H4,2025-01-29T00:00:00Z,2763.14,2766.2,2762.18,2763.76
XAUUSD,H4,2025-01-29T04:00:00Z,2763.76,2765.63,2760.25,2760.67
XAUUSD,H4,2025-01-29T08:00:00Z,2760.67,2766.07,2757.43,2762.77
XAUUSD,H4,2025-01-29T12:00:00Z,2762.77,2763.35,2752.22,2758.72
XAUUSD,H4,2025-01-29T16:00:00Z,2758.67,2761.14,2748.41,2752.88
XAUUSD,H4,2025-01-29T20:00:00Z,2752.89,2759.77,2744.73,2759.68
XAUUSD,H4,2025-01-30T00:00:00Z,2759.32,2762.68,2758.24,2760.15
XAUUSD,H4,2025-01-30T04:00:00Z,2760.15,2763.39,2758.77,2760.65
XAUUSD,H4,2025-01-30T08:00:00Z,2760.65,2776.51,2760.31,2774.3
XAUUSD,H4,2025-01-30T12:00:00Z,2774.3,2785.99,2773.88,2785.75
XAUUSD,H4,2025-01-30T16:00:00Z,2785.73,2798.45,2780.22,2795.63
XAUUSD,H4,2025-01-30T20:00:00Z,2795.63,2798.35,2788.76,2794.06
XAUUSD,H4,2025-01-31T00:00:00Z,2796.18,2799.44,2792.16,2796.36
XAUUSD,H4,2025-01-31T04:00:00Z,2796.36,2798.19,2794.01,2795.61
XAUUSD,H4,2025-01-31T08:00:00Z,2795.61,2800.98,2791.76,2793.75
XAUUSD,H4,2025-01-31T12:00:00Z,2793.75,2808.32,2791.08,2806.41
XAUUSD,H4,2025-01-31T16:00:00Z,2806.4,2817.11,2803.04,2808.67
XAUUSD,H4,2025-01-31T20:00:00Z,2808.67,2808.88,2794.34,2798.47
XAUUSD,H4,2025-02-03T00:00:00Z,2797.69,2806.92,2778.44,2782.25
XAUUSD,H4,2025-02-03T04:00:00Z,2782.25,2785.19,2772.21,2783.19
XAUUSD,H4,2025-02-03T08:00:00Z,2783.19,2800.82,2782.94,2796.46
XAUUSD,H4,2025-02-03T12:00:00Z,2796.45,2811.93,2793.13,2811.11
XAUUSD,H4,2025-02-03T16:00:00Z,2811.11,2830.77,2810.31,2817.15
XAUUSD,H4,2025-02-03T20:00:00Z,2817.15,2823.02,2812.41,2814.75
XAUUSD,H4,2025-02-04T00:00:00Z,2814.12,2824.32,2812.64,2823.45
XAUUSD,H4,2025-02-04T04:00:00Z,2823.48,2824.61,2813.51,2815.84
XAUUSD,H4,2025-02-04T08:00:00Z,2815.84,2821.77,2807.36,2820.53
XAUUSD,H4,2025-02-04T12:00:00Z,2820.53,2837.11,2812.67,2831.71
XAUUSD,H4,2025-02-04T16:00:00Z,2831.71,2845.39,2828.96,2843.98
XAUUSD,H4,2025-02-04T20:00:00Z,2844.02,2845.0,2840.98,2842.01
XAUUSD,H4,2025-02-05T00:00:00Z,2842.81,2849.22,2839.8,2844.61
XAUUSD,H4,2025-02-05T04:00:00Z,2844.62,2860.75,2844.15,2859.31
XAUUSD,H4,2025-02-05T08:00:00Z,2859.31,2872.11,2855.02,2870.34
XAUUSD,H4,2025-02-05T12:00:00Z,2870.34,2877.04,2858.59,2861.88
XAUUSD,H4,2025-02-05T16:00:00Z,2861.85,2882.27,2860.74,2873.1
XAUUSD,H4,2025-02-05T20:00:00Z,2873.09,2873.52,2859.97,2867.02
XAUUSD,H4,2025-02-06T00:00:00Z,2866.24,2871.8,2861.79,2871.63
XAUUSD,H4,2025-02-06T04:00:00Z,2871.63,2873.37,2864.36,2868.38
XAUUSD,H4,2025-02-06T08:00:00Z,2868.38,2871.25,2848.83,2859.37
XAUUSD,H4,2025-02-06T12:00:00Z,2859.37,2870.26,2855.65,2856.83
XAUUSD,H4,2025-02-06T16:00:00Z,2856.83,2859.82,2834.28,2852.35
XAUUSD,H4,2025-02-06T20:00:00Z,2852.35,2857.34,2849.81,2855.55
XAUUSD,H4,2025-02-07T00:00:00Z,2856.05,2868.03,2855.63,2866.23
XAUUSD,H4,2025-02-07T04:00:00Z,2866.23,2870.52,2862.17,2862.24
XAUUSD,H4,2025-02-07T08:00:00Z,2862.25,2870.74,2858.98,2868.95
XAUUSD,H4,2025-02-07T12:00:00Z,2868.95,2871.25,2852.52,2862.57
XAUUSD,H4,2025-02-07T16:00:00Z,2862.57,2886.8,2853.44,2860.01
XAUUSD,H4,2025-02-07T20:00:00Z,2860.01,2865.2,2859.01,2861.3
XAUUSD,H4,2025-02-10T00:00:00Z,2858.37,2876.62,2854.81,2871.98
XAUUSD,H4,2025-02-10T04:00:00Z,2871.98,2880.04,2871.35,2879.26
XAUUSD,H4,2025-02-10T08:00:00Z,2879.26,2903.25,2878.9,2903.01
XAUUSD,H4,2025-02-10T12:00:00Z,2902.99,2910.97,2898.24,2901.15
XAUUSD,H4,2025-02-10T16:00:00Z,2901.14,2911.96,2896.4,2903.22
