symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window,ib_defined
GBPUSD,M15,london,Europe/London,2021-06-15,60,2021-06-15T07:00:00Z,2021-06-15T08:00:00Z,,,,,0,0
GBPUSD,M15,new_york,America/New_York,2021-06-15,60,2021-06-15T13:30:00Z,2021-06-15T14:30:00Z,,,,,0,0
GBPUSD,M15,london,Europe/London,2021-06-16,60,2021-06-16T07:00:00Z,2021-06-16T08:00:00Z,1.40890,1.40811,0.00079,1.40850,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-16,60,2021-06-16T13:30:00Z,2021-06-16T14:30:00Z,1.41183,1.41093,0.00090,1.41138,4,1
GBPUSD,M15,london,Europe/London,2021-06-17,60,2021-06-17T07:00:00Z,2021-06-17T08:00:00Z,1.39983,1.39907,0.00076,1.39945,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-17,60,2021-06-17T13:30:00Z,2021-06-17T14:30:00Z,1.39573,1.39406,0.00167,1.39489,4,1
GBPUSD,M15,london,Europe/London,2021-06-18,60,2021-06-18T07:00:00Z,2021-06-18T08:00:00Z,1.39273,1.39093,0.00180,1.39183,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-18,60,2021-06-18T13:30:00Z,2021-06-18T14:30:00Z,1.39098,1.38925,0.00173,1.39012,4,1
GBPUSD,M15,london,Europe/London,2021-06-19,60,2021-06-19T07:00:00Z,2021-06-19T08:00:00Z,,,,,0,0
GBPUSD,M15,new_york,America/New_York,2021-06-20,60,2021-06-20T13:30:00Z,2021-06-20T14:30:00Z,,,,,0,0
GBPUSD,M15,london,Europe/London,2021-06-21,60,2021-06-21T07:00:00Z,2021-06-21T08:00:00Z,1.38023,1.37892,0.00131,1.37957,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-21,60,2021-06-21T13:30:00Z,2021-06-21T14:30:00Z,1.38869,1.38643,0.00226,1.38756,4,1
GBPUSD,M15,london,Europe/London,2021-06-22,60,2021-06-22T07:00:00Z,2021-06-22T08:00:00Z,1.39167,1.39087,0.00080,1.39127,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-22,60,2021-06-22T13:30:00Z,2021-06-22T14:30:00Z,1.38932,1.38696,0.00236,1.38814,4,1
GBPUSD,M15,london,Europe/London,2021-06-23,60,2021-06-23T07:00:00Z,2021-06-23T08:00:00Z,1.39314,1.39269,0.00045,1.39291,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-23,60,2021-06-23T13:30:00Z,2021-06-23T14:30:00Z,1.39714,1.39534,0.00180,1.39624,4,1
GBPUSD,M15,london,Europe/London,2021-06-24,60,2021-06-24T07:00:00Z,2021-06-24T08:00:00Z,1.39615,1.39542,0.00073,1.39579,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-24,60,2021-06-24T13:30:00Z,2021-06-24T14:30:00Z,1.39815,1.39049,0.00766,1.39432,4,1
GBPUSD,M15,london,Europe/London,2021-06-25,60,2021-06-25T07:00:00Z,2021-06-25T08:00:00Z,1.39296,1.39200,0.00096,1.39248,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-25,60,2021-06-25T13:30:00Z,2021-06-25T14:30:00Z,1.39083,1.38981,0.00102,1.39032,4,1
GBPUSD,M15,london,Europe/London,2021-06-26,60,2021-06-26T07:00:00Z,2021-06-26T08:00:00Z,,,,,0,0
GBPUSD,M15,new_york,America/New_York,2021-06-27,60,2021-06-27T13:30:00Z,2021-06-27T14:30:00Z,,,,,0,0
GBPUSD,M15,london,Europe/London,2021-06-28,60,2021-06-28T07:00:00Z,2021-06-28T08:00:00Z,1.38914,1.38852,0.00062,1.38883,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-28,60,2021-06-28T13:30:00Z,2021-06-28T14:30:00Z,1.39151,1.38955,0.00196,1.39053,4,1
GBPUSD,M15,london,Europe/London,2021-06-29,60,2021-06-29T07:00:00Z,2021-06-29T08:00:00Z,1.38692,1.38630,0.00062,1.38661,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-29,60,2021-06-29T13:30:00Z,2021-06-29T14:30:00Z,1.38483,1.38213,0.00270,1.38348,4,1
GBPUSD,M15,london,Europe/London,2021-06-30,60,2021-06-30T07:00:00Z,2021-06-30T08:00:00Z,1.38555,1.38470,0.00085,1.38512,4,1
GBPUSD,M15,new_york,America/New_York,2021-06-30,60,2021-06-30T13:30:00Z,2021-06-30T14:30:00Z,1.38724,1.38555,0.00169,1.38640,4,1
GBPUSD,M15,london,Europe/London,2021-07-01,60,2021-07-01T07:00:00Z,2021-07-01T08:00:00Z,1.38213,1.38168,0.00045,1.38191,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-01,60,2021-07-01T13:30:00Z,2021-07-01T14:30:00Z,1.37997,1.37644,0.00353,1.37820,4,1
GBPUSD,M15,london,Europe/London,2021-07-02,60,2021-07-02T07:00:00Z,2021-07-02T08:00:00Z,1.37758,1.37670,0.00088,1.37714,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-02,60,2021-07-02T13:30:00Z,2021-07-02T14:30:00Z,1.37561,1.37367,0.00194,1.37464,4,1
GBPUSD,M15,london,Europe/London,2021-07-03,60,2021-07-03T07:00:00Z,2021-07-03T08:00:00Z,,,,,0,0
GBPUSD,M15,new_york,America/New_York,2021-07-04,60,2021-07-04T13:30:00Z,2021-07-04T14:30:00Z,,,,,0,0
GBPUSD,M15,london,Europe/London,2021-07-05,60,2021-07-05T07:00:00Z,2021-07-05T08:00:00Z,1.38245,1.38179,0.00066,1.38212,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-05,60,2021-07-05T13:30:00Z,2021-07-05T14:30:00Z,1.38612,1.38449,0.00163,1.38531,4,1
GBPUSD,M15,london,Europe/London,2021-07-06,60,2021-07-06T07:00:00Z,2021-07-06T08:00:00Z,1.38861,1.38755,0.00106,1.38808,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-06,60,2021-07-06T13:30:00Z,2021-07-06T14:30:00Z,1.38572,1.38409,0.00163,1.38491,4,1
GBPUSD,M15,london,Europe/London,2021-07-07,60,2021-07-07T07:00:00Z,2021-07-07T08:00:00Z,1.38044,1.37950,0.00094,1.37997,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-07,60,2021-07-07T13:30:00Z,2021-07-07T14:30:00Z,1.38286,1.38128,0.00158,1.38207,4,1
GBPUSD,M15,london,Europe/London,2021-07-08,60,2021-07-08T07:00:00Z,2021-07-08T08:00:00Z,1.37864,1.37804,0.00060,1.37834,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-08,60,2021-07-08T13:30:00Z,2021-07-08T14:30:00Z,1.37780,1.37518,0.00262,1.37649,4,1
GBPUSD,M15,london,Europe/London,2021-07-09,60,2021-07-09T07:00:00Z,2021-07-09T08:00:00Z,1.37807,1.37712,0.00095,1.37759,4,1
GBPUSD,M15,new_york,America/New_York,2021-07-09,60,2021-07-09T13:30:00Z,2021-07-09T14:30:00Z,1.38238,1.37999,0.00239,1.38118,4,1
