object_id,object_family,object_level,object_status,source_runtime_row_key,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window
IB|EURUSD|M1|london|2026-03-09|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-09|60,EURUSD,M1,london,Europe/London,2026-03-09,60,2026-03-09T08:00:00Z,2026-03-09T09:00:00Z,1.15715,1.15238,0.00477,1.15477,60
IB|EURUSD|M1|new_york|2026-03-09|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-09|60,EURUSD,M1,new_york,America/New_York,2026-03-09,60,2026-03-09T13:30:00Z,2026-03-09T14:30:00Z,1.15678,1.15514,0.00164,1.15596,60
IB|EURUSD|M1|london|2026-03-10|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-10|60,EURUSD,M1,london,Europe/London,2026-03-10,60,2026-03-10T08:00:00Z,2026-03-10T09:00:00Z,1.16203,1.16115,0.00088,1.16159,60
IB|EURUSD|M1|new_york|2026-03-10|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-10|60,EURUSD,M1,new_york,America/New_York,2026-03-10,60,2026-03-10T13:30:00Z,2026-03-10T14:30:00Z,1.16531,1.16203,0.00328,1.16367,60
IB|EURUSD|M1|london|2026-03-11|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-11|60,EURUSD,M1,london,Europe/London,2026-03-11,60,2026-03-11T08:00:00Z,2026-03-11T09:00:00Z,1.16361,1.16301,0.00060,1.16331,60
IB|EURUSD|M1|new_york|2026-03-11|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-11|60,EURUSD,M1,new_york,America/New_York,2026-03-11,60,2026-03-11T13:30:00Z,2026-03-11T14:30:00Z,1.16116,1.16006,0.00110,1.16061,60
IB|EURUSD|M1|london|2026-03-12|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-12|60,EURUSD,M1,london,Europe/London,2026-03-12,60,2026-03-12T08:00:00Z,2026-03-12T09:00:00Z,1.15453,1.15326,0.00127,1.15389,60
IB|EURUSD|M1|new_york|2026-03-12|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-12|60,EURUSD,M1,new_york,America/New_York,2026-03-12,60,2026-03-12T13:30:00Z,2026-03-12T14:30:00Z,1.15608,1.15491,0.00117,1.15550,60
IB|EURUSD|M1|london|2026-03-13|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-13|60,EURUSD,M1,london,Europe/London,2026-03-13,60,2026-03-13T08:00:00Z,2026-03-13T09:00:00Z,1.15065,1.15001,0.00064,1.15033,60
IB|EURUSD|M1|new_york|2026-03-13|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-13|60,EURUSD,M1,new_york,America/New_York,2026-03-13,60,2026-03-13T13:30:00Z,2026-03-13T14:30:00Z,1.14720,1.14518,0.00202,1.14619,60
IB|EURUSD|M1|london|2026-03-16|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-16|60,EURUSD,M1,london,Europe/London,2026-03-16,60,2026-03-16T08:00:00Z,2026-03-16T09:00:00Z,1.14434,1.14332,0.00102,1.14383,60
IB|EURUSD|M1|new_york|2026-03-16|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-16|60,EURUSD,M1,new_york,America/New_York,2026-03-16,60,2026-03-16T13:30:00Z,2026-03-16T14:30:00Z,1.14814,1.14676,0.00138,1.14745,60
IB|EURUSD|M1|london|2026-03-17|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-17|60,EURUSD,M1,london,Europe/London,2026-03-17,60,2026-03-17T08:00:00Z,2026-03-17T09:00:00Z,1.14992,1.14781,0.00211,1.14887,60
IB|EURUSD|M1|new_york|2026-03-17|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-17|60,EURUSD,M1,new_york,America/New_York,2026-03-17,60,2026-03-17T13:30:00Z,2026-03-17T14:30:00Z,1.15187,1.15048,0.00139,1.15117,60
IB|EURUSD|M1|london|2026-03-18|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-18|60,EURUSD,M1,london,Europe/London,2026-03-18,60,2026-03-18T08:00:00Z,2026-03-18T09:00:00Z,1.15468,1.15401,0.00067,1.15434,60
IB|EURUSD|M1|new_york|2026-03-18|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-18|60,EURUSD,M1,new_york,America/New_York,2026-03-18,60,2026-03-18T13:30:00Z,2026-03-18T14:30:00Z,1.15553,1.15321,0.00232,1.15437,60
IB|EURUSD|M1|london|2026-03-19|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-19|60,EURUSD,M1,london,Europe/London,2026-03-19,60,2026-03-19T08:00:00Z,2026-03-19T09:00:00Z,1.14710,1.14636,0.00074,1.14673,60
IB|EURUSD|M1|new_york|2026-03-19|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|new_york|2026-03-19|60,EURUSD,M1,new_york,America/New_York,2026-03-19,60,2026-03-19T13:30:00Z,2026-03-19T14:30:00Z,1.14814,1.14658,0.00156,1.14736,60
IB|EURUSD|M1|london|2026-03-20|60,IB,OBJECT_P0,defined_from_ib_runtime_v1,EURUSD|M1|london|2026-03-20|60,EURUSD,M1,london,Europe/London,2026-03-20,60,2026-03-20T08:00:00Z,2026-03-20T09:00:00Z,1.15612,1.15523,0.00089,1.15568,60
