observation_id,observation_family,observation_level,observation_status,source_observation_id,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,second_next_session_local_date,cross_direction,cross_mode,prior_ib_same_side_edge_value,second_next_session_open_utc,second_next_session_first_bar_open,second_next_session_first_bar_close,second_next_session_first_30m_bar_count,second_next_session_first_bar_expected_side,second_next_session_first_30m_all_closes_expected_side,second_next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,2021-07-01,2021-07-02,down,close,1.38555,2021-07-02T13:30:00Z,1.37435,1.3739,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,2021-08-06,2021-08-07,up,close,1.38926,2021-08-07T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-11,2021-08-12,2021-08-13,up,close,1.38309,2021-08-13T07:00:00Z,1.38132,1.38138,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-11,2021-08-12,2021-08-13,up,close,1.38189,2021-08-13T13:30:00Z,1.37931,1.37961,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-27,2021-09-28,2021-09-29,up,close,1.36775,2021-09-29T07:00:00Z,1.35454,1.35455,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-30,2021-10-01,2021-10-02,up,wick,1.34490,2021-10-02T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-15,2021-11-16,2021-11-17,down,close,1.34283,2021-11-17T08:00:00Z,1.34205,1.34246,2,1,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,2021-12-24,2021-12-25,down,close,1.34183,2021-12-25T14:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,2022-01-05,2022-01-06,up,close,1.34696,2022-01-06T08:00:00Z,1.35297,1.35258,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORBMP|IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IB_OR_BEYOND_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_ib,IBORBCT|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-24,2022-01-25,2022-01-26,down,close,1.34770,2022-01-26T14:30:00Z,1.35125,1.35146,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
