evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-16,60,30,up,close,up,close,1,2021-06-16T07:30:00Z,1.40862,1.4089,1.40853,1.40879,1.40866,1.40890,1.40879,close,0.00024,0,up,-0.00011,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,60,30,down,wick,down,wick,1,2021-06-16T14:00:00Z,1.41169,1.41179,1.41093,1.41124,1.41094,1.41093,1.41093,low,0.00001,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-17,60,30,up,close,up,close,1,2021-06-17T07:45:00Z,1.39944,1.39983,1.39944,1.39981,1.39959,1.39983,1.39981,close,0.00024,0,up,-0.00002,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-17,60,30,up,wick,up,wick,1,2021-06-17T14:00:00Z,1.39437,1.39522,1.39436,1.39439,1.39489,1.39573,1.39522,high,0.00084,0,up,-0.00051,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-18,60,30,down,close,down,close,1,2021-06-18T07:30:00Z,1.39212,1.39221,1.39162,1.39172,1.39211,1.39093,1.39172,close,0.00118,0,down,-0.00079,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-18,60,30,down,wick,down,wick,1,2021-06-18T14:00:00Z,1.39024,1.39038,1.38971,1.39002,1.38987,1.38925,1.38971,low,0.00062,0,down,-0.00046,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-21,60,30,down,wick,down,wick,1,2021-06-21T07:30:00Z,1.37938,1.37951,1.37892,1.37931,1.37920,1.37892,1.37892,low,0.00028,0,down,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,60,30,up,close,up,close,1,2021-06-21T16:15:00Z,1.38738,1.38943,1.3871,1.38936,1.38869,1.38869,1.38936,close,0.00000,1,up,0.00067,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-22,60,30,down,close,down,close,1,2021-06-22T07:30:00Z,1.39112,1.39127,1.391,1.3911,1.39112,1.39087,1.3911,close,0.00025,0,down,-0.00023,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,60,30,up,close,up,close,1,2021-06-22T14:00:00Z,1.38768,1.38932,1.38768,1.38924,1.38876,1.38932,1.38924,close,0.00056,0,up,-0.00008,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,60,30,up,wick,up,wick,1,2021-06-23T07:30:00Z,1.3929,1.39309,1.39288,1.39302,1.39307,1.39314,1.39309,high,0.00007,0,up,-0.00005,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-23,60,30,down,close,down,close,1,2021-06-23T14:00:00Z,1.39658,1.39658,1.39534,1.39548,1.39575,1.39534,1.39548,close,0.00041,0,down,-0.00014,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-24,60,30,up,close,up,close,1,2021-06-24T07:30:00Z,1.39587,1.39609,1.39587,1.396,1.39597,1.39615,1.396,close,0.00018,0,up,-0.00015,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-24,60,30,down,close,down,close,1,2021-06-24T14:00:00Z,1.397,1.39805,1.39049,1.39244,1.39675,1.39049,1.39244,close,0.00626,0,down,-0.00195,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-25,60,30,down,close,down,close,1,2021-06-25T07:30:00Z,1.39246,1.39247,1.392,1.39229,1.39243,1.39200,1.39229,close,0.00043,0,down,-0.00029,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,60,30,down,close,down,close,1,2021-06-25T14:30:00Z,1.39011,1.39019,1.38904,1.38965,1.38981,1.38981,1.38965,close,0.00000,1,down,0.00016,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-28|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-28,60,30,up,wick,up,wick,1,2021-06-28T07:45:00Z,1.3887,1.38914,1.38869,1.38904,1.38904,1.38914,1.38914,high,0.00010,0,up,0.00000,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-28,60,30,down,close,down,close,1,2021-06-28T14:15:00Z,1.39066,1.39088,1.38955,1.38979,1.38999,1.38955,1.38979,close,0.00044,0,down,-0.00024,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-06-29|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-29,60,30,up,close,up,close,1,2021-06-29T07:30:00Z,1.38657,1.38692,1.38655,1.38688,1.38667,1.38692,1.38688,close,0.00025,0,up,-0.00004,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-29|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-29|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-29,60,30,down,close,down,close,1,2021-06-29T14:00:00Z,1.384,1.38419,1.3822,1.38234,1.38373,1.38213,1.38234,close,0.00160,0,down,-0.00021,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-30|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,no_break_in_upstream_relation,IBORFB|IBOR|GBPUSD|M15|london|2021-06-30|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-30,60,30,none,ambiguous,none,none,1,,,,,,,,,,,0,none,,0,0,no_break_relation_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,60,30,down,close,down,close,1,2021-06-30T15:00:00Z,1.38669,1.38671,1.38442,1.38502,1.38555,1.38555,1.38502,close,0.00000,1,down,0.00053,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-01,60,30,down,wick,down,wick,1,2021-07-01T07:30:00Z,1.38199,1.382,1.38169,1.38181,1.38176,1.38168,1.38169,low,0.00008,0,down,-0.00001,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-01|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-01,60,30,up,close,up,close,1,2021-07-01T14:00:00Z,1.37908,1.37997,1.37877,1.37962,1.37916,1.37997,1.37962,close,0.00081,0,up,-0.00035,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,60,30,down,close,down,close,1,2021-07-02T08:45:00Z,1.37708,1.37717,1.37626,1.37666,1.37670,1.37670,1.37666,close,0.00000,1,down,0.00004,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-02,60,30,up,close,up,close,1,2021-07-02T14:00:00Z,1.37389,1.37521,1.37376,1.37518,1.37500,1.37561,1.37518,close,0.00061,0,up,-0.00043,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-05,60,30,up,close,up,close,1,2021-07-05T07:45:00Z,1.38209,1.38245,1.38209,1.38236,1.38222,1.38245,1.38236,close,0.00023,0,up,-0.00009,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,60,30,down,wick,down,wick,1,2021-07-05T15:45:00Z,1.38479,1.38501,1.38436,1.38451,1.38449,1.38449,1.38436,low,0.00000,1,down,0.00013,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-06|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,no_break_in_upstream_relation,IBORFB|IBOR|GBPUSD|M15|london|2021-07-06|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-06,60,30,none,ambiguous,none,none,1,,,,,,,,,,,0,none,,0,0,no_break_relation_level,0
IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-06|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-06|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-06,60,30,up,close,up,close,1,2021-07-06T14:00:00Z,1.38471,1.38514,1.38469,1.38511,1.38508,1.38572,1.38511,close,0.00064,0,up,-0.00061,1,0,first_break_bar_level,0
