evidence_id,evidence_family,evidence_level,evidence_status,source_relative_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,upstream_first_break_direction,upstream_first_break_mode,first_break_direction,first_break_mode,direction_mode_match_to_relation,break_bar_time_utc,break_bar_open,break_bar_high,break_bar_low,break_bar_close,or_break_edge_value,ib_same_side_edge_value,break_trigger_price,break_trigger_source,same_side_gap_to_ib_before_break,ib_same_side_cross_confirmed,ib_same_side_cross_direction,ib_same_side_cross_distance,requires_break_price_for_ib_confirmation_before,requires_break_price_for_ib_confirmation_after,evidence_scope,width_error_day
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-09,60,30,up,close,up,close,1,2026-03-09T08:31:00Z,1.1556899999999999,1.15632,1.1556899999999999,1.15616,1.15607,1.15715,1.15616,close,0.00108,0,up,-0.00099,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-09,60,30,up,close,up,close,1,2026-03-09T14:04:00Z,1.15619,1.1565699999999999,1.15618,1.1565400000000001,1.15649,1.15678,1.1565400000000001,close,0.00029,0,up,-0.0002399999999999,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-10,60,30,up,wick,up,wick,1,2026-03-10T08:53:00Z,1.16194,1.16201,1.16174,1.16184,1.16200,1.16203,1.16201,high,0.00003,0,up,-0.00002,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-10,60,30,up,close,up,close,1,2026-03-10T14:04:00Z,1.16399,1.16521,1.16395,1.16496,1.16448,1.16531,1.16496,close,0.00083,0,up,-0.00035,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,60,30,up,wick,up,wick,1,2026-03-11T09:03:00Z,1.1636,1.16366,1.16339,1.16345,1.16361,1.16361,1.16366,high,0.00000,1,up,0.00005,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-11,60,30,down,wick,down,wick,1,2026-03-11T14:19:00Z,1.16046,1.16046,1.16021,1.16022,1.16022,1.16006,1.16021,low,0.00016,0,down,-0.00015,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-12,60,30,up,close,up,close,1,2026-03-12T08:41:00Z,1.15429,1.15441,1.15429,1.15441,1.15438,1.15453,1.15441,close,0.00015,0,up,-0.00012,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-12,60,30,up,close,up,close,1,2026-03-12T14:00:00Z,1.15578,1.15584,1.15568,1.15584,1.15582,1.15608,1.15584,close,0.00026,0,up,-0.00024,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-13,60,30,up,wick,up,wick,1,2026-03-13T08:30:00Z,1.15041,1.15048,1.15039,1.15042,1.15046,1.15065,1.15048,high,0.00019,0,up,-0.00017,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,ib_same_side_cross_confirmed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,60,30,up,wick,up,wick,1,2026-03-13T15:02:00Z,1.147,1.14726,1.147,1.14719,1.14720,1.14720,1.14726,high,0.00000,1,up,0.00006,0,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-16,60,30,down,close,down,close,1,2026-03-16T08:30:00Z,1.14395,1.14399,1.14384,1.14386,1.14393,1.14332,1.14386,close,0.00061,0,down,-0.00054,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-16,60,30,up,wick,up,wick,1,2026-03-16T14:17:00Z,1.14753,1.14776,1.14753,1.1476,1.14773,1.14814,1.14776,high,0.00041,0,up,-0.00038,1,0,first_break_bar_level,0
IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-17|60|IB60|OR30,IB_OR_BREAK_BAR_EVIDENCE,RELATION_P0,or_break_bar_found_but_ib_same_side_not_crossed,IBORFB|IBOR|EURUSD|M1|london|2026-03-17|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-17,60,30,down,wick,down,wick,1,2026-03-17T08:35:00Z,1.14944,1.14947,1.14938,1.14947,1.14939,1.14781,1.14938,low,0.00158,0,down,-0.00157,1,0,first_break_bar_level,0
