candidate_id,candidate_family,candidate_level,candidate_status,source_evidence_id,symbol,timeframe,session_id,session_timezone,session_local_date,break_bar_time_utc,first_break_direction,first_break_mode,break_trigger_price,ib_same_side_edge_value,ib_same_side_cross_distance,break_trigger_source,direction_mode_match_to_relation,post_cross_tracking_scope
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,2021-06-21T16:15:00Z,up,close,1.38936,1.38869,0.00067,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,2021-06-25T14:30:00Z,down,close,1.38965,1.38981,0.00016,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,2021-06-30T15:00:00Z,down,close,1.38502,1.38555,0.00053,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,2021-07-02T08:45:00Z,down,close,1.37666,1.37670,0.00004,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,2021-07-05T15:45:00Z,down,wick,1.38436,1.38449,0.00013,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-09,2021-07-09T08:00:00Z,up,wick,1.37815,1.37807,0.00008,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-14,2021-07-14T14:30:00Z,down,wick,1.3853,1.38544,0.00014,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-02,2021-08-02T14:45:00Z,down,wick,1.3893,1.38968,0.00038,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,2021-08-04T08:15:00Z,up,close,1.39282,1.39278,0.00004,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,2021-08-05T08:00:00Z,up,close,1.38953,1.38926,0.00027,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-11,2021-08-11T08:15:00Z,up,close,1.38324,1.38309,0.00015,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-11,2021-08-11T14:30:00Z,up,close,1.38257,1.38189,0.00068,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,2021-08-17T14:30:00Z,up,wick,1.37967,1.37963,0.00004,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-20,2021-08-20T08:00:00Z,down,close,1.36236,1.36291,0.00055,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-25,2021-08-25T14:30:00Z,down,wick,1.37112,1.37129,0.00017,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-31,2021-08-31T08:00:00Z,up,close,1.37855,1.37814,0.00041,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-17,2021-09-17T14:45:00Z,up,close,1.37973,1.37954,0.00019,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-27,2021-09-27T08:00:00Z,up,close,1.36783,1.36775,0.00008,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-30,2021-09-30T14:45:00Z,up,wick,1.34494,1.34490,0.00004,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-10-22|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-10-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-10-22,2021-10-22T14:45:00Z,down,wick,1.37791,1.37808,0.00017,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-01,2021-11-01T14:30:00Z,up,close,1.36597,1.36579,0.00018,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-15,2021-11-15T09:30:00Z,down,close,1.34266,1.34283,0.00017,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-16,2021-11-16T09:00:00Z,up,close,1.34451,1.34249,0.00202,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-19,2021-11-19T15:30:00Z,up,close,1.34494,1.34479,0.00015,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-11-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-11-23,2021-11-23T09:00:00Z,down,close,1.3381,1.33815,0.00005,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-25,2021-11-25T17:15:00Z,up,wick,1.33209,1.33178,0.00031,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-20,2021-12-20T09:00:00Z,down,close,1.32106,1.32159,0.00053,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-12-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-12-23,2021-12-23T15:30:00Z,down,close,1.34161,1.34183,0.00022,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,2021-12-27T09:15:00Z,down,wick,1.33936,1.33949,0.00013,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-04,2022-01-04T09:30:00Z,up,close,1.34731,1.34696,0.00035,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,2022-01-10T09:00:00Z,up,close,1.35871,1.35863,0.00008,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,2022-01-10T15:30:00Z,down,close,1.3556,1.35637,0.00077,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-13,2022-01-13T15:45:00Z,up,close,1.37378,1.37345,0.00033,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-21,2022-01-21T15:30:00Z,up,wick,1.35746,1.35731,0.00015,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-24,2022-01-24T15:30:00Z,down,close,1.34738,1.34770,0.00032,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-02-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-02-04,2022-02-04T09:45:00Z,down,close,1.35813,1.35820,0.00007,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-07,2022-02-07T15:30:00Z,down,wick,1.35053,1.35101,0.00048,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-16,2022-02-16T15:30:00Z,down,wick,1.35392,1.35429,0.00037,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-25,2022-02-25T15:45:00Z,down,wick,1.33817,1.33819,0.00002,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-03-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-03-02,2022-03-02T15:30:00Z,up,wick,1.33342,1.33341,0.00001,high,1,post_cross_path_pending_definition
