candidate_id,candidate_family,candidate_level,candidate_status,source_evidence_id,symbol,timeframe,session_id,session_timezone,session_local_date,break_bar_time_utc,first_break_direction,first_break_mode,break_trigger_price,ib_same_side_edge_value,ib_same_side_cross_distance,break_trigger_source,direction_mode_match_to_relation,post_cross_tracking_scope
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,2026-03-11T09:03:00Z,up,wick,1.16366,1.16361,0.00005,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,2026-03-13T15:02:00Z,up,wick,1.14726,1.14720,0.00006,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-03,2026-04-03T14:35:00Z,down,close,1.15418,1.15419,0.00001,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-06,2026-04-06T15:37:00Z,up,wick,1.15527,1.15516,0.00011,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-07,2026-04-07T14:37:00Z,up,wick,1.1559599999999999,1.15587,0.0000899999999999,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-08,2026-04-08T08:20:00Z,up,close,1.16825,1.16811,0.00014,close,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-15,2026-04-15T14:46:00Z,up,wick,1.17843,1.17835,0.00008,high,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-06,2026-05-06T14:55:00Z,down,wick,1.1769,1.17694,0.00004,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-08,2026-05-08T15:07:00Z,down,wick,1.17608,1.17614,0.00006,low,1,post_cross_path_pending_definition
IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_CANDIDATE,RELATION_P0,confirmed_cross_candidate,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-13,2026-05-13T14:14:00Z,up,wick,1.1715200000000001,1.17152,1E-16,high,1,post_cross_path_pending_definition
