outcome_shell_id,outcome_family,outcome_level,outcome_status,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,cross_distance_over_ib,next_required_evidence,failed_breakout_defined,retest_defined,reject_defined,day_type_defined
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,up,close,2021-06-21T16:15:00Z,1.38936,0.00067,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,down,close,2021-06-25T14:30:00Z,1.38965,0.00016,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,down,close,2021-06-30T15:00:00Z,1.38502,0.00053,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,down,close,2021-07-02T08:45:00Z,1.37666,0.00004,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,down,wick,2021-07-05T15:45:00Z,1.38436,0.00013,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-09,up,wick,2021-07-09T08:00:00Z,1.37815,0.00008,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-14,down,wick,2021-07-14T14:30:00Z,1.3853,0.00014,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-02,down,wick,2021-08-02T14:45:00Z,1.3893,0.00038,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,up,close,2021-08-04T08:15:00Z,1.39282,0.00004,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,up,close,2021-08-05T08:00:00Z,1.38953,0.00027,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-11,up,close,2021-08-11T08:15:00Z,1.38324,0.00015,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-11,up,close,2021-08-11T14:30:00Z,1.38257,0.00068,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,up,wick,2021-08-17T14:30:00Z,1.37967,0.00004,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-20,down,close,2021-08-20T08:00:00Z,1.36236,0.00055,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-25,down,wick,2021-08-25T14:30:00Z,1.37112,0.00017,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-31,up,close,2021-08-31T08:00:00Z,1.37855,0.00041,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-17,up,close,2021-09-17T14:45:00Z,1.37973,0.00019,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-09-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-09-27,up,close,2021-09-27T08:00:00Z,1.36783,0.00008,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
