outcome_shell_id,outcome_family,outcome_level,outcome_status,source_confirmed_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,cross_trigger_price,cross_distance_over_ib,next_required_evidence,failed_breakout_defined,retest_defined,reject_defined,day_type_defined
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,up,wick,2026-03-11T09:03:00Z,1.16366,0.00005,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,up,wick,2026-03-13T15:02:00Z,1.14726,0.00006,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-03,down,close,2026-04-03T14:35:00Z,1.15418,0.00001,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-06,up,wick,2026-04-06T15:37:00Z,1.15527,0.00011,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-07,up,wick,2026-04-07T14:37:00Z,1.1559599999999999,0.0000899999999999,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-08,up,close,2026-04-08T08:20:00Z,1.16825,0.00014,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-15,up,wick,2026-04-15T14:46:00Z,1.17843,0.00008,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-06,down,wick,2026-05-06T14:55:00Z,1.1769,0.00004,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-08,down,wick,2026-05-08T15:07:00Z,1.17608,0.00006,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,IB_OR_CONFIRMED_CROSS_OUTCOME_SHELL,RELATION_P0,post_cross_tracking_not_started,IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-13,up,wick,2026-05-13T14:14:00Z,1.1715200000000001,1E-16,post_cross_return_inside_ib_or_continuation_path,0,0,0,0
