relative_id,relative_family,relative_level,relative_status,source_relation_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,first_break_direction,first_break_mode,break_side,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib,shared_boundary_on_break_side,first_break_relative_case,can_confirm_ib_break_from_current_fields,requires_break_price_for_ib_confirmation,inference_scope,width_error_day
IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-16,60,30,up,close,up,1.40866,1.40890,0.00024,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,60,30,down,wick,down,1.41094,1.41093,0.00001,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-17,60,30,up,close,up,1.39959,1.39983,0.00024,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-17,60,30,up,wick,up,1.39489,1.39573,0.00084,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-18,60,30,down,close,down,1.39211,1.39093,0.00118,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-18,60,30,down,wick,down,1.38987,1.38925,0.00062,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-21,60,30,down,wick,down,1.37920,1.37892,0.00028,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,60,30,up,close,up,1.38869,1.38869,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-22,60,30,down,close,down,1.39112,1.39087,0.00025,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,60,30,up,close,up,1.38876,1.38932,0.00056,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,60,30,up,wick,up,1.39307,1.39314,0.00007,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-23,60,30,down,close,down,1.39575,1.39534,0.00041,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-24,60,30,up,close,up,1.39597,1.39615,0.00018,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-24,60,30,down,close,down,1.39675,1.39049,0.00626,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
