observation_id,observation_family,observation_level,observation_status,source_observation_id,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,second_next_session_local_date,cross_direction,cross_mode,prior_ib_same_side_edge_value,second_next_session_open_utc,second_next_session_first_bar_open,second_next_session_first_bar_close,second_next_session_first_30m_bar_count,second_next_session_first_bar_expected_side,second_next_session_first_30m_all_closes_expected_side,second_next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,2021-07-06,2021-07-07,down,wick,1.38449,2021-07-07T13:30:00Z,1.38233,1.38131,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,2021-08-05,2021-08-06,up,close,1.39278,2021-08-06T07:00:00Z,1.39204,1.39177,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,2021-08-18,2021-08-19,up,wick,1.37963,2021-08-19T13:30:00Z,1.36905,1.36927,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-25,2021-08-26,2021-08-27,down,wick,1.37129,2021-08-27T13:30:00Z,1.37055,1.37062,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-31,2021-09-01,2021-09-02,up,close,1.37814,2021-09-02T07:00:00Z,1.37731,1.37721,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-01,2021-11-02,2021-11-03,up,close,1.36579,2021-11-03T13:30:00Z,1.36216,1.36246,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,2021-12-28,2021-12-29,down,wick,1.33949,2021-12-29T08:00:00Z,1.34282,1.3428,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,2022-01-11,2022-01-12,down,close,1.35637,2022-01-12T14:30:00Z,1.3638,1.36391,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-13|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-13,2022-01-14,2022-01-15,up,close,1.37345,2022-01-15T14:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_ib
IBORNMS|IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IB_OR_NOT_BEYOND_MULTI_SESSION_STABILITY_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_inside_prior_ib,IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-02-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-02-07,2022-02-08,2022-02-09,down,wick,1.35101,2022-02-09T14:30:00Z,1.35789,1.35729,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_ib
