observation_id,observation_family,observation_level,observation_status,source_candidate_id,source_post_cross_observation_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,cross_direction,cross_mode,prior_ib_same_side_edge_value,next_session_open_utc,next_session_first_bar_open,next_session_first_bar_close,next_session_first_30m_bar_count,next_session_first_bar_expected_side,next_session_first_30m_all_closes_expected_side,next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,2021-07-03,down,close,1.37670,2021-07-03T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,2021-07-06,down,wick,1.38449,2021-07-06T13:30:00Z,1.3846,1.38457,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,2021-08-05,up,close,1.39278,2021-08-05T07:00:00Z,1.38901,1.38908,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,2021-08-18,up,wick,1.37963,2021-08-18T13:30:00Z,1.3758,1.37576,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-25,2021-08-26,down,wick,1.37129,2021-08-26T13:30:00Z,1.37424,1.37443,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-31,2021-09-01,up,close,1.37814,2021-09-01T07:00:00Z,1.37369,1.37353,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-17,2021-09-18,up,close,1.37954,2021-09-18T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-01,2021-11-02,up,close,1.36579,2021-11-02T13:30:00Z,1.36364,1.36304,2,1,1,0,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-19,2021-11-20,up,close,1.34479,2021-11-20T14:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_ib
IBORPBS|IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IB_OR_NOT_BEYOND_PULLBACK_STABILITY_OBSERVATION,RELATION_P0,next_session_first_30m_not_all_closes_inside_prior_ib,IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-25,2021-11-26,up,wick,1.33178,2021-11-26T14:30:00Z,1.33294,1.33367,2,0,0,1,next_same_session_first_30m_relative_to_prior_ib
