candidate_id,candidate_family,candidate_level,candidate_status,source_evidence_id,symbol,timeframe,session_id,session_timezone,session_local_date,break_bar_time_utc,first_break_direction,first_break_mode,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,break_trigger_source,direction_mode_match_to_relation,split_scope
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-09,2026-03-09T08:31:00Z,up,close,1.15616,1.15607,1.15715,0.00108,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-09,2026-03-09T14:04:00Z,up,close,1.1565400000000001,1.15649,1.15678,0.00029,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-10,2026-03-10T08:53:00Z,up,wick,1.16201,1.16200,1.16203,0.00003,high,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-10,2026-03-10T14:04:00Z,up,close,1.16496,1.16448,1.16531,0.00083,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-11,2026-03-11T14:19:00Z,down,wick,1.16021,1.16022,1.16006,0.00016,low,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-12,2026-03-12T08:41:00Z,up,close,1.15441,1.15438,1.15453,0.00015,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-12,2026-03-12T14:00:00Z,up,close,1.15584,1.15582,1.15608,0.00026,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-13,2026-03-13T08:30:00Z,up,wick,1.15048,1.15046,1.15065,0.00019,high,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-16,2026-03-16T08:30:00Z,down,close,1.14386,1.14393,1.14332,0.00061,close,1,or_break_only_branch
IBORONLY|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,IB_OR_BREAK_ONLY_CANDIDATE,RELATION_P0,or_break_only_not_ib_cross,IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-16,2026-03-16T14:17:00Z,up,wick,1.14776,1.14773,1.14814,0.00041,high,1,or_break_only_branch
