candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-16,up,close,2021-06-16T07:30:00Z,1.40879,1.40866,1.40890,0.00024,61,1,2021-06-16T08:00:00Z,1.41319,0.00453,1.39963,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,down,wick,2021-06-16T14:00:00Z,1.41093,1.41094,1.41093,0.00001,55,1,2021-06-16T14:15:00Z,1.39702,0.01392,1.39753,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-17,up,close,2021-06-17T07:45:00Z,1.39981,1.39959,1.39983,0.00024,60,1,2021-06-17T08:00:00Z,1.40083,0.00124,1.39188,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-17,up,wick,2021-06-17T14:00:00Z,1.39522,1.39489,1.39573,0.00084,55,1,2021-06-17T14:15:00Z,1.39618,0.00129,1.39331,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-18,down,wick,2021-06-18T14:00:00Z,1.38971,1.38987,1.38925,0.00062,39,1,2021-06-18T14:15:00Z,1.37909,0.01078,1.37931,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-21,down,wick,2021-06-21T07:30:00Z,1.37892,1.37920,1.37892,0.00028,61,1,2021-06-21T07:45:00Z,1.37907,0.00013,1.39313,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-22,down,close,2021-06-22T07:30:00Z,1.3911,1.39112,1.39087,0.00025,61,1,2021-06-22T07:45:00Z,1.38596,0.00516,1.39489,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,up,close,2021-06-22T14:00:00Z,1.38924,1.38876,1.38932,0.00056,55,1,2021-06-22T14:15:00Z,1.39629,0.00753,1.39394,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,up,wick,2021-06-23T07:30:00Z,1.39309,1.39307,1.39314,0.00007,61,1,2021-06-23T07:45:00Z,1.40007,0.00700,1.39577,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-23,down,close,2021-06-23T14:00:00Z,1.39548,1.39575,1.39534,0.00041,55,1,2021-06-23T14:15:00Z,1.3951,0.00065,1.3962,0,same_local_date_after_or_break_only
