candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,down,wick,2021-06-16T14:00:00Z,1.41093,1.41094,1.41093,0.00001,55,1,2021-06-16T14:15:00Z,1.39702,0.01392,1.39753,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-18,down,close,2021-06-18T07:30:00Z,1.39172,1.39211,1.39093,0.00118,61,0,,1.37943,0.01268,1.38083,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-18,down,wick,2021-06-18T14:00:00Z,1.38971,1.38987,1.38925,0.00062,39,1,2021-06-18T14:15:00Z,1.37909,0.01078,1.37931,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,up,close,2021-06-22T14:00:00Z,1.38924,1.38876,1.38932,0.00056,55,1,2021-06-22T14:15:00Z,1.39629,0.00753,1.39394,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,up,wick,2021-06-23T07:30:00Z,1.39309,1.39307,1.39314,0.00007,61,1,2021-06-23T07:45:00Z,1.40007,0.00700,1.39577,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-24,down,close,2021-06-24T14:00:00Z,1.39244,1.39675,1.39049,0.00626,55,0,,1.38889,0.00786,1.39156,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-25,down,close,2021-06-25T07:30:00Z,1.39229,1.39243,1.39200,0.00043,61,1,2021-06-25T07:45:00Z,1.38707,0.00536,1.38886,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-28,down,close,2021-06-28T14:15:00Z,1.38979,1.38999,1.38955,0.00044,54,1,2021-06-28T15:15:00Z,1.38586,0.00413,1.38626,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-01,down,wick,2021-07-01T07:30:00Z,1.38169,1.38176,1.38168,0.00008,61,1,2021-07-01T07:45:00Z,1.37522,0.00654,1.37569,1,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-02,up,close,2021-07-02T14:00:00Z,1.37518,1.37500,1.37561,0.00061,39,1,2021-07-02T14:15:00Z,1.3844,0.00940,1.38323,1,same_local_date_after_or_break_only
