observation_id,observation_family,observation_level,observation_status,source_observation_id,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,second_next_session_local_date,first_break_direction,first_break_mode,prior_or_break_edge_value,second_next_session_open_utc,second_next_session_first_bar_open,second_next_session_first_bar_close,second_next_session_first_30m_bar_count,second_next_session_first_bar_expected_side,second_next_session_first_30m_all_closes_expected_side,second_next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,2021-06-17,2021-06-18,down,wick,1.41094,2021-06-18T13:30:00Z,1.39022,1.3904,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,2021-06-23,2021-06-24,up,close,1.38876,2021-06-24T13:30:00Z,1.39715,1.39715,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,2021-06-24,2021-06-25,up,wick,1.39307,2021-06-25T07:00:00Z,1.39284,1.39244,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-24,2021-06-25,2021-06-26,down,close,1.39675,2021-06-26T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-28,2021-06-29,2021-06-30,down,close,1.38999,2021-06-30T13:30:00Z,1.38555,1.38595,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-01,2021-07-02,2021-07-03,down,wick,1.38176,2021-07-03T07:00:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_not_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-05,2021-07-06,2021-07-07,up,close,1.38222,2021-07-07T07:00:00Z,1.38005,1.37999,2,0,0,1,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-08|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,missing_second_next_session_first_30m_data,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-08|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-08|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-08,2021-07-09,2021-07-10,up,wick,1.37742,2021-07-10T13:30:00Z,,,0,,,,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-12|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-12|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-12|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-12,2021-07-13,2021-07-14,up,close,1.38530,2021-07-14T13:30:00Z,1.38554,1.38675,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
IBORONLYMP|IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-13|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_MULTI_SESSION_PERSISTENCE_OBSERVATION,RELATION_P0,second_next_session_first_30m_all_closes_beyond_prior_or,IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-13|60|IB60|OR30,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-13|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-13,2021-07-14,2021-07-15,down,close,1.38935,2021-07-15T07:00:00Z,1.38331,1.38325,2,1,1,0,second_next_same_session_first_30m_relative_to_prior_or
