observation_id,observation_family,observation_level,observation_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,prior_session_local_date,next_session_local_date,first_break_direction,first_break_mode,prior_or_break_edge_value,next_session_open_utc,next_session_first_bar_open,next_session_first_bar_close,next_session_first_30m_bar_count,next_session_first_bar_expected_side,next_session_first_30m_all_closes_expected_side,next_session_first_30m_any_close_opposite_or_at_boundary,observation_scope
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-16,2021-06-17,down,wick,1.41094,2021-06-17T13:30:00Z,1.39433,1.39433,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-18,2021-06-19,down,close,1.39211,2021-06-19T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-18,2021-06-19,down,wick,1.38987,2021-06-19T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-22,2021-06-23,up,close,1.38876,2021-06-23T13:30:00Z,1.396,1.39611,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-23,2021-06-24,up,wick,1.39307,2021-06-24T07:00:00Z,1.39545,1.39587,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-24|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-24,2021-06-25,down,close,1.39675,2021-06-25T13:30:00Z,1.38998,1.39056,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-25|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-25,2021-06-26,down,close,1.39243,2021-06-26T07:00:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-28|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-28,2021-06-29,down,close,1.38999,2021-06-29T13:30:00Z,1.3844,1.38429,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,next_session_first_30m_all_closes_beyond_prior_or,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-01|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-01,2021-07-02,down,wick,1.38176,2021-07-02T07:00:00Z,1.37671,1.37739,2,1,1,0,next_same_session_first_30m_relative_to_prior_or
IBORONLYNXT|IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,IB_OR_BREAK_ONLY_BEYOND_OR_NEXT_SESSION_CONTINUATION_OBSERVATION,RELATION_P0,missing_next_session_first_30m_data,IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-02,2021-07-03,up,close,1.37500,2021-07-03T13:30:00Z,,,0,,,,next_same_session_first_30m_relative_to_prior_or
