candidate_id,candidate_family,candidate_level,candidate_status,source_candidate_id,symbol,timeframe,session_id,session_timezone,session_local_date,first_break_direction,first_break_mode,break_bar_time_utc,break_trigger_price,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib_before_break,bars_after_break_count,return_inside_or_observed_same_day,first_return_inside_or_bar_time_utc,max_extension_price_same_day,max_extension_distance_over_or,session_close_price,session_close_beyond_or,observation_scope
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-16,up,close,2021-06-16T07:30:00Z,1.40879,1.40866,1.40890,0.00024,61,1,2021-06-16T08:00:00Z,1.41319,0.00453,1.39963,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-17,up,close,2021-06-17T07:45:00Z,1.39981,1.39959,1.39983,0.00024,60,1,2021-06-17T08:00:00Z,1.40083,0.00124,1.39188,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-17,up,wick,2021-06-17T14:00:00Z,1.39522,1.39489,1.39573,0.00084,55,1,2021-06-17T14:15:00Z,1.39618,0.00129,1.39331,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-21,down,wick,2021-06-21T07:30:00Z,1.37892,1.37920,1.37892,0.00028,61,1,2021-06-21T07:45:00Z,1.37907,0.00013,1.39313,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-22,down,close,2021-06-22T07:30:00Z,1.3911,1.39112,1.39087,0.00025,61,1,2021-06-22T07:45:00Z,1.38596,0.00516,1.39489,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-23,down,close,2021-06-23T14:00:00Z,1.39548,1.39575,1.39534,0.00041,55,1,2021-06-23T14:15:00Z,1.3951,0.00065,1.3962,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-24,up,close,2021-06-24T07:30:00Z,1.396,1.39597,1.39615,0.00018,61,1,2021-06-24T07:45:00Z,1.3986,0.00263,1.39348,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-28|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-28|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-28,up,wick,2021-06-28T07:45:00Z,1.38914,1.38904,1.38914,0.00010,60,1,2021-06-28T08:00:00Z,1.39392,0.00488,1.38739,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-29|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-06-29|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-06-29,up,close,2021-06-29T07:30:00Z,1.38688,1.38667,1.38692,0.00025,61,1,2021-06-29T07:45:00Z,1.3879,0.00123,1.385,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-29|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-29|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-29,down,close,2021-06-29T14:00:00Z,1.38234,1.38373,1.38213,0.00160,55,1,2021-06-29T14:30:00Z,1.38136,0.00237,1.38525,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-01|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-01,up,close,2021-07-01T14:00:00Z,1.37962,1.37916,1.37997,0.00081,55,1,2021-07-01T17:00:00Z,1.38198,0.00282,1.37602,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-06|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-06|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-06,up,close,2021-07-06T14:00:00Z,1.38511,1.38508,1.38572,0.00064,55,1,2021-07-06T14:15:00Z,1.38741,0.00233,1.37961,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-07|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-07|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-07,up,close,2021-07-07T14:00:00Z,1.38271,1.38245,1.38286,0.00041,55,1,2021-07-07T14:15:00Z,1.38413,0.00168,1.37889,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-08|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-08|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-08,down,wick,2021-07-08T07:30:00Z,1.37804,1.37809,1.37804,0.00005,61,1,2021-07-08T07:45:00Z,1.37411,0.00398,1.37843,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-12|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-12|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-12,up,close,2021-07-12T07:30:00Z,1.38869,1.38861,1.38910,0.00049,61,1,2021-07-12T08:15:00Z,1.39046,0.00185,1.38828,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-14|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-14|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-14,down,wick,2021-07-14T07:30:00Z,1.38146,1.38149,1.38146,0.00003,61,1,2021-07-14T07:45:00Z,1.3817,-0.00021,1.38568,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-15|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-15|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-15,up,close,2021-07-15T07:30:00Z,1.38393,1.38378,1.38396,0.00018,61,1,2021-07-15T07:45:00Z,1.38983,0.00605,1.38236,0,same_local_date_after_or_break_only
IBORONLYSC|IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-20|60|IB60|OR30,IB_OR_BREAK_ONLY_SAME_DAY_SESSION_CLOSE,RELATION_P0,or_break_only_same_day_session_close_observed,IBORONLY|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-20,up,wick,2021-07-20T07:45:00Z,1.36725,1.36711,1.36725,0.00014,60,1,2021-07-20T08:00:00Z,1.36762,0.00051,1.36292,0,same_local_date_after_or_break_only
