relation_id,relation_family,relation_level,relation_status,source_ib_object_id,source_or_row_key,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,ib_start_utc,ib_end_utc,or_bar_time_utc,ib_high,ib_low,ib_range,opening_range_high,opening_range_low,opening_range_width,or_inside_ib,ib_equals_or,ib_width_minus_or_width,ib_width_to_or_width_ratio,or_high_to_ib_high_gap,or_low_to_ib_low_gap,first_break_direction,first_break_mode,width_error_day
IBOR|GBPUSD|M15|london|2021-06-16|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-16|60,OR|GBPUSD|M15|london|2021-06-16|30,GBPUSD,M15,london,Europe/London,2021-06-16,60,30,2021-06-16T07:00:00Z,2021-06-16T08:00:00Z,2021-06-16T07:30:00Z,1.40890,1.40811,0.00079,1.40866,1.40811,0.00055,1,0,0.00024,1.436363636363636363636363636,0.00024,0.00000,up,close,0
IBOR|GBPUSD|M15|new_york|2021-06-16|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-16|60,OR|GBPUSD|M15|new_york|2021-06-16|30,GBPUSD,M15,new_york,America/New_York,2021-06-16,60,30,2021-06-16T13:30:00Z,2021-06-16T14:30:00Z,2021-06-16T14:00:00Z,1.41183,1.41093,0.00090,1.41183,1.41094,0.00089,1,0,0.00001,1.011235955056179775280898876,0.00000,0.00001,down,wick,0
IBOR|GBPUSD|M15|london|2021-06-17|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-17|60,OR|GBPUSD|M15|london|2021-06-17|30,GBPUSD,M15,london,Europe/London,2021-06-17,60,30,2021-06-17T07:00:00Z,2021-06-17T08:00:00Z,2021-06-17T07:30:00Z,1.39983,1.39907,0.00076,1.39959,1.39907,0.00052,1,0,0.00024,1.461538461538461538461538462,0.00024,0.00000,up,close,0
IBOR|GBPUSD|M15|new_york|2021-06-17|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-17|60,OR|GBPUSD|M15|new_york|2021-06-17|30,GBPUSD,M15,new_york,America/New_York,2021-06-17,60,30,2021-06-17T13:30:00Z,2021-06-17T14:30:00Z,2021-06-17T14:00:00Z,1.39573,1.39406,0.00167,1.39489,1.39406,0.00083,1,0,0.00084,2.012048192771084337349397590,0.00084,0.00000,up,wick,0
IBOR|GBPUSD|M15|london|2021-06-18|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-18|60,OR|GBPUSD|M15|london|2021-06-18|30,GBPUSD,M15,london,Europe/London,2021-06-18,60,30,2021-06-18T07:00:00Z,2021-06-18T08:00:00Z,2021-06-18T07:30:00Z,1.39273,1.39093,0.00180,1.39273,1.39211,0.00062,1,0,0.00118,2.903225806451612903225806452,0.00000,0.00118,down,close,0
IBOR|GBPUSD|M15|new_york|2021-06-18|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-18|60,OR|GBPUSD|M15|new_york|2021-06-18|30,GBPUSD,M15,new_york,America/New_York,2021-06-18,60,30,2021-06-18T13:30:00Z,2021-06-18T14:30:00Z,2021-06-18T14:00:00Z,1.39098,1.38925,0.00173,1.39098,1.38987,0.00111,1,0,0.00062,1.558558558558558558558558559,0.00000,0.00062,down,wick,0
IBOR|GBPUSD|M15|london|2021-06-21|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-21|60,OR|GBPUSD|M15|london|2021-06-21|30,GBPUSD,M15,london,Europe/London,2021-06-21,60,30,2021-06-21T07:00:00Z,2021-06-21T08:00:00Z,2021-06-21T07:30:00Z,1.38023,1.37892,0.00131,1.38023,1.37920,0.00103,1,0,0.00028,1.271844660194174757281553398,0.00000,0.00028,down,wick,0
IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-21|60,OR|GBPUSD|M15|new_york|2021-06-21|30,GBPUSD,M15,new_york,America/New_York,2021-06-21,60,30,2021-06-21T13:30:00Z,2021-06-21T14:30:00Z,2021-06-21T14:00:00Z,1.38869,1.38643,0.00226,1.38869,1.38643,0.00226,1,1,0.00000,1,0.00000,0.00000,up,close,0
IBOR|GBPUSD|M15|london|2021-06-22|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-22|60,OR|GBPUSD|M15|london|2021-06-22|30,GBPUSD,M15,london,Europe/London,2021-06-22,60,30,2021-06-22T07:00:00Z,2021-06-22T08:00:00Z,2021-06-22T07:30:00Z,1.39167,1.39087,0.00080,1.39167,1.39112,0.00055,1,0,0.00025,1.454545454545454545454545455,0.00000,0.00025,down,close,0
IBOR|GBPUSD|M15|new_york|2021-06-22|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-22|60,OR|GBPUSD|M15|new_york|2021-06-22|30,GBPUSD,M15,new_york,America/New_York,2021-06-22,60,30,2021-06-22T13:30:00Z,2021-06-22T14:30:00Z,2021-06-22T14:00:00Z,1.38932,1.38696,0.00236,1.38876,1.38696,0.00180,1,0,0.00056,1.311111111111111111111111111,0.00056,0.00000,up,close,0
IBOR|GBPUSD|M15|london|2021-06-23|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-23|60,OR|GBPUSD|M15|london|2021-06-23|30,GBPUSD,M15,london,Europe/London,2021-06-23,60,30,2021-06-23T07:00:00Z,2021-06-23T08:00:00Z,2021-06-23T07:30:00Z,1.39314,1.39269,0.00045,1.39307,1.39269,0.00038,1,0,0.00007,1.184210526315789473684210526,0.00007,0.00000,up,wick,0
IBOR|GBPUSD|M15|new_york|2021-06-23|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|new_york|2021-06-23|60,OR|GBPUSD|M15|new_york|2021-06-23|30,GBPUSD,M15,new_york,America/New_York,2021-06-23,60,30,2021-06-23T13:30:00Z,2021-06-23T14:30:00Z,2021-06-23T14:00:00Z,1.39714,1.39534,0.00180,1.39714,1.39575,0.00139,1,0,0.00041,1.294964028776978417266187050,0.00000,0.00041,down,close,0
IBOR|GBPUSD|M15|london|2021-06-24|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|GBPUSD|M15|london|2021-06-24|60,OR|GBPUSD|M15|london|2021-06-24|30,GBPUSD,M15,london,Europe/London,2021-06-24,60,30,2021-06-24T07:00:00Z,2021-06-24T08:00:00Z,2021-06-24T07:30:00Z,1.39615,1.39542,0.00073,1.39597,1.39542,0.00055,1,0,0.00018,1.327272727272727272727272727,0.00018,0.00000,up,close,0
