relation_id,relation_family,relation_level,relation_status,source_ib_object_id,source_or_row_key,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,ib_start_utc,ib_end_utc,or_bar_time_utc,ib_high,ib_low,ib_range,opening_range_high,opening_range_low,opening_range_width,or_inside_ib,ib_equals_or,ib_width_minus_or_width,ib_width_to_or_width_ratio,or_high_to_ib_high_gap,or_low_to_ib_low_gap,first_break_direction,first_break_mode,width_error_day
IBOR|EURUSD|M1|london|2026-03-09|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-09|60,OR|EURUSD|M1|london|2026-03-09|30,EURUSD,M1,london,Europe/London,2026-03-09,60,30,2026-03-09T08:00:00Z,2026-03-09T09:00:00Z,2026-03-09T08:30:00Z,1.15715,1.15238,0.00477,1.15607,1.15238,0.00369,1,0,0.00108,1.292682926829268292682926829,0.00108,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-03-09|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-09|60,OR|EURUSD|M1|new_york|2026-03-09|30,EURUSD,M1,new_york,America/New_York,2026-03-09,60,30,2026-03-09T13:30:00Z,2026-03-09T14:30:00Z,2026-03-09T14:00:00Z,1.15678,1.15514,0.00164,1.15649,1.15514,0.00135,1,0,0.00029,1.214814814814814814814814815,0.00029,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-10|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-10|60,OR|EURUSD|M1|london|2026-03-10|30,EURUSD,M1,london,Europe/London,2026-03-10,60,30,2026-03-10T08:00:00Z,2026-03-10T09:00:00Z,2026-03-10T08:30:00Z,1.16203,1.16115,0.00088,1.16200,1.16115,0.00085,1,0,0.00003,1.035294117647058823529411765,0.00003,0.00000,up,wick,0
IBOR|EURUSD|M1|new_york|2026-03-10|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-10|60,OR|EURUSD|M1|new_york|2026-03-10|30,EURUSD,M1,new_york,America/New_York,2026-03-10,60,30,2026-03-10T13:30:00Z,2026-03-10T14:30:00Z,2026-03-10T14:00:00Z,1.16531,1.16203,0.00328,1.16448,1.16203,0.00245,1,0,0.00083,1.338775510204081632653061224,0.00083,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-11|60,OR|EURUSD|M1|london|2026-03-11|30,EURUSD,M1,london,Europe/London,2026-03-11,60,30,2026-03-11T08:00:00Z,2026-03-11T09:00:00Z,2026-03-11T08:30:00Z,1.16361,1.16301,0.00060,1.16361,1.16301,0.00060,1,1,0.00000,1,0.00000,0.00000,up,wick,0
IBOR|EURUSD|M1|new_york|2026-03-11|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-11|60,OR|EURUSD|M1|new_york|2026-03-11|30,EURUSD,M1,new_york,America/New_York,2026-03-11,60,30,2026-03-11T13:30:00Z,2026-03-11T14:30:00Z,2026-03-11T14:00:00Z,1.16116,1.16006,0.00110,1.16116,1.16022,0.00094,1,0,0.00016,1.170212765957446808510638298,0.00000,0.00016,down,wick,0
IBOR|EURUSD|M1|london|2026-03-12|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-12|60,OR|EURUSD|M1|london|2026-03-12|30,EURUSD,M1,london,Europe/London,2026-03-12,60,30,2026-03-12T08:00:00Z,2026-03-12T09:00:00Z,2026-03-12T08:30:00Z,1.15453,1.15326,0.00127,1.15438,1.15326,0.00112,1,0,0.00015,1.133928571428571428571428571,0.00015,0.00000,up,close,0
IBOR|EURUSD|M1|new_york|2026-03-12|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-12|60,OR|EURUSD|M1|new_york|2026-03-12|30,EURUSD,M1,new_york,America/New_York,2026-03-12,60,30,2026-03-12T13:30:00Z,2026-03-12T14:30:00Z,2026-03-12T14:00:00Z,1.15608,1.15491,0.00117,1.15582,1.15491,0.00091,1,0,0.00026,1.285714285714285714285714286,0.00026,0.00000,up,close,0
IBOR|EURUSD|M1|london|2026-03-13|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-13|60,OR|EURUSD|M1|london|2026-03-13|30,EURUSD,M1,london,Europe/London,2026-03-13,60,30,2026-03-13T08:00:00Z,2026-03-13T09:00:00Z,2026-03-13T08:30:00Z,1.15065,1.15001,0.00064,1.15046,1.15008,0.00038,1,0,0.00026,1.684210526315789473684210526,0.00019,0.00007,up,wick,0
IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-13|60,OR|EURUSD|M1|new_york|2026-03-13|30,EURUSD,M1,new_york,America/New_York,2026-03-13,60,30,2026-03-13T13:30:00Z,2026-03-13T14:30:00Z,2026-03-13T14:00:00Z,1.14720,1.14518,0.00202,1.14720,1.14518,0.00202,1,1,0.00000,1,0.00000,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-03-16|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-16|60,OR|EURUSD|M1|london|2026-03-16|30,EURUSD,M1,london,Europe/London,2026-03-16,60,30,2026-03-16T08:00:00Z,2026-03-16T09:00:00Z,2026-03-16T08:30:00Z,1.14434,1.14332,0.00102,1.14434,1.14393,0.00041,1,0,0.00061,2.487804878048780487804878049,0.00000,0.00061,down,close,0
IBOR|EURUSD|M1|new_york|2026-03-16|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|new_york|2026-03-16|60,OR|EURUSD|M1|new_york|2026-03-16|30,EURUSD,M1,new_york,America/New_York,2026-03-16,60,30,2026-03-16T13:30:00Z,2026-03-16T14:30:00Z,2026-03-16T14:00:00Z,1.14814,1.14676,0.00138,1.14773,1.14676,0.00097,1,0,0.00041,1.422680412371134020618556701,0.00041,0.00000,up,wick,0
IBOR|EURUSD|M1|london|2026-03-17|60|IB60|OR30,IB_OR_RELATION,RELATION_P0,aligned_defined_pair,IB|EURUSD|M1|london|2026-03-17|60,OR|EURUSD|M1|london|2026-03-17|30,EURUSD,M1,london,Europe/London,2026-03-17,60,30,2026-03-17T08:00:00Z,2026-03-17T09:00:00Z,2026-03-17T08:30:00Z,1.14992,1.14781,0.00211,1.14992,1.14939,0.00053,1,0,0.00158,3.981132075471698113207547170,0.00000,0.00158,down,wick,0
