candidate_id,candidate_family,candidate_level,candidate_status,source_observation_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,first_return_inside_ib_bar_time_utc,bars_after_cross_count,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,card_scope
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,up,close,2021-06-21T16:15:00Z,2021-06-21T16:30:00Z,46,0.00500,1.39124,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,down,close,2021-06-25T14:30:00Z,2021-06-25T14:45:00Z,37,0.00274,1.38801,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,down,close,2021-06-30T15:00:00Z,2021-06-30T15:15:00Z,51,0.00576,1.38115,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,down,close,2021-07-02T08:45:00Z,2021-07-02T15:30:00Z,56,0.00365,1.38343,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,down,wick,2021-07-05T15:45:00Z,2021-07-05T16:00:00Z,48,0.00098,1.38573,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-09,up,wick,2021-07-09T08:00:00Z,2021-07-09T08:15:00Z,59,0.01117,1.38906,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-14,down,wick,2021-07-14T14:30:00Z,2021-07-14T14:45:00Z,53,0.00199,1.38407,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-02,down,wick,2021-08-02T14:45:00Z,2021-08-02T15:00:00Z,52,0.00243,1.38939,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,up,close,2021-08-04T08:15:00Z,2021-08-04T08:30:00Z,58,0.00292,1.38868,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,up,close,2021-08-05T08:00:00Z,2021-08-05T08:30:00Z,59,0.00556,1.39307,1,same_day_return_inside_observation_only
