candidate_id,candidate_family,candidate_level,candidate_status,source_observation_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,first_return_inside_ib_bar_time_utc,bars_after_cross_count,max_extension_distance_over_ib,session_close_price,session_close_beyond_ib,card_scope
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-03-11|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-11,up,wick,2026-03-11T09:03:00Z,2026-03-11T09:04:00Z,895,0.00093,1.15666,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-03-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-13,up,wick,2026-03-13T15:02:00Z,2026-03-13T15:03:00Z,534,0.00181,1.14152,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-03,down,close,2026-04-03T14:35:00Z,2026-04-03T14:36:00Z,553,0.00315,1.15146,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-06,up,wick,2026-04-06T15:37:00Z,2026-04-06T15:38:00Z,741,0.00200,1.1537600000000001,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-07,up,wick,2026-04-07T14:37:00Z,2026-04-07T14:38:00Z,801,0.0138200000000001,1.16718,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-08,up,close,2026-04-08T08:20:00Z,2026-04-08T10:11:00Z,879,0.00407,1.16679,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-15,up,wick,2026-04-15T14:46:00Z,2026-04-15T14:47:00Z,792,0.00250,1.1807400000000001,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-06,down,wick,2026-05-06T14:55:00Z,2026-05-06T14:56:00Z,783,0.00276,1.17485,1,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-08,down,wick,2026-05-08T15:07:00Z,2026-05-08T15:08:00Z,529,0.00051,1.17852,0,same_day_return_inside_observation_only
IBORRET|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,IB_OR_RETURN_INSIDE_IB_SAME_DAY,RELATION_P0,return_inside_ib_observed_same_day,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|EURUSD|M1|new_york|2026-05-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-05-13,up,wick,2026-05-13T14:14:00Z,2026-05-13T14:15:00Z,824,0.00036,1.1717,1,same_day_return_inside_observation_only
