candidate_id,candidate_family,candidate_level,candidate_status,source_observation_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,first_return_inside_ib_bar_time_utc,session_close_price,session_close_beyond_ib,max_extension_distance_over_ib,split_scope
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-21|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-21,up,close,2021-06-21T16:15:00Z,2021-06-21T16:30:00Z,1.39124,1,0.00500,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-25,down,close,2021-06-25T14:30:00Z,2021-06-25T14:45:00Z,1.38801,1,0.00274,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-06-30|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-06-30,down,close,2021-06-30T15:00:00Z,2021-06-30T15:15:00Z,1.38115,1,0.00576,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-09|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-09,up,wick,2021-07-09T08:00:00Z,2021-07-09T08:15:00Z,1.38906,1,0.01117,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-14|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-14,down,wick,2021-07-14T14:30:00Z,2021-07-14T14:45:00Z,1.38407,1,0.00199,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-02|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-02,down,wick,2021-08-02T14:45:00Z,2021-08-02T15:00:00Z,1.38939,1,0.00243,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-05|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-05,up,close,2021-08-05T08:00:00Z,2021-08-05T08:30:00Z,1.39307,1,0.00556,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-11|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-11,up,close,2021-08-11T08:15:00Z,2021-08-11T08:30:00Z,1.38702,1,0.00563,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-11|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-11,up,close,2021-08-11T14:30:00Z,,1.387,1,0.00683,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-20|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-20,down,close,2021-08-20T08:00:00Z,2021-08-20T08:45:00Z,1.36246,1,0.00276,same_day_session_close_position_relative_to_ib
