candidate_id,candidate_family,candidate_level,candidate_status,source_observation_id,symbol,timeframe,session_id,session_timezone,session_local_date,cross_direction,cross_mode,cross_bar_time_utc,first_return_inside_ib_bar_time_utc,session_close_price,session_close_beyond_ib,max_extension_distance_over_ib,split_scope
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-07-02|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-07-02,down,close,2021-07-02T08:45:00Z,2021-07-02T15:30:00Z,1.38343,0,0.00365,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-07-05|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-07-05,down,wick,2021-07-05T15:45:00Z,2021-07-05T16:00:00Z,1.38573,0,0.00098,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-04|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-04,up,close,2021-08-04T08:15:00Z,2021-08-04T08:30:00Z,1.38868,0,0.00292,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-17,up,wick,2021-08-17T14:30:00Z,2021-08-17T14:45:00Z,1.37406,0,-0.00013,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-08-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-08-25,down,wick,2021-08-25T14:30:00Z,2021-08-25T14:45:00Z,1.37601,0,0.00170,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-08-31|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-08-31,up,close,2021-08-31T08:00:00Z,2021-08-31T10:45:00Z,1.37477,0,0.00256,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-09-17|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-09-17,up,close,2021-09-17T14:45:00Z,2021-09-17T15:00:00Z,1.37276,0,0.00113,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-01|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-01,up,close,2021-11-01T14:30:00Z,2021-11-01T14:45:00Z,1.36498,0,0.00347,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-19|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-19,up,close,2021-11-19T15:30:00Z,2021-11-19T15:45:00Z,1.34423,0,0.00265,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2021-11-25|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2021-11-25,up,wick,2021-11-25T17:15:00Z,2021-11-25T17:30:00Z,1.33023,0,0.00136,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2021-12-27|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2021-12-27,down,wick,2021-12-27T09:15:00Z,2021-12-27T09:30:00Z,1.34435,0,0.00028,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|london|2022-01-10|60|IB60|OR30,GBPUSD,M15,london,Europe/London,2022-01-10,up,close,2022-01-10T09:00:00Z,2022-01-10T09:15:00Z,1.35795,0,0.00168,same_day_session_close_position_relative_to_ib
IBORSC|IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,IB_OR_SESSION_CLOSE_SPLIT,RELATION_P0,session_close_not_beyond_ib,IBORPOST|IBOROUT|IBORCROSS|IBORB|IBORFB|IBOR|GBPUSD|M15|new_york|2022-01-10|60|IB60|OR30,GBPUSD,M15,new_york,America/New_York,2022-01-10,down,close,2022-01-10T15:30:00Z,2022-01-10T17:45:00Z,1.35867,0,0.00322,same_day_session_close_position_relative_to_ib
