symbol,timeframe,bar_time,session_id,session_timezone,opening_range_window_minutes,opening_range_high,opening_range_low,opening_range_mid,opening_range_width,opening_range_width_pct_open,session_open_price,opening_range_defined,first_break_direction,width_error_day
EURUSD,M1,2026-05-31T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,1
EURUSD,M1,2026-06-01T07:30:00Z,london,Europe/London,30,1.16474,1.16434,1.16454,0.00040,0.0344,1.16437,1,up,0
EURUSD,M1,2026-06-01T14:00:00Z,new_york,America/New_York,30,1.16503,1.16461,1.16482,0.00042,0.0361,1.16486,1,down,0
EURUSD,M1,2026-06-02T07:30:00Z,london,Europe/London,30,1.16364,1.16341,1.16352,0.00023,0.0198,1.16341,1,up,0
EURUSD,M1,2026-06-02T14:00:00Z,new_york,America/New_York,30,1.16462,1.16417,1.16439,0.00045,0.0387,1.16426,1,up,0
EURUSD,M1,2026-06-03T07:30:00Z,london,Europe/London,30,1.16280,1.16247,1.16263,0.00033,0.0284,1.16275,1,down,0
EURUSD,M1,2026-06-03T14:00:00Z,new_york,America/New_York,30,1.16178,1.16145,1.16162,0.00033,0.0284,1.16154,1,up,0
EURUSD,M1,2026-06-04T07:30:00Z,london,Europe/London,30,1.16061,1.16039,1.16050,0.00022,0.0190,1.16061,1,up,0
EURUSD,M1,2026-06-04T14:00:00Z,new_york,America/New_York,30,1.16342,1.16277,1.16309,0.00065,0.0559,1.16287,1,up,0
EURUSD,M1,2026-06-05T07:30:00Z,london,Europe/London,30,1.16165,1.16137,1.16151,0.00028,0.0241,1.16148,1,up,0
EURUSD,M1,2026-06-05T14:00:00Z,new_york,America/New_York,30,1.16442,1.16388,1.16415,0.00054,0.0464,1.16422,1,down,0
EURUSD,M1,2026-06-06T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,1
EURUSD,M1,2026-06-07T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,1
EURUSD,M1,2026-06-08T07:30:00Z,london,Europe/London,30,1.15335,1.15300,1.15318,0.00035,0.0303,1.15323,1,up,0
EURUSD,M1,2026-06-08T14:00:00Z,new_york,America/New_York,30,1.15324,1.15156,1.15240,0.00168,0.1459,1.15175,1,up,0
EURUSD,M1,2026-06-09T07:30:00Z,london,Europe/London,30,1.15420,1.15369,1.15394,0.00051,0.0442,1.15380,1,up,0
EURUSD,M1,2026-06-09T14:00:00Z,new_york,America/New_York,30,1.15692,1.15648,1.15670,0.00044,0.0380,1.15653,1,up,0
EURUSD,M1,2026-06-10T07:30:00Z,london,Europe/London,30,1.15506,1.15467,1.15487,0.00039,0.0338,1.15502,1,down,0
EURUSD,M1,2026-06-10T14:00:00Z,new_york,America/New_York,30,1.15572,1.15503,1.15538,0.00069,0.0597,1.15559,1,down,0
EURUSD,M1,2026-06-11T07:30:00Z,london,Europe/London,30,1.15473,1.15425,1.15449,0.00048,0.0416,1.15452,1,up,0
EURUSD,M1,2026-06-11T14:00:00Z,new_york,America/New_York,30,1.15318,1.15248,1.15283,0.00070,0.0607,1.15253,1,up,0
EURUSD,M1,2026-06-12T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,1
