symbol,timeframe,bar_time,open,high,low,close
EURUSD,M1,2026-03-27T00:00:00Z,1.15253,1.15253,1.15231,1.15248
EURUSD,M1,2026-03-27T00:01:00Z,1.15248,1.15248,1.15248,1.15248
EURUSD,M1,2026-03-27T00:02:00Z,1.15248,1.15251,1.15248,1.15251
EURUSD,M1,2026-03-27T00:03:00Z,1.15251,1.1526,1.15251,1.1526
EURUSD,M1,2026-03-27T00:04:00Z,1.1526,1.15302,1.1526,1.15283
EURUSD,M1,2026-03-27T00:05:00Z,1.15283,1.15302,1.15272,1.15301
EURUSD,M1,2026-03-27T00:06:00Z,1.153,1.15306,1.15289,1.153
EURUSD,M1,2026-03-27T00:07:00Z,1.153,1.15303,1.15292,1.15294
EURUSD,M1,2026-03-27T00:08:00Z,1.15294,1.15306,1.1529,1.15294
EURUSD,M1,2026-03-27T00:09:00Z,1.15294,1.15294,1.15288,1.15293
EURUSD,M1,2026-03-27T00:10:00Z,1.15293,1.1531,1.15288,1.15309
EURUSD,M1,2026-03-27T00:11:00Z,1.15311,1.15317,1.15304,1.15304
EURUSD,M1,2026-03-27T00:12:00Z,1.15304,1.15321,1.15303,1.15319
EURUSD,M1,2026-03-27T00:13:00Z,1.15319,1.15321,1.15317,1.1532
EURUSD,M1,2026-03-27T00:14:00Z,1.1532,1.15321,1.15318,1.15321
EURUSD,M1,2026-03-27T00:15:00Z,1.15321,1.15327,1.15308,1.15324
EURUSD,M1,2026-03-27T00:16:00Z,1.15322,1.1532499999999999,1.15302,1.15303
EURUSD,M1,2026-03-27T00:17:00Z,1.15303,1.15304,1.15301,1.15301
EURUSD,M1,2026-03-27T00:18:00Z,1.15301,1.15309,1.15301,1.15301
EURUSD,M1,2026-03-27T00:19:00Z,1.15301,1.15303,1.15292,1.15293
EURUSD,M1,2026-03-27T00:20:00Z,1.15293,1.15294,1.1529,1.1529099999999999
EURUSD,M1,2026-03-27T00:21:00Z,1.1529099999999999,1.15292,1.1529,1.1529
EURUSD,M1,2026-03-27T00:22:00Z,1.1529,1.15294,1.15289,1.15294
EURUSD,M1,2026-03-27T00:23:00Z,1.15294,1.15298,1.1529099999999999,1.15298
EURUSD,M1,2026-03-27T00:24:00Z,1.15298,1.15306,1.15298,1.15304
EURUSD,M1,2026-03-27T00:25:00Z,1.15304,1.15306,1.15304,1.15306
EURUSD,M1,2026-03-27T00:26:00Z,1.15306,1.15311,1.15306,1.15311
EURUSD,M1,2026-03-27T00:27:00Z,1.15311,1.15314,1.15309,1.15314
EURUSD,M1,2026-03-27T00:28:00Z,1.15314,1.15314,1.15312,1.15312
EURUSD,M1,2026-03-27T00:29:00Z,1.15312,1.15312,1.1531,1.15311
EURUSD,M1,2026-03-27T00:30:00Z,1.15311,1.15312,1.1531,1.15311
EURUSD,M1,2026-03-27T00:31:00Z,1.15311,1.15313,1.15308,1.15308
EURUSD,M1,2026-03-27T00:32:00Z,1.15308,1.15313,1.15308,1.15313
EURUSD,M1,2026-03-27T00:33:00Z,1.15313,1.15318,1.15312,1.15318
EURUSD,M1,2026-03-27T00:34:00Z,1.15318,1.15322,1.15308,1.15322
EURUSD,M1,2026-03-27T00:35:00Z,1.15322,1.1532499999999999,1.15318,1.15318
EURUSD,M1,2026-03-27T00:36:00Z,1.15318,1.15328,1.15318,1.15328
EURUSD,M1,2026-03-27T00:37:00Z,1.15328,1.15339,1.15326,1.15338
