symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window,ib_defined
EURUSD,M5,london,Europe/London,2025-10-23,60,2025-10-23T07:00:00Z,2025-10-23T08:00:00Z,1.15994,1.15906,0.00088,1.15950,12,1
EURUSD,M5,london,Europe/London,2025-10-24,60,2025-10-24T07:00:00Z,2025-10-24T08:00:00Z,1.16092,1.16058,0.00034,1.16075,12,1
EURUSD,M5,london,Europe/London,2025-10-27,60,2025-10-27T08:00:00Z,2025-10-27T09:00:00Z,1.16272,1.16210,0.00062,1.16241,12,1
EURUSD,M5,london,Europe/London,2025-10-31,60,2025-10-31T08:00:00Z,2025-10-31T09:00:00Z,1.15721,1.15663,0.00058,1.15692,12,1
EURUSD,M5,london,Europe/London,2025-11-03,60,2025-11-03T08:00:00Z,2025-11-03T09:00:00Z,1.15414,1.15343,0.00071,1.15379,12,1
EURUSD,M5,new_york,America/New_York,2025-10-23,60,2025-10-23T13:30:00Z,2025-10-23T14:30:00Z,1.15938,1.15855,0.00083,1.15897,12,1
EURUSD,M5,new_york,America/New_York,2025-10-24,60,2025-10-24T13:30:00Z,2025-10-24T14:30:00Z,1.16168,1.16071,0.00097,1.16119,12,1
EURUSD,M5,new_york,America/New_York,2025-10-27,60,2025-10-27T13:30:00Z,2025-10-27T14:30:00Z,1.16454,1.16374,0.00080,1.16414,12,1
EURUSD,M5,new_york,America/New_York,2025-10-31,60,2025-10-31T13:30:00Z,2025-10-31T14:30:00Z,1.15743,1.15673,0.00070,1.15708,12,1
EURUSD,M5,new_york,America/New_York,2025-11-03,60,2025-11-03T14:30:00Z,2025-11-03T15:30:00Z,1.15224,1.15059,0.00165,1.15142,12,1
