symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window,ib_defined
GBPUSD,H1,london,Europe/London,2016-01-04,60,2016-01-04T08:00:00Z,2016-01-04T09:00:00Z,1.47719,1.47350,0.00369,1.47534,1,1
GBPUSD,H1,london,Europe/London,2016-01-05,60,2016-01-05T08:00:00Z,2016-01-05T09:00:00Z,1.47171,1.46766,0.00405,1.46969,1,1
GBPUSD,H1,london,Europe/London,2016-01-06,60,2016-01-06T08:00:00Z,2016-01-06T09:00:00Z,1.46446,1.46186,0.00260,1.46316,1,1
GBPUSD,H1,london,Europe/London,2016-01-07,60,2016-01-07T08:00:00Z,2016-01-07T09:00:00Z,1.46014,1.45596,0.00418,1.45805,1,1
GBPUSD,H1,london,Europe/London,2016-01-08,60,2016-01-08T08:00:00Z,2016-01-08T09:00:00Z,1.46270,1.46032,0.00238,1.46151,1,1
GBPUSD,H1,london,Europe/London,2016-01-11,60,2016-01-11T08:00:00Z,2016-01-11T09:00:00Z,1.45823,1.45304,0.00519,1.45564,1,1
GBPUSD,H1,london,Europe/London,2016-01-12,60,2016-01-12T08:00:00Z,2016-01-12T09:00:00Z,1.45368,1.45146,0.00222,1.45257,1,1
GBPUSD,H1,london,Europe/London,2016-01-13,60,2016-01-13T08:00:00Z,2016-01-13T09:00:00Z,1.44637,1.44181,0.00456,1.44409,1,1
GBPUSD,H1,london,Europe/London,2016-01-14,60,2016-01-14T08:00:00Z,2016-01-14T09:00:00Z,1.44227,1.43960,0.00267,1.44094,1,1
GBPUSD,H1,london,Europe/London,2016-01-15,60,2016-01-15T08:00:00Z,2016-01-15T09:00:00Z,1.43968,1.43531,0.00437,1.43750,1,1
GBPUSD,H1,london,Europe/London,2016-01-18,60,2016-01-18T08:00:00Z,2016-01-18T09:00:00Z,1.43227,1.42633,0.00594,1.42930,1,1
GBPUSD,H1,london,Europe/London,2016-01-19,60,2016-01-19T08:00:00Z,2016-01-19T09:00:00Z,1.43127,1.42815,0.00312,1.42971,1,1
GBPUSD,H1,london,Europe/London,2016-01-20,60,2016-01-20T08:00:00Z,2016-01-20T09:00:00Z,1.41715,1.41318,0.00397,1.41517,1,1
GBPUSD,H1,london,Europe/London,2016-01-21,60,2016-01-21T08:00:00Z,2016-01-21T09:00:00Z,1.41776,1.41543,0.00233,1.41660,1,1
GBPUSD,H1,london,Europe/London,2016-01-22,60,2016-01-22T08:00:00Z,2016-01-22T09:00:00Z,1.42640,1.42266,0.00374,1.42453,1,1
GBPUSD,H1,london,Europe/London,2016-01-25,60,2016-01-25T08:00:00Z,2016-01-25T09:00:00Z,1.42771,1.42493,0.00278,1.42632,1,1
GBPUSD,H1,london,Europe/London,2016-01-26,60,2016-01-26T08:00:00Z,2016-01-26T09:00:00Z,1.42230,1.41727,0.00503,1.41979,1,1
GBPUSD,H1,london,Europe/London,2016-01-27,60,2016-01-27T08:00:00Z,2016-01-27T09:00:00Z,1.43419,1.43084,0.00335,1.43251,1,1
GBPUSD,H1,london,Europe/London,2016-01-28,60,2016-01-28T08:00:00Z,2016-01-28T09:00:00Z,1.42815,1.42529,0.00286,1.42672,1,1
GBPUSD,H1,london,Europe/London,2016-01-29,60,2016-01-29T08:00:00Z,2016-01-29T09:00:00Z,1.43841,1.43514,0.00327,1.43677,1,1
