symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window,ib_defined
XAUUSD,M1,london,Europe/London,2026-04-07,60,2026-04-07T07:00:00Z,2026-04-07T08:00:00Z,4656.61500,4636.46500,20.15000,4646.54000,60,1
XAUUSD,M1,london,Europe/London,2026-04-08,60,2026-04-08T07:00:00Z,2026-04-08T08:00:00Z,4821.10500,4804.92500,16.18000,4813.01500,60,1
XAUUSD,M1,london,Europe/London,2026-04-09,60,2026-04-09T07:00:00Z,2026-04-09T08:00:00Z,4730.99500,4705.33500,25.66000,4718.16500,60,1
XAUUSD,M1,london,Europe/London,2026-04-10,60,2026-04-10T07:00:00Z,2026-04-10T08:00:00Z,4757.34500,4741.04500,16.30000,4749.19500,60,1
XAUUSD,M1,london,Europe/London,2026-04-13,60,2026-04-13T07:00:00Z,2026-04-13T08:00:00Z,4739.81500,4724.48500,15.33000,4732.15000,60,1
XAUUSD,M1,london,Europe/London,2026-04-14,60,2026-04-14T07:00:00Z,2026-04-14T08:00:00Z,4796.18500,4767.57500,28.61000,4781.88000,60,1
XAUUSD,M1,london,Europe/London,2026-04-15,60,2026-04-15T07:00:00Z,2026-04-15T08:00:00Z,4816.77500,4803.71500,13.06000,4810.24500,60,1
XAUUSD,M1,london,Europe/London,2026-04-16,60,2026-04-16T07:00:00Z,2026-04-16T08:00:00Z,4830.73500,4816.94500,13.79000,4823.84000,60,1
XAUUSD,M1,london,Europe/London,2026-04-17,60,2026-04-17T07:00:00Z,2026-04-17T08:00:00Z,4794.56500,4778.59800,15.96700,4786.58150,60,1
XAUUSD,M1,london,Europe/London,2026-04-20,60,2026-04-20T07:00:00Z,2026-04-20T08:00:00Z,4805.60500,4786.60500,19.00000,4796.10500,60,1
XAUUSD,M1,london,Europe/London,2026-04-21,60,2026-04-21T07:00:00Z,2026-04-21T08:00:00Z,4792.40500,4772.39500,20.01000,4782.40000,60,1
XAUUSD,M1,london,Europe/London,2026-04-22,60,2026-04-22T07:00:00Z,2026-04-22T08:00:00Z,4772.16500,4759.34500,12.82000,4765.75500,60,1
XAUUSD,M1,london,Europe/London,2026-04-23,60,2026-04-23T07:00:00Z,2026-04-23T08:00:00Z,4720.34500,4702.94500,17.40000,4711.64500,60,1
XAUUSD,M1,london,Europe/London,2026-04-24,60,2026-04-24T07:00:00Z,2026-04-24T08:00:00Z,4694.99500,4670.73500,24.26000,4682.86500,60,1
XAUUSD,M1,london,Europe/London,2026-04-27,60,2026-04-27T07:00:00Z,2026-04-27T08:00:00Z,4718.20500,4709.78500,8.42000,4713.99500,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-07,60,2026-04-07T13:30:00Z,2026-04-07T14:30:00Z,4663.20500,4607.33500,55.87000,4635.27000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-08,60,2026-04-08T13:30:00Z,2026-04-08T14:30:00Z,4794.39800,4760.99800,33.40000,4777.69800,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-09,60,2026-04-09T13:30:00Z,2026-04-09T14:30:00Z,4777.01500,4750.17500,26.84000,4763.59500,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-10,60,2026-04-10T13:30:00Z,2026-04-10T14:30:00Z,4792.74500,4764.61500,28.13000,4778.68000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-13,60,2026-04-13T13:30:00Z,2026-04-13T14:30:00Z,4744.31500,4709.12500,35.19000,4726.72000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-14,60,2026-04-14T13:30:00Z,2026-04-14T14:30:00Z,4810.42500,4779.77500,30.65000,4795.10000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-15,60,2026-04-15T13:30:00Z,2026-04-15T14:30:00Z,4830.43500,4815.58500,14.85000,4823.01000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-16,60,2026-04-16T13:30:00Z,2026-04-16T14:30:00Z,4823.57500,4784.74500,38.83000,4804.16000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-17,60,2026-04-17T13:30:00Z,2026-04-17T14:30:00Z,4885.14500,4848.17800,36.96700,4866.66150,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-20,60,2026-04-20T13:30:00Z,2026-04-20T14:30:00Z,4826.46500,4806.65500,19.81000,4816.56000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-21,60,2026-04-21T13:30:00Z,2026-04-21T14:30:00Z,4794.16500,4769.51500,24.65000,4781.84000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-22,60,2026-04-22T13:30:00Z,2026-04-22T14:30:00Z,4760.82500,4742.01500,18.81000,4751.42000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-23,60,2026-04-23T13:30:00Z,2026-04-23T14:30:00Z,4741.09500,4716.77500,24.32000,4728.93500,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-24,60,2026-04-24T13:30:00Z,2026-04-24T14:30:00Z,4739.99500,4689.54500,50.45000,4714.77000,60,1
XAUUSD,M1,new_york,America/New_York,2026-04-27,60,2026-04-27T13:30:00Z,2026-04-27T14:30:00Z,4702.47500,4686.06500,16.41000,4694.27000,60,1
