symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,ib_start_utc,ib_end_utc,ib_high,ib_low,ib_range,ib_mid,bars_in_ib_window,ib_defined
XAUUSD,M5,london,Europe/London,2025-06-12,60,2025-06-12T07:00:00Z,2025-06-12T08:00:00Z,3373.76000,3369.54000,4.22000,3371.65000,12,1
XAUUSD,M5,london,Europe/London,2025-06-13,60,2025-06-13T07:00:00Z,2025-06-13T08:00:00Z,3430.32000,3422.91000,7.41000,3426.61500,12,1
XAUUSD,M5,london,Europe/London,2025-06-16,60,2025-06-16T07:00:00Z,2025-06-16T08:00:00Z,3433.30000,3426.95000,6.35000,3430.12500,12,1
XAUUSD,M5,london,Europe/London,2025-06-17,60,2025-06-17T07:00:00Z,2025-06-17T08:00:00Z,3396.26000,3387.12000,9.14000,3391.69000,12,1
XAUUSD,M5,london,Europe/London,2025-06-18,60,2025-06-18T07:00:00Z,2025-06-18T08:00:00Z,3400.03000,3389.49000,10.54000,3394.76000,12,1
XAUUSD,M5,london,Europe/London,2025-06-19,60,2025-06-19T07:00:00Z,2025-06-19T08:00:00Z,3375.21000,3372.11000,3.10000,3373.66000,12,1
XAUUSD,M5,london,Europe/London,2025-06-20,60,2025-06-20T07:00:00Z,2025-06-20T08:00:00Z,3357.88000,3352.56000,5.32000,3355.22000,12,1
XAUUSD,M5,london,Europe/London,2025-06-23,60,2025-06-23T07:00:00Z,2025-06-23T08:00:00Z,3365.01000,3356.86000,8.15000,3360.93500,12,1
XAUUSD,M5,london,Europe/London,2025-06-24,60,2025-06-24T07:00:00Z,2025-06-24T08:00:00Z,3353.36000,3347.08000,6.28000,3350.22000,12,1
XAUUSD,M5,london,Europe/London,2025-06-25,60,2025-06-25T07:00:00Z,2025-06-25T08:00:00Z,3329.28000,3325.80000,3.48000,3327.54000,12,1
XAUUSD,M5,london,Europe/London,2025-06-26,60,2025-06-26T07:00:00Z,2025-06-26T08:00:00Z,3338.15000,3333.42000,4.73000,3335.78500,12,1
XAUUSD,M5,london,Europe/London,2025-06-27,60,2025-06-27T07:00:00Z,2025-06-27T08:00:00Z,3297.57000,3291.18000,6.39000,3294.37500,12,1
XAUUSD,M5,london,Europe/London,2025-06-30,60,2025-06-30T07:00:00Z,2025-06-30T08:00:00Z,3286.37000,3277.03000,9.34000,3281.70000,12,1
XAUUSD,M5,london,Europe/London,2025-07-01,60,2025-07-01T07:00:00Z,2025-07-01T08:00:00Z,3323.09000,3318.96000,4.13000,3321.02500,12,1
XAUUSD,M5,london,Europe/London,2025-07-02,60,2025-07-02T07:00:00Z,2025-07-02T08:00:00Z,3341.98000,3339.58000,2.40000,3340.78000,12,1
XAUUSD,M5,london,Europe/London,2025-07-03,60,2025-07-03T07:00:00Z,2025-07-03T08:00:00Z,3351.74000,3347.45000,4.29000,3349.59500,12,1
XAUUSD,M5,london,Europe/London,2025-07-04,60,2025-07-04T07:00:00Z,2025-07-04T08:00:00Z,3342.24000,3338.00000,4.24000,3340.12000,12,1
XAUUSD,M5,london,Europe/London,2025-07-07,60,2025-07-07T07:00:00Z,2025-07-07T08:00:00Z,3312.33000,3305.34000,6.99000,3308.83500,12,1
XAUUSD,M5,london,Europe/London,2025-07-08,60,2025-07-08T07:00:00Z,2025-07-08T08:00:00Z,3332.78000,3327.45000,5.33000,3330.11500,12,1
XAUUSD,M5,london,Europe/London,2025-07-09,60,2025-07-09T07:00:00Z,2025-07-09T08:00:00Z,3296.41000,3291.22000,5.19000,3293.81500,12,1
XAUUSD,M5,london,Europe/London,2025-07-10,60,2025-07-10T07:00:00Z,2025-07-10T08:00:00Z,3322.54000,3314.85000,7.69000,3318.69500,12,1
XAUUSD,M5,london,Europe/London,2025-07-11,60,2025-07-11T07:00:00Z,2025-07-11T08:00:00Z,3335.39000,3329.77000,5.62000,3332.58000,12,1
XAUUSD,M5,london,Europe/London,2025-07-14,60,2025-07-14T07:00:00Z,2025-07-14T08:00:00Z,3361.68000,3353.80000,7.88000,3357.74000,12,1
XAUUSD,M5,london,Europe/London,2025-07-15,60,2025-07-15T07:00:00Z,2025-07-15T08:00:00Z,3361.38000,3357.64000,3.74000,3359.51000,12,1
XAUUSD,M5,london,Europe/London,2025-07-16,60,2025-07-16T07:00:00Z,2025-07-16T08:00:00Z,3338.71000,3332.85000,5.86000,3335.78000,12,1
XAUUSD,M5,london,Europe/London,2025-07-17,60,2025-07-17T07:00:00Z,2025-07-17T08:00:00Z,3344.78000,3338.39000,6.39000,3341.58500,12,1
XAUUSD,M5,london,Europe/London,2025-07-18,60,2025-07-18T07:00:00Z,2025-07-18T08:00:00Z,3337.16000,3333.87000,3.29000,3335.51500,12,1
XAUUSD,M5,london,Europe/London,2025-07-21,60,2025-07-21T07:00:00Z,2025-07-21T08:00:00Z,3358.71000,3350.69000,8.02000,3354.70000,12,1
XAUUSD,M5,london,Europe/London,2025-07-22,60,2025-07-22T07:00:00Z,2025-07-22T08:00:00Z,3392.68000,3388.10000,4.58000,3390.39000,12,1
XAUUSD,M5,london,Europe/London,2025-07-23,60,2025-07-23T07:00:00Z,2025-07-23T08:00:00Z,3425.30000,3422.03000,3.27000,3423.66500,12,1
XAUUSD,M5,london,Europe/London,2025-07-24,60,2025-07-24T07:00:00Z,2025-07-24T08:00:00Z,3385.37000,3381.07000,4.30000,3383.22000,12,1
