symbol,timeframe,bar_time,session_id,session_timezone,opening_range_window_minutes,opening_range_high,opening_range_low,opening_range_mid,opening_range_width,opening_range_width_pct_open,session_open_price,opening_range_defined,first_break_direction,first_break_mode,width_error_day
EURUSD,M5,2026-03-06T08:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-09T08:30:00Z,london,Europe/London,30,1.15607,1.15238,1.15422,0.00369,0.3201,1.15259,1,up,wick,0
EURUSD,M5,2026-03-10T08:30:00Z,london,Europe/London,30,1.16200,1.16115,1.16158,0.00085,0.0732,1.16117,1,up,wick,0
EURUSD,M5,2026-03-11T08:30:00Z,london,Europe/London,30,1.16361,1.16301,1.16331,0.00060,0.0516,1.16336,1,up,wick,0
EURUSD,M5,2026-03-12T08:30:00Z,london,Europe/London,30,1.15438,1.15326,1.15382,0.00112,0.0971,1.15330,1,up,close,0
EURUSD,M5,2026-03-13T08:30:00Z,london,Europe/London,30,1.15046,1.15008,1.15027,0.00038,0.0330,1.15033,1,up,close,0
EURUSD,M5,2026-03-16T08:30:00Z,london,Europe/London,30,1.14434,1.14393,1.14413,0.00041,0.0358,1.14415,1,down,close,0
EURUSD,M5,2026-03-17T08:30:00Z,london,Europe/London,30,1.14992,1.14939,1.14966,0.00053,0.0461,1.14970,1,down,close,0
EURUSD,M5,2026-03-18T08:30:00Z,london,Europe/London,30,1.15439,1.15401,1.15420,0.00038,0.0329,1.15416,1,up,close,0
EURUSD,M5,2026-03-19T08:30:00Z,london,Europe/London,30,1.14710,1.14675,1.14692,0.00035,0.0305,1.14689,1,down,wick,0
EURUSD,M5,2026-03-20T08:30:00Z,london,Europe/London,30,1.15612,1.15552,1.15582,0.00060,0.0519,1.15556,1,down,close,0
EURUSD,M5,2026-03-23T08:30:00Z,london,Europe/London,30,1.15525,1.15392,1.15458,0.00133,0.1151,1.15505,1,down,close,0
EURUSD,M5,2026-03-24T08:30:00Z,london,Europe/London,30,1.15847,1.15757,1.15802,0.00090,0.0777,1.15801,1,up,close,0
EURUSD,M5,2026-03-25T08:30:00Z,london,Europe/London,30,1.15979,1.15923,1.15951,0.00056,0.0483,1.15978,1,up,wick,0
EURUSD,M5,2026-03-26T08:30:00Z,london,Europe/London,30,1.15698,1.15616,1.15657,0.00082,0.0709,1.15693,1,down,close,0
EURUSD,M5,2026-03-27T08:30:00Z,london,Europe/London,30,1.15457,1.15403,1.15430,0.00054,0.0468,1.15428,1,down,close,0
EURUSD,M5,2026-03-30T07:30:00Z,london,Europe/London,30,1.15212,1.15149,1.15180,0.00063,0.0547,1.15158,1,down,close,0
EURUSD,M5,2026-03-31T07:30:00Z,london,Europe/London,30,1.14722,1.14696,1.14709,0.00026,0.0227,1.14698,1,up,wick,0
EURUSD,M5,2026-04-01T07:30:00Z,london,Europe/London,30,1.15629,1.15595,1.15612,0.00034,0.0294,1.15608,1,up,wick,0
EURUSD,M5,2026-04-02T07:30:00Z,london,Europe/London,30,1.15419,1.15349,1.15384,0.00070,0.0607,1.15399,1,down,close,0
EURUSD,M5,2026-04-03T07:30:00Z,london,Europe/London,30,1.15364,1.15344,1.15354,0.00020,0.0173,1.15363,1,down,wick,0
EURUSD,M5,2026-04-04T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-06T07:30:00Z,london,Europe/London,30,1.15213,1.15185,1.15199,0.00028,0.0243,1.15190,1,up,close,0
EURUSD,M5,2026-04-07T07:30:00Z,london,Europe/London,30,1.15360,1.15330,1.15345,0.00030,0.0260,1.15344,1,up,wick,0
EURUSD,M5,2026-04-08T07:30:00Z,london,Europe/London,30,1.16811,1.16708,1.16759,0.00103,0.0883,1.16708,1,up,close,0
EURUSD,M5,2026-04-09T07:30:00Z,london,Europe/London,30,1.16699,1.16620,1.16660,0.00079,0.0677,1.16623,1,up,close,0
EURUSD,M5,2026-04-10T07:30:00Z,london,Europe/London,30,1.16966,1.16931,1.16948,0.00035,0.0299,1.16957,1,down,close,0
EURUSD,M5,2026-04-11T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-13T07:30:00Z,london,Europe/London,30,1.16902,1.16870,1.16886,0.00032,0.0274,1.16881,1,down,close,0
EURUSD,M5,2026-04-14T07:30:00Z,london,Europe/London,30,1.17693,1.17646,1.17670,0.00047,0.0399,1.17668,1,up,close,0
EURUSD,M5,2026-04-15T07:30:00Z,london,Europe/London,30,1.17892,1.17863,1.17877,0.00029,0.0246,1.17872,1,up,wick,0
EURUSD,M5,2026-04-16T07:30:00Z,london,Europe/London,30,1.18131,1.18103,1.18117,0.00028,0.0237,1.18129,1,down,wick,0
EURUSD,M5,2026-04-17T07:30:00Z,london,Europe/London,30,1.17842,1.17816,1.17829,0.00026,0.0221,1.17833,1,down,wick,0
EURUSD,M5,2026-04-18T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-20T07:30:00Z,london,Europe/London,30,1.17620,1.17571,1.17596,0.00049,0.0417,1.17602,1,down,wick,0
EURUSD,M5,2026-04-21T07:30:00Z,london,Europe/London,30,1.17765,1.17741,1.17753,0.00024,0.0204,1.17756,1,up,wick,0
EURUSD,M5,2026-04-22T07:30:00Z,london,Europe/London,30,1.17409,1.17383,1.17396,0.00026,0.0221,1.17384,1,up,close,0
EURUSD,M5,2026-04-23T07:30:00Z,london,Europe/London,30,1.16997,1.16952,1.16974,0.00045,0.0385,1.16956,1,up,wick,0
EURUSD,M5,2026-04-24T07:30:00Z,london,Europe/London,30,1.16803,1.16765,1.16784,0.00038,0.0325,1.16779,1,up,close,0
EURUSD,M5,2026-04-25T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-27T07:30:00Z,london,Europe/London,30,1.17306,1.17280,1.17293,0.00026,0.0222,1.17294,1,up,wick,0
EURUSD,M5,2026-04-28T07:30:00Z,london,Europe/London,30,1.17145,1.17117,1.17131,0.00028,0.0239,1.17134,1,up,close,0
EURUSD,M5,2026-04-29T07:30:00Z,london,Europe/London,30,1.17075,1.17050,1.17063,0.00025,0.0214,1.17060,1,up,wick,0
EURUSD,M5,2026-04-30T07:30:00Z,london,Europe/London,30,1.16660,1.16575,1.16617,0.00085,0.0729,1.16658,1,down,close,0
EURUSD,M5,2026-05-01T07:30:00Z,london,Europe/London,30,1.17324,1.17263,1.17294,0.00061,0.0520,1.17312,1,down,wick,0
EURUSD,M5,2026-05-02T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-05-04T07:30:00Z,london,Europe/London,30,1.17383,1.17292,1.17338,0.00091,0.0775,1.17375,1,down,close,0
EURUSD,M5,2026-05-05T07:30:00Z,london,Europe/London,30,1.16867,1.16836,1.16852,0.00031,0.0265,1.16839,1,up,wick,0
EURUSD,M5,2026-05-06T07:30:00Z,london,Europe/London,30,1.17284,1.17163,1.17224,0.00121,0.1033,1.17177,1,up,close,0
EURUSD,M5,2026-05-07T07:30:00Z,london,Europe/London,30,1.17530,1.17478,1.17504,0.00052,0.0443,1.17488,1,up,wick,0
EURUSD,M5,2026-05-08T07:30:00Z,london,Europe/London,30,1.17307,1.17270,1.17288,0.00037,0.0315,1.17285,1,up,close,0
EURUSD,M5,2026-05-09T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-05-11T07:30:00Z,london,Europe/London,30,1.17574,1.17544,1.17559,0.00030,0.0255,1.17566,1,down,wick,0
EURUSD,M5,2026-05-12T07:30:00Z,london,Europe/London,30,1.17578,1.17554,1.17566,0.00024,0.0204,1.17564,1,up,close,0
EURUSD,M5,2026-05-13T07:30:00Z,london,Europe/London,30,1.17353,1.17336,1.17345,0.00017,0.0145,1.17344,1,down,close,0
EURUSD,M5,2026-05-14T07:30:00Z,london,Europe/London,30,1.17163,1.17116,1.17139,0.00047,0.0401,1.17123,1,up,close,0
EURUSD,M5,2026-05-15T07:30:00Z,london,Europe/London,30,1.16527,1.16506,1.16517,0.00021,0.0180,1.16520,1,down,wick,0
EURUSD,M5,2026-05-16T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-05-18T07:30:00Z,london,Europe/London,30,1.16262,1.16208,1.16235,0.00054,0.0465,1.16219,1,down,close,0
EURUSD,M5,2026-05-19T07:30:00Z,london,Europe/London,30,1.16431,1.16404,1.16417,0.00027,0.0232,1.16414,1,down,wick,0
EURUSD,M5,2026-05-20T07:30:00Z,london,Europe/London,30,1.16067,1.16021,1.16044,0.00046,0.0396,1.16022,1,down,close,0
EURUSD,M5,2026-05-21T07:30:00Z,london,Europe/London,30,1.16217,1.16183,1.16200,0.00034,0.0293,1.16189,1,up,close,0
EURUSD,M5,2026-05-22T07:30:00Z,london,Europe/London,30,1.16150,1.16113,1.16132,0.00037,0.0319,1.16120,1,up,wick,0
EURUSD,M5,2026-05-23T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-05-25T07:30:00Z,london,Europe/London,30,1.16376,1.16356,1.16366,0.00020,0.0172,1.16373,1,up,close,0
EURUSD,M5,2026-05-26T07:30:00Z,london,Europe/London,30,1.16361,1.16332,1.16346,0.00029,0.0249,1.16360,1,down,wick,0
EURUSD,M5,2026-05-27T07:30:00Z,london,Europe/London,30,1.16409,1.16383,1.16396,0.00026,0.0223,1.16387,1,up,close,0
EURUSD,M5,2026-05-28T07:30:00Z,london,Europe/London,30,1.15918,1.15862,1.15890,0.00056,0.0483,1.15871,1,up,close,0
EURUSD,M5,2026-05-29T07:30:00Z,london,Europe/London,30,1.16393,1.16354,1.16373,0.00039,0.0335,1.16372,1,down,close,0
EURUSD,M5,2026-05-30T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-06-01T07:30:00Z,london,Europe/London,30,1.16474,1.16434,1.16454,0.00040,0.0344,1.16437,1,up,close,0
EURUSD,M5,2026-06-02T07:30:00Z,london,Europe/London,30,1.16364,1.16341,1.16352,0.00023,0.0198,1.16341,1,up,close,0
EURUSD,M5,2026-06-03T07:30:00Z,london,Europe/London,30,1.16280,1.16247,1.16263,0.00033,0.0284,1.16275,1,down,wick,0
EURUSD,M5,2026-06-04T07:30:00Z,london,Europe/London,30,1.16061,1.16039,1.16050,0.00022,0.0190,1.16061,1,up,close,0
EURUSD,M5,2026-06-05T07:30:00Z,london,Europe/London,30,1.16165,1.16137,1.16151,0.00028,0.0241,1.16148,1,up,wick,0
EURUSD,M5,2026-06-06T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-06-08T07:30:00Z,london,Europe/London,30,1.15335,1.15300,1.15318,0.00035,0.0303,1.15323,1,up,wick,0
EURUSD,M5,2026-06-09T07:30:00Z,london,Europe/London,30,1.15420,1.15369,1.15394,0.00051,0.0442,1.15380,1,up,close,0
EURUSD,M5,2026-06-10T07:30:00Z,london,Europe/London,30,1.15506,1.15467,1.15487,0.00039,0.0338,1.15502,1,down,close,0
EURUSD,M5,2026-06-11T07:30:00Z,london,Europe/London,30,1.15473,1.15425,1.15449,0.00048,0.0416,1.15452,1,up,wick,0
EURUSD,M5,2026-06-12T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-06T15:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-08T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-09T14:00:00Z,new_york,America/New_York,30,1.15649,1.15514,1.15582,0.00135,0.1168,1.15589,1,up,close,0
EURUSD,M5,2026-03-10T14:00:00Z,new_york,America/New_York,30,1.16448,1.16203,1.16325,0.00245,0.2104,1.16447,1,up,close,0
EURUSD,M5,2026-03-11T14:00:00Z,new_york,America/New_York,30,1.16116,1.16022,1.16069,0.00094,0.0810,1.16038,1,down,wick,0
EURUSD,M5,2026-03-12T14:00:00Z,new_york,America/New_York,30,1.15582,1.15491,1.15537,0.00091,0.0788,1.15492,1,up,wick,0
EURUSD,M5,2026-03-13T14:00:00Z,new_york,America/New_York,30,1.14720,1.14518,1.14619,0.00202,0.1763,1.14552,1,up,wick,0
EURUSD,M5,2026-03-15T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-16T14:00:00Z,new_york,America/New_York,30,1.14773,1.14676,1.14724,0.00097,0.0845,1.14753,1,up,wick,0
EURUSD,M5,2026-03-17T14:00:00Z,new_york,America/New_York,30,1.15126,1.15054,1.15090,0.00072,0.0625,1.15109,1,down,wick,0
EURUSD,M5,2026-03-18T14:00:00Z,new_york,America/New_York,30,1.15424,1.15338,1.15381,0.00086,0.0745,1.15367,1,up,close,0
EURUSD,M5,2026-03-19T14:00:00Z,new_york,America/New_York,30,1.14779,1.14667,1.14723,0.00112,0.0977,1.14695,1,up,close,0
EURUSD,M5,2026-03-20T14:00:00Z,new_york,America/New_York,30,1.15625,1.15434,1.15529,0.00191,0.1654,1.15446,1,up,wick,0
EURUSD,M5,2026-03-22T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-23T14:00:00Z,new_york,America/New_York,30,1.15013,1.14844,1.14928,0.00169,0.1471,1.14879,1,up,close,0
EURUSD,M5,2026-03-24T14:00:00Z,new_york,America/New_York,30,1.15923,1.15832,1.15877,0.00091,0.0785,1.15888,1,up,wick,0
EURUSD,M5,2026-03-25T14:00:00Z,new_york,America/New_York,30,1.16054,1.15959,1.16006,0.00095,0.0819,1.15972,1,up,close,0
EURUSD,M5,2026-03-26T14:00:00Z,new_york,America/New_York,30,1.15637,1.15546,1.15591,0.00091,0.0787,1.15616,1,down,close,0
EURUSD,M5,2026-03-27T14:00:00Z,new_york,America/New_York,30,1.15257,1.15101,1.15179,0.00156,0.1354,1.15251,1,down,wick,0
EURUSD,M5,2026-03-29T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-03-30T14:00:00Z,new_york,America/New_York,30,1.14951,1.14880,1.14915,0.00071,0.0618,1.14919,1,down,wick,0
EURUSD,M5,2026-03-31T14:00:00Z,new_york,America/New_York,30,1.14683,1.14580,1.14631,0.00103,0.0898,1.14672,1,down,wick,0
EURUSD,M5,2026-04-01T14:00:00Z,new_york,America/New_York,30,1.16036,1.15954,1.15995,0.00082,0.0707,1.15965,1,up,wick,0
EURUSD,M5,2026-04-02T14:00:00Z,new_york,America/New_York,30,1.15204,1.15111,1.15158,0.00093,0.0807,1.15194,1,down,wick,0
EURUSD,M5,2026-04-03T14:00:00Z,new_york,America/New_York,30,1.15490,1.15419,1.15455,0.00071,0.0615,1.15446,1,down,close,0
EURUSD,M5,2026-04-05T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-06T14:00:00Z,new_york,America/New_York,30,1.15516,1.15376,1.15446,0.00140,0.1212,1.15479,1,up,close,0
EURUSD,M5,2026-04-07T14:00:00Z,new_york,America/New_York,30,1.15587,1.15464,1.15525,0.00123,0.1064,1.15552,1,up,wick,0
EURUSD,M5,2026-04-08T14:00:00Z,new_york,America/New_York,30,1.16924,1.16844,1.16884,0.00080,0.0685,1.16858,1,up,close,0
EURUSD,M5,2026-04-09T14:00:00Z,new_york,America/New_York,30,1.16776,1.16711,1.16744,0.00065,0.0557,1.16775,1,down,wick,0
EURUSD,M5,2026-04-10T14:00:00Z,new_york,America/New_York,30,1.17158,1.17103,1.17131,0.00055,0.0470,1.17119,1,up,close,0
EURUSD,M5,2026-04-12T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
EURUSD,M5,2026-04-13T14:00:00Z,new_york,America/New_York,30,1.16951,1.16841,1.16896,0.00110,0.0941,1.16857,1,up,close,0
EURUSD,M5,2026-04-14T14:00:00Z,new_york,America/New_York,30,1.17982,1.17916,1.17949,0.00066,0.0560,1.17928,1,up,wick,0
EURUSD,M5,2026-04-15T14:00:00Z,new_york,America/New_York,30,1.17835,1.17720,1.17778,0.00115,0.0977,1.17755,1,up,wick,0
EURUSD,M5,2026-04-16T14:00:00Z,new_york,America/New_York,30,1.17802,1.17725,1.17763,0.00077,0.0654,1.17732,1,up,close,0
EURUSD,M5,2026-04-17T14:00:00Z,new_york,America/New_York,30,1.17959,1.17919,1.17939,0.00040,0.0339,1.17940,1,up,close,0
