symbol,timeframe,bar_time,session_id,session_timezone,opening_range_window_minutes,opening_range_high,opening_range_low,opening_range_mid,opening_range_width,opening_range_width_pct_open,session_open_price,opening_range_defined,first_break_direction,first_break_mode,width_error_day
GBPUSD,M15,2021-06-15T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-06-16T07:30:00Z,london,Europe/London,30,1.40866,1.40811,1.40838,0.00055,0.0391,1.40815,1,up,close,0
GBPUSD,M15,2021-06-17T07:30:00Z,london,Europe/London,30,1.39959,1.39907,1.39933,0.00052,0.0372,1.39911,1,up,close,0
GBPUSD,M15,2021-06-18T07:30:00Z,london,Europe/London,30,1.39273,1.39211,1.39242,0.00062,0.0445,1.39259,1,down,close,0
GBPUSD,M15,2021-06-19T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-06-21T07:30:00Z,london,Europe/London,30,1.38023,1.37920,1.37972,0.00103,0.0747,1.37939,1,down,wick,0
GBPUSD,M15,2021-06-22T07:30:00Z,london,Europe/London,30,1.39167,1.39112,1.39139,0.00055,0.0395,1.39128,1,down,close,0
GBPUSD,M15,2021-06-23T07:30:00Z,london,Europe/London,30,1.39307,1.39269,1.39288,0.00038,0.0273,1.39299,1,up,wick,0
GBPUSD,M15,2021-06-24T07:30:00Z,london,Europe/London,30,1.39597,1.39542,1.39569,0.00055,0.0394,1.39545,1,up,close,0
GBPUSD,M15,2021-06-25T07:30:00Z,london,Europe/London,30,1.39296,1.39243,1.39270,0.00053,0.0381,1.39284,1,down,close,0
GBPUSD,M15,2021-06-26T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-06-28T07:30:00Z,london,Europe/London,30,1.38904,1.38852,1.38878,0.00052,0.0374,1.38853,1,up,wick,0
GBPUSD,M15,2021-06-29T07:30:00Z,london,Europe/London,30,1.38667,1.38630,1.38648,0.00037,0.0267,1.38649,1,up,close,0
GBPUSD,M15,2021-06-30T07:30:00Z,london,Europe/London,30,1.38553,1.38507,1.38530,0.00046,0.0332,1.38517,1,none,ambiguous,0
GBPUSD,M15,2021-07-01T07:30:00Z,london,Europe/London,30,1.38213,1.38176,1.38194,0.00037,0.0268,1.38181,1,down,wick,0
GBPUSD,M15,2021-07-02T07:30:00Z,london,Europe/London,30,1.37758,1.37670,1.37714,0.00088,0.0639,1.37671,1,down,close,0
GBPUSD,M15,2021-07-03T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-07-05T07:30:00Z,london,Europe/London,30,1.38222,1.38179,1.38200,0.00043,0.0311,1.38210,1,up,close,0
GBPUSD,M15,2021-07-06T07:30:00Z,london,Europe/London,30,1.38851,1.38814,1.38833,0.00037,0.0267,1.38833,1,none,ambiguous,0
GBPUSD,M15,2021-07-07T07:30:00Z,london,Europe/London,30,1.38043,1.37991,1.38017,0.00052,0.0377,1.38005,1,none,ambiguous,0
GBPUSD,M15,2021-07-08T07:30:00Z,london,Europe/London,30,1.37864,1.37809,1.37837,0.00055,0.0399,1.37824,1,down,wick,0
GBPUSD,M15,2021-07-09T07:30:00Z,london,Europe/London,30,1.37807,1.37712,1.37759,0.00095,0.0689,1.37793,1,up,wick,0
GBPUSD,M15,2021-07-10T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-07-12T07:30:00Z,london,Europe/London,30,1.38861,1.38824,1.38842,0.00037,0.0266,1.38861,1,up,close,0
GBPUSD,M15,2021-07-13T07:30:00Z,london,Europe/London,30,1.38983,1.38935,1.38959,0.00048,0.0345,1.38977,1,down,close,0
GBPUSD,M15,2021-07-14T07:30:00Z,london,Europe/London,30,1.38208,1.38149,1.38179,0.00059,0.0427,1.38186,1,down,wick,0
GBPUSD,M15,2021-07-15T07:30:00Z,london,Europe/London,30,1.38378,1.38320,1.38349,0.00058,0.0419,1.38331,1,up,close,0
GBPUSD,M15,2021-07-16T07:30:00Z,london,Europe/London,30,1.38397,1.38358,1.38377,0.00039,0.0282,1.38382,1,down,close,0
GBPUSD,M15,2021-07-17T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-07-19T07:30:00Z,london,Europe/London,30,1.37606,1.37554,1.37580,0.00052,0.0378,1.37554,1,down,close,0
GBPUSD,M15,2021-07-20T07:30:00Z,london,Europe/London,30,1.36711,1.36607,1.36659,0.00104,0.0761,1.36702,1,up,wick,0
GBPUSD,M15,2021-07-21T07:30:00Z,london,Europe/London,30,1.36190,1.36146,1.36168,0.00044,0.0323,1.36178,1,down,wick,0
GBPUSD,M15,2021-07-22T07:30:00Z,london,Europe/London,30,1.37153,1.37084,1.37119,0.00069,0.0503,1.37084,1,up,close,0
GBPUSD,M15,2021-07-23T07:30:00Z,london,Europe/London,30,1.37607,1.37556,1.37581,0.00051,0.0371,1.37604,1,none,ambiguous,0
GBPUSD,M15,2021-07-24T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-07-26T07:30:00Z,london,Europe/London,30,1.37486,1.37462,1.37474,0.00024,0.0175,1.37474,1,up,close,0
GBPUSD,M15,2021-07-27T07:30:00Z,london,Europe/London,30,1.38286,1.38238,1.38262,0.00048,0.0347,1.38274,1,down,wick,0
GBPUSD,M15,2021-07-28T07:30:00Z,london,Europe/London,30,1.38759,1.38719,1.38739,0.00040,0.0288,1.38738,1,down,close,0
GBPUSD,M15,2021-07-29T07:30:00Z,london,Europe/London,30,1.39285,1.39241,1.39263,0.00044,0.0316,1.39265,1,up,wick,0
GBPUSD,M15,2021-07-30T07:30:00Z,london,Europe/London,30,1.39475,1.39418,1.39446,0.00057,0.0409,1.39418,1,up,close,0
GBPUSD,M15,2021-07-31T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-08-02T07:30:00Z,london,Europe/London,30,1.39027,1.38979,1.39003,0.00048,0.0345,1.38980,1,down,wick,0
GBPUSD,M15,2021-08-03T07:30:00Z,london,Europe/London,30,1.38980,1.38920,1.38950,0.00060,0.0432,1.38923,1,up,wick,0
GBPUSD,M15,2021-08-04T07:30:00Z,london,Europe/London,30,1.39278,1.39206,1.39242,0.00072,0.0517,1.39244,1,up,close,0
GBPUSD,M15,2021-08-05T07:30:00Z,london,Europe/London,30,1.38926,1.38896,1.38911,0.00030,0.0216,1.38901,1,up,close,0
GBPUSD,M15,2021-08-06T07:30:00Z,london,Europe/London,30,1.39204,1.39173,1.39188,0.00031,0.0223,1.39204,1,down,wick,0
GBPUSD,M15,2021-08-07T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-08-09T07:30:00Z,london,Europe/London,30,1.38687,1.38667,1.38677,0.00020,0.0144,1.38679,1,up,close,0
GBPUSD,M15,2021-08-10T07:30:00Z,london,Europe/London,30,1.38488,1.38459,1.38474,0.00029,0.0209,1.38468,1,down,close,0
GBPUSD,M15,2021-08-11T07:30:00Z,london,Europe/London,30,1.38309,1.38267,1.38288,0.00042,0.0304,1.38278,1,up,close,0
GBPUSD,M15,2021-08-12T07:30:00Z,london,Europe/London,30,1.38743,1.38722,1.38732,0.00021,0.0151,1.38736,1,down,close,0
GBPUSD,M15,2021-08-13T07:30:00Z,london,Europe/London,30,1.38150,1.38130,1.38140,0.00020,0.0145,1.38132,1,down,wick,0
GBPUSD,M15,2021-08-14T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-08-16T07:30:00Z,london,Europe/London,30,1.38556,1.38522,1.38539,0.00034,0.0245,1.38522,1,up,wick,0
GBPUSD,M15,2021-08-17T07:30:00Z,london,Europe/London,30,1.38185,1.38139,1.38162,0.00046,0.0333,1.38147,1,up,wick,0
GBPUSD,M15,2021-08-18T07:30:00Z,london,Europe/London,30,1.37539,1.37485,1.37512,0.00054,0.0393,1.37530,1,down,close,0
GBPUSD,M15,2021-08-19T07:30:00Z,london,Europe/London,30,1.37224,1.37193,1.37208,0.00031,0.0226,1.37194,1,down,close,0
GBPUSD,M15,2021-08-20T07:30:00Z,london,Europe/London,30,1.36345,1.36291,1.36318,0.00054,0.0396,1.36293,1,down,close,0
GBPUSD,M15,2021-08-21T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-08-23T07:30:00Z,london,Europe/London,30,1.36483,1.36444,1.36464,0.00039,0.0286,1.36474,1,down,wick,0
GBPUSD,M15,2021-08-24T07:30:00Z,london,Europe/London,30,1.37202,1.37161,1.37182,0.00041,0.0299,1.37161,1,up,close,0
GBPUSD,M15,2021-08-25T07:30:00Z,london,Europe/London,30,1.37198,1.37157,1.37177,0.00041,0.0299,1.37181,1,none,ambiguous,0
GBPUSD,M15,2021-08-26T07:30:00Z,london,Europe/London,30,1.37574,1.37503,1.37539,0.00071,0.0516,1.37514,1,up,close,0
GBPUSD,M15,2021-08-27T07:30:00Z,london,Europe/London,30,1.36988,1.36946,1.36967,0.00042,0.0307,1.36962,1,up,close,0
GBPUSD,M15,2021-08-28T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-08-30T07:30:00Z,london,Europe/London,30,1.37702,1.37650,1.37676,0.00052,0.0378,1.37686,1,up,wick,0
GBPUSD,M15,2021-08-31T07:30:00Z,london,Europe/London,30,1.37814,1.37738,1.37776,0.00076,0.0552,1.37756,1,up,close,0
GBPUSD,M15,2021-09-01T07:30:00Z,london,Europe/London,30,1.37379,1.37353,1.37366,0.00026,0.0189,1.37369,1,up,wick,0
GBPUSD,M15,2021-09-02T07:30:00Z,london,Europe/London,30,1.37750,1.37720,1.37735,0.00030,0.0218,1.37731,1,down,wick,0
GBPUSD,M15,2021-09-03T07:30:00Z,london,Europe/London,30,1.38358,1.38332,1.38345,0.00026,0.0188,1.38341,1,down,close,0
GBPUSD,M15,2021-09-04T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-09-06T07:30:00Z,london,Europe/London,30,1.38518,1.38474,1.38496,0.00044,0.0318,1.38515,1,down,close,0
GBPUSD,M15,2021-09-07T07:30:00Z,london,Europe/London,30,1.38478,1.38450,1.38464,0.00028,0.0202,1.38466,1,none,ambiguous,0
GBPUSD,M15,2021-09-08T07:30:00Z,london,Europe/London,30,1.37820,1.37788,1.37804,0.00032,0.0232,1.37790,1,down,wick,0
GBPUSD,M15,2021-09-09T07:30:00Z,london,Europe/London,30,1.37648,1.37587,1.37617,0.00061,0.0443,1.37627,1,down,close,0
GBPUSD,M15,2021-09-10T07:30:00Z,london,Europe/London,30,1.38511,1.38477,1.38494,0.00034,0.0245,1.38504,1,down,close,0
GBPUSD,M15,2021-09-11T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
GBPUSD,M15,2021-09-13T07:30:00Z,london,Europe/London,30,1.38401,1.38334,1.38367,0.00067,0.0484,1.38396,1,down,close,0
GBPUSD,M15,2021-09-14T07:30:00Z,london,Europe/London,30,1.38478,1.38440,1.38459,0.00038,0.0274,1.38449,1,down,close,0
