symbol,timeframe,bar_time,session_id,session_timezone,opening_range_window_minutes,opening_range_high,opening_range_low,opening_range_mid,opening_range_width,opening_range_width_pct_open,session_open_price,opening_range_defined,first_break_direction,first_break_mode,width_error_day
XAUUSD,M1,2026-04-07T07:30:00Z,london,Europe/London,30,4656.61500,4638.39800,4647.50650,18.21700,0.3915,4652.97500,1,down,wick,0
XAUUSD,M1,2026-04-08T07:30:00Z,london,Europe/London,30,4821.10500,4807.14500,4814.12500,13.96000,0.2896,4819.67500,1,down,wick,0
XAUUSD,M1,2026-04-09T07:30:00Z,london,Europe/London,30,4730.06800,4705.33500,4717.70150,24.73300,0.5249,4712.24500,1,up,wick,0
XAUUSD,M1,2026-04-10T07:30:00Z,london,Europe/London,30,4755.83500,4741.04500,4748.44000,14.79000,0.3116,4745.72500,1,up,wick,0
XAUUSD,M1,2026-04-12T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-13T07:30:00Z,london,Europe/London,30,4738.46500,4724.48500,4731.47500,13.98000,0.2958,4725.40500,1,up,wick,0
XAUUSD,M1,2026-04-14T07:30:00Z,london,Europe/London,30,4796.18500,4767.57500,4781.88000,28.61000,0.5983,4781.94500,1,down,close,0
XAUUSD,M1,2026-04-15T07:30:00Z,london,Europe/London,30,4816.77500,4803.71500,4810.24500,13.06000,0.2714,4811.65500,1,up,close,0
XAUUSD,M1,2026-04-16T07:30:00Z,london,Europe/London,30,4830.73500,4816.94500,4823.84000,13.79000,0.2858,4825.84500,1,down,close,0
XAUUSD,M1,2026-04-17T07:30:00Z,london,Europe/London,30,4792.83500,4784.05500,4788.44500,8.78000,0.1835,4784.97500,1,up,close,0
XAUUSD,M1,2026-04-19T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-20T07:30:00Z,london,Europe/London,30,4805.60500,4793.69500,4799.65000,11.91000,0.2484,4795.63500,1,down,close,0
XAUUSD,M1,2026-04-21T07:30:00Z,london,Europe/London,30,4787.24800,4772.39500,4779.82150,14.85300,0.3109,4778.06500,1,up,close,0
XAUUSD,M1,2026-04-22T07:30:00Z,london,Europe/London,30,4772.16500,4762.39500,4767.28000,9.77000,0.2049,4767.52500,1,down,wick,0
XAUUSD,M1,2026-04-23T07:30:00Z,london,Europe/London,30,4716.23500,4702.94500,4709.59000,13.29000,0.2820,4712.61500,1,up,close,0
XAUUSD,M1,2026-04-24T07:30:00Z,london,Europe/London,30,4684.68500,4670.73500,4677.71000,13.95000,0.2986,4671.60500,1,up,close,0
XAUUSD,M1,2026-04-26T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-27T07:30:00Z,london,Europe/London,30,4718.20500,4710.56500,4714.38500,7.64000,0.1621,4712.53800,1,down,wick,0
XAUUSD,M1,2026-04-06T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-07T14:00:00Z,new_york,America/New_York,30,4663.20500,4635.30500,4649.25500,27.90000,0.5990,4657.61500,1,down,close,0
XAUUSD,M1,2026-04-08T14:00:00Z,new_york,America/New_York,30,4794.39800,4767.94500,4781.17150,26.45300,0.5523,4789.91800,1,down,close,0
XAUUSD,M1,2026-04-09T14:00:00Z,new_york,America/New_York,30,4777.01500,4750.17500,4763.59500,26.84000,0.5648,4752.25800,1,down,close,0
XAUUSD,M1,2026-04-10T14:00:00Z,new_york,America/New_York,30,4778.62500,4764.61500,4771.62000,14.01000,0.2934,4775.63500,1,up,wick,0
XAUUSD,M1,2026-04-12T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-13T14:00:00Z,new_york,America/New_York,30,4744.31500,4721.01500,4732.66500,23.30000,0.4923,4733.35500,1,down,wick,0
XAUUSD,M1,2026-04-14T14:00:00Z,new_york,America/New_York,30,4803.11500,4779.77500,4791.44500,23.34000,0.4880,4782.58500,1,up,close,0
XAUUSD,M1,2026-04-15T14:00:00Z,new_york,America/New_York,30,4829.99500,4815.58500,4822.79000,14.41000,0.2989,4821.62500,1,up,wick,0
XAUUSD,M1,2026-04-16T14:00:00Z,new_york,America/New_York,30,4823.57500,4784.74500,4804.16000,38.83000,0.8064,4815.28500,1,down,close,0
XAUUSD,M1,2026-04-17T14:00:00Z,new_york,America/New_York,30,4881.76500,4848.17800,4864.97150,33.58700,0.6924,4851.06500,1,up,close,0
XAUUSD,M1,2026-04-19T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-20T14:00:00Z,new_york,America/New_York,30,4826.18800,4815.51500,4820.85150,10.67300,0.2212,4824.14800,1,down,close,0
XAUUSD,M1,2026-04-21T14:00:00Z,new_york,America/New_York,30,4794.16500,4769.92500,4782.04500,24.24000,0.5077,4774.45500,1,down,wick,0
XAUUSD,M1,2026-04-22T14:00:00Z,new_york,America/New_York,30,4760.82500,4742.01500,4751.42000,18.81000,0.3960,4749.75800,1,down,close,0
XAUUSD,M1,2026-04-23T14:00:00Z,new_york,America/New_York,30,4741.09500,4724.08500,4732.59000,17.01000,0.3598,4727.28500,1,down,close,0
XAUUSD,M1,2026-04-24T14:00:00Z,new_york,America/New_York,30,4717.18500,4689.54500,4703.36500,27.64000,0.5885,4696.84500,1,up,close,0
XAUUSD,M1,2026-04-26T14:00:00Z,new_york,America/New_York,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M1,2026-04-27T14:00:00Z,new_york,America/New_York,30,4702.47500,4688.82500,4695.65000,13.65000,0.2904,4699.86500,1,down,close,0
