symbol,timeframe,bar_time,session_id,session_timezone,opening_range_window_minutes,opening_range_high,opening_range_low,opening_range_mid,opening_range_width,opening_range_width_pct_open,session_open_price,opening_range_defined,first_break_direction,first_break_mode,width_error_day
XAUUSD,M5,2025-06-12T07:30:00Z,london,Europe/London,30,3373.76000,3369.54000,3371.65000,4.22000,0.1251,3373.42000,1,down,wick,0
XAUUSD,M5,2025-06-13T07:30:00Z,london,Europe/London,30,3430.32000,3422.91000,3426.61500,7.41000,0.2163,3425.51000,1,down,wick,0
XAUUSD,M5,2025-06-14T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-06-16T07:30:00Z,london,Europe/London,30,3433.30000,3429.03000,3431.16500,4.27000,0.1244,3431.59000,1,down,wick,0
XAUUSD,M5,2025-06-17T07:30:00Z,london,Europe/London,30,3390.56000,3387.12000,3388.84000,3.44000,0.1015,3387.72000,1,up,close,0
XAUUSD,M5,2025-06-18T07:30:00Z,london,Europe/London,30,3395.12000,3389.49000,3392.30500,5.63000,0.1660,3390.99000,1,up,wick,0
XAUUSD,M5,2025-06-19T07:30:00Z,london,Europe/London,30,3374.60000,3372.11000,3373.35500,2.49000,0.0738,3373.62000,1,up,wick,0
XAUUSD,M5,2025-06-20T07:30:00Z,london,Europe/London,30,3357.28000,3354.03000,3355.65500,3.25000,0.0969,3355.54000,1,up,close,0
XAUUSD,M5,2025-06-21T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-06-23T07:30:00Z,london,Europe/London,30,3365.01000,3358.43000,3361.72000,6.58000,0.1956,3363.42000,1,down,close,0
XAUUSD,M5,2025-06-24T07:30:00Z,london,Europe/London,30,3353.36000,3347.76000,3350.56000,5.60000,0.1670,3352.59000,1,down,wick,0
XAUUSD,M5,2025-06-25T07:30:00Z,london,Europe/London,30,3329.28000,3326.73000,3328.00500,2.55000,0.0766,3328.36000,1,down,wick,0
XAUUSD,M5,2025-06-26T07:30:00Z,london,Europe/London,30,3338.15000,3335.62000,3336.88500,2.53000,0.0758,3338.03000,1,down,close,0
XAUUSD,M5,2025-06-27T07:30:00Z,london,Europe/London,30,3295.41000,3291.18000,3293.29500,4.23000,0.1284,3294.37000,1,up,close,0
XAUUSD,M5,2025-06-28T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-06-30T07:30:00Z,london,Europe/London,30,3281.48000,3277.03000,3279.25500,4.45000,0.1357,3279.00000,1,up,wick,0
XAUUSD,M5,2025-07-01T07:30:00Z,london,Europe/London,30,3323.09000,3318.96000,3321.02500,4.13000,0.1244,3321.20000,1,up,close,0
XAUUSD,M5,2025-07-02T07:30:00Z,london,Europe/London,30,3341.98000,3339.58000,3340.78000,2.40000,0.0719,3339.98000,1,down,wick,0
XAUUSD,M5,2025-07-03T07:30:00Z,london,Europe/London,30,3350.63000,3347.45000,3349.04000,3.18000,0.0950,3347.53000,1,up,close,0
XAUUSD,M5,2025-07-04T07:30:00Z,london,Europe/London,30,3342.24000,3338.00000,3340.12000,4.24000,0.1270,3338.32000,1,up,wick,0
XAUUSD,M5,2025-07-07T07:30:00Z,london,Europe/London,30,3312.33000,3305.34000,3308.83500,6.99000,0.2111,3310.90000,1,up,wick,0
XAUUSD,M5,2025-07-08T07:30:00Z,london,Europe/London,30,3332.78000,3329.56000,3331.17000,3.22000,0.0967,3331.54000,1,down,wick,0
XAUUSD,M5,2025-07-09T07:30:00Z,london,Europe/London,30,3296.16000,3291.22000,3293.69000,4.94000,0.1500,3293.38000,1,up,wick,0
XAUUSD,M5,2025-07-10T07:30:00Z,london,Europe/London,30,3317.59000,3314.85000,3316.22000,2.74000,0.0826,3315.76000,1,up,wick,0
XAUUSD,M5,2025-07-11T07:30:00Z,london,Europe/London,30,3335.39000,3331.53000,3333.46000,3.86000,0.1158,3333.72000,1,down,close,0
XAUUSD,M5,2025-07-12T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-07-14T07:30:00Z,london,Europe/London,30,3357.38000,3353.80000,3355.59000,3.58000,0.1066,3357.01000,1,up,close,0
XAUUSD,M5,2025-07-15T07:30:00Z,london,Europe/London,30,3361.16000,3357.64000,3359.40000,3.52000,0.1048,3357.96000,1,up,wick,0
XAUUSD,M5,2025-07-16T07:30:00Z,london,Europe/London,30,3335.19000,3332.85000,3334.02000,2.34000,0.0702,3334.40000,1,up,close,0
XAUUSD,M5,2025-07-17T07:30:00Z,london,Europe/London,30,3341.68000,3338.39000,3340.03500,3.29000,0.0985,3341.54000,1,up,wick,0
XAUUSD,M5,2025-07-18T07:30:00Z,london,Europe/London,30,3336.60000,3334.52000,3335.56000,2.08000,0.0624,3334.69000,1,down,wick,0
XAUUSD,M5,2025-07-19T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-07-21T07:30:00Z,london,Europe/London,30,3354.91000,3350.69000,3352.80000,4.22000,0.1259,3351.35000,1,up,close,0
XAUUSD,M5,2025-07-22T07:30:00Z,london,Europe/London,30,3392.68000,3388.64000,3390.66000,4.04000,0.1191,3392.68000,1,down,wick,0
XAUUSD,M5,2025-07-23T07:30:00Z,london,Europe/London,30,3425.30000,3422.03000,3423.66500,3.27000,0.0955,3423.02000,1,down,wick,0
XAUUSD,M5,2025-07-24T07:30:00Z,london,Europe/London,30,3385.37000,3382.60000,3383.98500,2.77000,0.0819,3383.77000,1,down,close,0
XAUUSD,M5,2025-07-25T07:30:00Z,london,Europe/London,30,3363.54000,3359.04000,3361.29000,4.50000,0.1340,3359.11000,1,down,close,0
XAUUSD,M5,2025-07-26T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-07-28T07:30:00Z,london,Europe/London,30,3344.01000,3339.86000,3341.93500,4.15000,0.1241,3343.24000,1,down,close,0
XAUUSD,M5,2025-07-29T07:30:00Z,london,Europe/London,30,3314.05000,3308.99000,3311.52000,5.06000,0.1527,3312.63000,1,up,close,0
XAUUSD,M5,2025-07-30T07:30:00Z,london,Europe/London,30,3329.32000,3326.23000,3327.77500,3.09000,0.0928,3328.41000,1,up,close,0
XAUUSD,M5,2025-07-31T07:30:00Z,london,Europe/London,30,3296.38000,3293.68000,3295.03000,2.70000,0.0819,3295.00000,1,up,close,0
XAUUSD,M5,2025-08-01T07:30:00Z,london,Europe/London,30,3293.93000,3290.43000,3292.18000,3.50000,0.1063,3291.43000,1,up,close,0
XAUUSD,M5,2025-08-02T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-08-04T07:30:00Z,london,Europe/London,30,3361.38000,3360.03000,3360.70500,1.35000,0.0402,3360.35000,1,down,wick,0
XAUUSD,M5,2025-08-05T07:30:00Z,london,Europe/London,30,3373.24000,3371.28000,3372.26000,1.96000,0.0581,3372.19000,1,down,wick,0
XAUUSD,M5,2025-08-06T07:30:00Z,london,Europe/London,30,3376.48000,3374.46000,3375.47000,2.02000,0.0599,3374.59000,1,down,close,0
XAUUSD,M5,2025-08-07T07:30:00Z,london,Europe/London,30,3380.76000,3377.50000,3379.13000,3.26000,0.0965,3379.78000,1,down,wick,0
XAUUSD,M5,2025-08-08T07:30:00Z,london,Europe/London,30,3399.07000,3395.00000,3397.03500,4.07000,0.1198,3395.97000,1,up,close,0
XAUUSD,M5,2025-08-09T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-08-11T07:30:00Z,london,Europe/London,30,3379.92000,3376.27000,3378.09500,3.65000,0.1080,3378.33000,1,down,close,0
XAUUSD,M5,2025-08-12T07:30:00Z,london,Europe/London,30,3352.83000,3348.61000,3350.72000,4.22000,0.1260,3349.37000,1,up,close,0
XAUUSD,M5,2025-08-13T07:30:00Z,london,Europe/London,30,3352.40000,3348.22000,3350.31000,4.18000,0.1248,3349.66000,1,down,wick,0
XAUUSD,M5,2025-08-14T07:30:00Z,london,Europe/London,30,3361.31000,3359.37000,3360.34000,1.94000,0.0577,3360.56000,1,none,ambiguous,0
XAUUSD,M5,2025-08-15T07:30:00Z,london,Europe/London,30,3346.23000,3343.34000,3344.78500,2.89000,0.0864,3343.37000,1,up,wick,0
XAUUSD,M5,2025-08-16T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-08-18T07:30:00Z,london,Europe/London,30,3352.72000,3346.82000,3349.77000,5.90000,0.1763,3347.06000,1,up,close,0
XAUUSD,M5,2025-08-19T07:30:00Z,london,Europe/London,30,3338.13000,3335.83000,3336.98000,2.30000,0.0689,3337.81000,1,up,wick,0
XAUUSD,M5,2025-08-20T07:30:00Z,london,Europe/London,30,3319.44000,3317.21000,3318.32500,2.23000,0.0672,3317.58000,1,up,close,0
XAUUSD,M5,2025-08-21T07:30:00Z,london,Europe/London,30,3340.62000,3338.72000,3339.67000,1.90000,0.0569,3339.97000,1,up,close,0
XAUUSD,M5,2025-08-22T07:30:00Z,london,Europe/London,30,3332.73000,3329.20000,3330.96500,3.53000,0.1059,3331.98000,1,down,wick,0
XAUUSD,M5,2025-08-23T07:30:00Z,london,Europe/London,30,na,na,na,na,na,na,0,none,none,1
XAUUSD,M5,2025-08-25T07:30:00Z,london,Europe/London,30,3367.66000,3363.85000,3365.75500,3.81000,0.1131,3367.29000,1,down,close,0
XAUUSD,M5,2025-08-26T07:30:00Z,london,Europe/London,30,3376.10000,3372.14000,3374.12000,3.96000,0.1174,3372.24000,1,up,wick,0
XAUUSD,M5,2025-08-27T07:30:00Z,london,Europe/London,30,3381.28000,3377.22000,3379.25000,4.06000,0.1201,3380.62000,1,down,close,0
XAUUSD,M5,2025-08-28T07:30:00Z,london,Europe/London,30,3391.86000,3388.72000,3390.29000,3.14000,0.0926,3390.23000,1,up,wick,0
XAUUSD,M5,2025-08-29T07:30:00Z,london,Europe/London,30,3411.37000,3407.54000,3409.45500,3.83000,0.1123,3410.82000,1,down,wick,0
